ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R,4-1BB,1.37761374232975e-34,0.453930778052809,0.821,0.616,3.00182034453653e-30,TRUE
BAFF-R,4-1BB,1.45538015804203e-26,0.319044248954835,0.764,0.54,3.17127336437359e-22,TRUE
BAFF-R,4-1BB,3.70769849335817e-25,0.225473303526192,0.981,0.964,8.07907501702745e-21,TRUE
BAFF-R,4-1BB,5.23661976264167e-24,-0.297550979326817,0.766,0.857,1.14105944627962e-19,TRUE
BAFF-R,4-1BB,9.98153346294549e-24,0.238245250633966,0.464,0.238,2.17497614157582e-19,TRUE
BAFF-R,4-1BB,6.81358202927691e-21,0.236565345933945,0.686,0.48,1.48467952417944e-16,TRUE
BAFF-R,4-1BB,1.52590154469657e-19,-0.274806193653805,0.754,0.858,3.32493946589384e-15,TRUE
BAFF-R,4-1BB,1.74308050298358e-18,-0.281439617842933,0.635,0.772,3.79817241600123e-14,TRUE
BAFF-R,4-1BB,2.21332056034816e-17,0.253368443557198,0.82,0.684,4.82282550099863e-13,TRUE
BAFF-R,4-1BB,1.49884708380718e-16,0.277965378188817,0.781,0.655,3.26598779561584e-12,TRUE
BAFF-R,4-1BB,4.8434384707399e-16,0.244789855486046,0.697,0.545,1.05538524277422e-11,TRUE
BAFF-R,4-1BB,5.6211146986757e-16,-0.226804283776076,0.207,0.387,1.22484089284144e-11,TRUE
BAFF-R,4-1BB,9.58019406660457e-15,-0.358341880791534,0.52,0.674,2.08752428711314e-10,TRUE
BAFF-R,4-1BB,5.75006447203558e-14,0.830583586801179,0.451,0.311,1.25293904845655e-09,TRUE
BAFF-R,4-1BB,1.5220585435226e-13,0.208403905716433,0.762,0.663,3.31656556633575e-09,TRUE
BAFF-R,4-1BB,3.57117507179565e-13,-0.218574210193739,0.431,0.564,7.78159048144272e-09,TRUE
BAFF-R,4-1BB,3.96532190584612e-12,0.329717902704915,0.37,0.222,8.6404364328387e-08,TRUE
BAFF-R,4-1BB,9.91721632197986e-12,-0.439770499339022,0.201,0.346,2.16096143655941e-07,TRUE
BAFF-R,4-1BB,1.88824733923713e-11,-0.241134695427268,0.967,0.988,4.11449095219771e-07,TRUE
BAFF-R,4-1BB,3.89055341933389e-11,-0.232623049357426,0.635,0.71,8.47751590072856e-07,TRUE
BAFF-R,4-1BB,2.08722675557757e-10,-0.341642493854035,0.337,0.484,4.54806710040352e-06,TRUE
BAFF-R,4-1BB,2.53324792993095e-10,0.200512379383339,0.984,0.981,5.51994723931954e-06,TRUE
BAFF-R,4-1BB,3.16438479985654e-10,0.201917700934183,0.914,0.861,6.89519447888741e-06,TRUE
BAFF-R,4-1BB,3.23758215124012e-09,-0.273174664417555,0.866,0.841,7.05469150755221e-05,TRUE
BAFF-R,4-1BB,4.17126049308935e-09,-0.658165376157619,0.667,0.706,9.0891766144417e-05,TRUE
BAFF-R,4-1BB,1.19472125929537e-07,-0.650826757155596,0.241,0.346,0.0026032976240046,TRUE
BAFF-R,4-1BB,7.016852504174e-07,-0.271935906312132,0.215,0.324,0.0152897216065951,TRUE
BAFF-R,4-1BB,6.61174676963728e-06,0.28062838304243,0.324,0.232,0.144069962110396,TRUE
BAFF-R,4-1BB,7.50794535478794e-05,-0.213214150256539,0.656,0.7,1,TRUE
BAFF-R,4-1BB,0.000345046179033903,0.24037365858256,0.624,0.578,1,TRUE
BAFF-R,4-1BB,0.000441385054613549,-0.208737235090433,0.697,0.715,1,TRUE
BAFF-R,4-1BB,0.764911011101863,-0.310913495495403,0.324,0.324,1,TRUE
