ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R,4-1BB,gse_mf,GO:0003823,antigen binding,8,0.75,2.04530136825498,0.00211416490486258,0.00211416490486258,0.0756648492266607,14,"tags=100%, list=44%, signal=75%",HLA-DRA/IL7R/HLA-DRB1/HLA-DPA1/TRBC1/HLA-DQB1/HLA-DPB1/TRBC2
BAFF-R,4-1BB,gse_mf,GO:0033218,amide binding,7,0.76,2.02217505321142,0.00821355236139631,0.00821355236139631,0.0979862386973594,13,"tags=100%, list=41%, signal=76%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DQB1/HLA-DPB1/CD74/ANXA5
BAFF-R,4-1BB,gse_mf,GO:0042277,peptide binding,7,0.76,2.02217505321142,0.00821355236139631,0.00821355236139631,0.0979862386973594,13,"tags=100%, list=41%, signal=76%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DQB1/HLA-DPB1/CD74/ANXA5
BAFF-R,4-1BB,gse_mf,GO:0042605,peptide antigen binding,5,0.777777777777778,1.83889652288426,0.0185567010309278,0.0185567010309278,0.166033640803039,11,"tags=100%, list=34%, signal=78%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DQB1/HLA-DPB1
BAFF-R,4-1BB,gse_bp,GO:0002250,adaptive immune response,13,0.699831272917991,2.2711985491927,0.00214132762312634,0.00214132762312634,0.400889279897281,14,"tags=85%, list=44%, signal=80%",HLA-DRA/IL7R/HLA-DRB1/IFNG/ANXA1/HLA-DPA1/TRBC1/HLA-DQB1/HLA-DPB1/CD74/TRBC2
BAFF-R,4-1BB,gse_bp,GO:0050852,T cell receptor signaling pathway,6,0.807692307692308,2.01312938535975,0.00443458980044346,0.00443458980044346,0.400889279897281,11,"tags=100%, list=34%, signal=81%",HLA-DRA/HLA-DRB1/HLA-DPA1/TRBC1/HLA-DQB1/HLA-DPB1
BAFF-R,4-1BB,gse_bp,GO:0002478,antigen processing and presentation of exogenous peptide antigen,6,0.769230769230769,1.91778445773065,0.00655021834061135,0.00655021834061135,0.400889279897281,12,"tags=100%, list=38%, signal=77%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DQB1/HLA-DPB1/CD74
BAFF-R,4-1BB,gse_bp,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,6,0.769230769230769,1.91778445773065,0.00655021834061135,0.00655021834061135,0.400889279897281,12,"tags=100%, list=38%, signal=77%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DQB1/HLA-DPB1/CD74
BAFF-R,4-1BB,gse_bp,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,6,0.769230769230769,1.91778445773065,0.00655021834061135,0.00655021834061135,0.400889279897281,12,"tags=100%, list=38%, signal=77%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DQB1/HLA-DPB1/CD74
BAFF-R,4-1BB,gse_bp,GO:0019882,antigen processing and presentation,6,0.769230769230769,1.91778445773065,0.00655021834061135,0.00655021834061135,0.400889279897281,12,"tags=100%, list=38%, signal=77%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DQB1/HLA-DPB1/CD74
