ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R,CD28,5.84254177356653e-64,0.712241456820204,0.821,0.473,1.27308985246015e-59,TRUE
BAFF-R,CD28,1.34533110541649e-51,-0.636668426536009,0.866,0.909,2.93147647870254e-47,TRUE
BAFF-R,CD28,3.10344516999271e-50,0.434091538923794,0.981,0.967,6.76240702541411e-46,TRUE
BAFF-R,CD28,5.661432456024e-49,0.57712124825593,0.764,0.414,1.23362613216763e-44,TRUE
BAFF-R,CD28,8.99935918467745e-47,0.551916622952273,0.984,0.973,1.96096036634122e-42,TRUE
BAFF-R,CD28,6.89229551580899e-46,-0.75897464203072,0.207,0.557,1.50183119289478e-41,TRUE
BAFF-R,CD28,1.22800772941147e-45,0.354019848277897,0.997,0.983,2.67582884238759e-41,TRUE
BAFF-R,CD28,1.0201312923567e-44,0.461729669576906,0.686,0.354,2.22286608604526e-40,TRUE
BAFF-R,CD28,1.50267702789016e-41,0.345803653223523,0.464,0.142,3.27433324377267e-37,TRUE
BAFF-R,CD28,1.09676712446932e-39,0.281358100230196,1,1,2.38985556421864e-35,TRUE
BAFF-R,CD28,1.43758563989616e-37,-1.17486384212038,0.667,0.825,3.13249910933372e-33,TRUE
BAFF-R,CD28,1.62046707127565e-36,-0.23592003493248,0.096,0.393,3.53099774830963e-32,TRUE
BAFF-R,CD28,1.46004060992613e-35,-0.363801683398872,0.431,0.691,3.18142848902903e-31,TRUE
BAFF-R,CD28,2.55072570390619e-35,-0.353965325652959,0.22,0.529,5.5580313088116e-31,TRUE
BAFF-R,CD28,2.51598392345127e-34,0.458974522805995,0.781,0.575,5.48232896920032e-30,TRUE
BAFF-R,CD28,6.93887740645814e-34,-0.492293170451952,0.598,0.802,1.51198138686723e-29,TRUE
BAFF-R,CD28,1.65153441364452e-33,0.461670191528395,0.697,0.441,3.59869348733142e-29,TRUE
BAFF-R,CD28,2.10900079555716e-33,0.293816756111893,0.974,0.972,4.59551273351906e-29,TRUE
BAFF-R,CD28,4.56541693614329e-32,-0.449026384945673,0.635,0.797,9.94804350385622e-28,TRUE
BAFF-R,CD28,1.91619389329857e-31,0.342602900868433,0.9,0.814,4.17538649349759e-27,TRUE
BAFF-R,CD28,7.01066135044404e-31,0.281123674554919,0.965,0.914,1.52762310826176e-26,TRUE
BAFF-R,CD28,7.62916966227811e-31,0.447429123555223,0.705,0.406,1.6623960694104e-26,TRUE
BAFF-R,CD28,1.9122930935004e-30,0.281237077030328,0.982,0.979,4.16688665073737e-26,TRUE
BAFF-R,CD28,2.49107058948742e-30,-0.345607418754189,0.754,0.88,5.42804281449309e-26,TRUE
BAFF-R,CD28,1.10119065451351e-28,0.266331752152649,0.89,0.701,2.39949443618494e-24,TRUE
BAFF-R,CD28,9.17171817227181e-28,0.330399083565714,0.874,0.813,1.99851738973803e-23,TRUE
BAFF-R,CD28,7.96184162319152e-27,0.25359511115753,0.447,0.176,1.73488528969343e-22,TRUE
BAFF-R,CD28,1.78634076843981e-25,0.339567816904374,0.92,0.869,3.89243653443035e-21,TRUE
BAFF-R,CD28,7.14341406873104e-25,0.427884593789072,0.963,0.948,1.55654992557649e-20,TRUE
BAFF-R,CD28,7.52013895041547e-25,0.247574922429845,0.27,0.071,1.63863827729553e-20,TRUE
BAFF-R,CD28,3.73959523819232e-24,-0.274618125336804,0.936,0.953,8.14857802402107e-20,TRUE
BAFF-R,CD28,4.11306227378464e-24,0.35716389266264,0.82,0.684,8.96236269457673e-20,TRUE
BAFF-R,CD28,7.92805111853547e-24,-0.300745100079697,0.635,0.854,1.72752233872888e-19,TRUE
BAFF-R,CD28,1.00501502885296e-23,-0.311915181769656,0.707,0.821,2.1899277478706e-19,TRUE
BAFF-R,CD28,1.01462509629663e-23,0.265334143399515,0.896,0.828,2.21086808483037e-19,TRUE
BAFF-R,CD28,4.17342349111321e-23,-0.248401499992886,0.617,0.838,9.09388978713568e-19,TRUE
BAFF-R,CD28,4.3911101249713e-23,-0.22731149717226,0.979,0.991,9.56822896231246e-19,TRUE
BAFF-R,CD28,5.34247733016799e-23,0.258458756729408,0.577,0.362,1.16412581024361e-18,TRUE
BAFF-R,CD28,9.21856398567819e-23,0.219487947946796,0.986,0.959,2.00872509247928e-18,TRUE
BAFF-R,CD28,1.48249776627686e-22,-0.221251530800529,0.351,0.579,3.23036263271727e-18,TRUE
BAFF-R,CD28,2.95176093507888e-22,-0.375212361722354,0.099,0.31,6.43188707753689e-18,TRUE
BAFF-R,CD28,3.12576710984128e-22,-0.24566283033914,0.274,0.528,6.81104653234416e-18,TRUE
BAFF-R,CD28,9.31678595252799e-22,0.373214923802101,0.914,0.869,2.03012765905585e-17,TRUE
BAFF-R,CD28,9.60484470004313e-22,0.364194490708403,0.981,0.961,2.0928956601394e-17,TRUE
BAFF-R,CD28,2.21304626386679e-21,0.214934503729919,0.289,0.099,4.82222780896573e-17,TRUE
BAFF-R,CD28,2.988854135805e-21,0.244393282729583,0.998,1,6.51271316191909e-17,TRUE
BAFF-R,CD28,3.04492864800382e-21,-0.272465944361023,0.877,0.953,6.63489952400033e-17,TRUE
BAFF-R,CD28,3.57746140878271e-21,-0.267175422388845,0.344,0.57,7.79528840973754e-17,TRUE
BAFF-R,CD28,4.06672790553579e-21,0.270318360898946,0.517,0.297,8.86140010616249e-17,TRUE
BAFF-R,CD28,4.6492869389409e-21,0.224964698629213,0.995,0.997,1.01307962399522e-16,TRUE
BAFF-R,CD28,4.66747461558361e-21,0.240481352199346,0.96,0.944,1.01704271873567e-16,TRUE
BAFF-R,CD28,6.16833521969168e-21,-0.226298488939396,0.416,0.659,1.34408024437082e-16,TRUE
BAFF-R,CD28,9.20639680904926e-21,-0.258071579063799,0.71,0.842,2.00607386469183e-16,TRUE
BAFF-R,CD28,1.02814992232264e-20,-0.316987312566631,0.627,0.809,2.24033868074103e-16,TRUE
BAFF-R,CD28,1.27494435546474e-20,-0.272947297500266,0.632,0.781,2.77810375055766e-16,TRUE
BAFF-R,CD28,1.29491330211784e-20,0.373014186765923,0.37,0.159,2.82161608531477e-16,TRUE
BAFF-R,CD28,1.91537110441729e-20,-0.262706776356754,0.88,0.944,4.17359363652527e-16,TRUE
BAFF-R,CD28,2.15573985475339e-20,-0.465543690578603,0.813,0.88,4.69735714350763e-16,TRUE
