ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R,CD28,gse_mf,GO:0042605,peptide antigen binding,6,0.794777742721445,2.12016960691477,0.00209643605870021,0.00209643605870021,0.0544662309368192,18,"tags=83%, list=15%, signal=74%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1
BAFF-R,CD28,gse_mf,GO:0003823,antigen binding,11,0.792935272183244,2.71037498796903,0.00215982721382289,0.00215982721382289,0.0544662309368192,19,"tags=82%, list=16%, signal=76%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/TRBC1/TRBC2/IL7R/HLA-DQB1/ITGA4
BAFF-R,CD28,gse_mf,GO:0033218,amide binding,11,0.628569828570418,2.14205017723974,0.00217864923747277,0.00217864923747277,0.0544662309368192,36,"tags=82%, list=30%, signal=63%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/CD74/HLA-DQB1/ANXA5/ITM2B/HLA-DRB5
BAFF-R,CD28,gse_mf,GO:0042277,peptide binding,11,0.628569828570418,2.14205017723974,0.00217864923747277,0.00217864923747277,0.0544662309368192,36,"tags=82%, list=30%, signal=63%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/CD74/HLA-DQB1/ANXA5/ITM2B/HLA-DRB5
BAFF-R,CD28,gse_mf,GO:0005125,cytokine activity,9,-0.676766217489428,-1.97866811131103,0.00371747211895911,0.00371747211895911,0.0743494423791822,12,"tags=56%, list=10%, signal=54%",NAMPT/XCL2/IL13/LTA/IL5
BAFF-R,CD28,gse_mf,GO:0023023,MHC protein complex binding,4,0.817417357292659,1.8265625003767,0.00630252100840336,0.00630252100840336,0.0776699029126214,9,"tags=75%, list=8%, signal=72%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28,gse_mf,GO:0023026,MHC class II protein complex binding,4,0.817417357292659,1.8265625003767,0.00630252100840336,0.00630252100840336,0.0776699029126214,9,"tags=75%, list=8%, signal=72%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28,gse_mf,GO:0030545,receptor regulator activity,11,-0.600674167890968,-1.92179810619322,0.00731261425959781,0.00731261425959781,0.0776699029126214,12,"tags=45%, list=10%, signal=45%",NAMPT/XCL2/IL13/LTA/IL5
BAFF-R,CD28,gse_mf,GO:0048018,receptor ligand activity,11,-0.600674167890968,-1.92179810619322,0.00731261425959781,0.00731261425959781,0.0776699029126214,12,"tags=45%, list=10%, signal=45%",NAMPT/XCL2/IL13/LTA/IL5
BAFF-R,CD28,gse_mf,GO:0032395,MHC class II receptor activity,3,0.870689655172414,1.74354236699509,0.00776699029126214,0.00776699029126214,0.0776699029126214,18,"tags=100%, list=15%, signal=87%",HLA-DRA/HLA-DPA1/HLA-DQB1
