ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R,CD28_4-1BB_Zeta,5.04188135455601e-66,0.557558648544708,0.821,0.543,1.09862594715775e-61,TRUE
BAFF-R,CD28_4-1BB_Zeta,3.12521087462249e-54,0.440241650050882,0.764,0.467,6.80983449580241e-50,TRUE
BAFF-R,CD28_4-1BB_Zeta,6.66623967458761e-54,0.281009823741443,0.464,0.184,1.45257362509264e-49,TRUE
BAFF-R,CD28_4-1BB_Zeta,3.99405482030258e-52,0.340420795211841,0.981,0.931,8.70304545343933e-48,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.08772267453586e-44,0.316510615224905,0.686,0.409,2.37014770781363e-40,TRUE
BAFF-R,CD28_4-1BB_Zeta,2.68210584452733e-39,0.200799067630436,0.289,0.101,5.84430863522504e-35,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.26376623926463e-35,0.351056670916839,0.697,0.471,2.75374663535762e-31,TRUE
BAFF-R,CD28_4-1BB_Zeta,4.08149728094571e-19,-0.394668342280749,0.52,0.674,8.89358257518069e-15,TRUE
BAFF-R,CD28_4-1BB_Zeta,9.41034163706174e-15,-0.222986401482901,0.754,0.806,2.05051344271575e-10,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.8503327577601e-14,-0.239198021638139,0.967,0.972,4.03187507915925e-10,TRUE
BAFF-R,CD28_4-1BB_Zeta,5.19495834659179e-14,-0.221058657492392,0.766,0.8,1.13198142372235e-09,TRUE
BAFF-R,CD28_4-1BB_Zeta,8.86977494443293e-14,-0.364411926688419,0.337,0.478,1.93272396039194e-09,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.99076811369696e-13,-0.215944880447344,0.635,0.727,4.33788371974567e-09,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.59784537648938e-12,0.608499903823416,0.451,0.33,3.48170507537036e-08,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.84376535489953e-12,-0.302960959233564,0.207,0.338,4.01756470832607e-08,TRUE
BAFF-R,CD28_4-1BB_Zeta,2.64202806448246e-12,0.218036609002057,0.826,0.766,5.75697915250728e-08,TRUE
BAFF-R,CD28_4-1BB_Zeta,3.97211108920583e-07,0.264539265479942,0.324,0.234,0.00865523006337951,TRUE
BAFF-R,CD28_4-1BB_Zeta,6.29340125764281e-05,-0.571538880649743,0.667,0.661,1,TRUE
BAFF-R,CD28_4-1BB_Zeta,0.000165245517897156,-0.329278273472149,0.201,0.265,1,TRUE
BAFF-R,CD28_4-1BB_Zeta,0.0624684695917429,-0.449508407393331,0.241,0.264,1,TRUE
BAFF-R,CD28_4-1BB_Zeta,0.335901242824054,-0.225230239091187,0.324,0.297,1,TRUE
