ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0033218,amide binding,6,0.933333333333333,2.3012664184433,0.00198019801980198,0.00198019801980198,0.00416883793642522,7,"tags=100%, list=33%, signal=93%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0042277,peptide binding,6,0.933333333333333,2.3012664184433,0.00198019801980198,0.00198019801980198,0.00416883793642522,7,"tags=100%, list=33%, signal=93%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0003823,antigen binding,5,0.875,2.01910480765063,0.00604838709677419,0.00604838709677419,0.00636672325976231,7,"tags=100%, list=33%, signal=88%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0042605,peptide antigen binding,5,0.875,2.01910480765063,0.00604838709677419,0.00604838709677419,0.00636672325976231,7,"tags=100%, list=33%, signal=88%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0004888,transmembrane signaling receptor activity,4,0.823529411764706,1.74718337920617,0.0120481927710843,0.0120481927710843,0.00724703324576502,7,"tags=100%, list=33%, signal=82%",HLA-DRA/HLA-DPA1/CD74/HLA-DQB1
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0038023,signaling receptor activity,4,0.823529411764706,1.74718337920617,0.0120481927710843,0.0120481927710843,0.00724703324576502,7,"tags=100%, list=33%, signal=82%",HLA-DRA/HLA-DPA1/CD74/HLA-DQB1
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0060089,molecular transducer activity,4,0.823529411764706,1.74718337920617,0.0120481927710843,0.0120481927710843,0.00724703324576502,7,"tags=100%, list=33%, signal=82%",HLA-DRA/HLA-DPA1/CD74/HLA-DQB1
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0023023,MHC protein complex binding,3,0.888888888888889,1.73462955953861,0.016728624535316,0.016728624535316,0.00782625709254549,5,"tags=100%, list=24%, signal=89%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0023026,MHC class II protein complex binding,3,0.888888888888889,1.73462955953861,0.016728624535316,0.016728624535316,0.00782625709254549,5,"tags=100%, list=24%, signal=89%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0098772,molecular function regulator,8,-0.647998212999474,-1.76617552711731,0.0337078651685393,0.0337078651685393,0.0101444086406492,7,"tags=62%, list=33%, signal=67%",LTA/IL13/XCL2/MAL/IL5
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0005125,cytokine activity,6,-0.616463417347841,-1.57652702316553,0.0361990950226244,0.0361990950226244,0.0101444086406492,7,"tags=67%, list=33%, signal=62%",LTA/IL13/XCL2/IL5
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0005126,cytokine receptor binding,6,-0.616463417347841,-1.57652702316553,0.0361990950226244,0.0361990950226244,0.0101444086406492,7,"tags=67%, list=33%, signal=62%",LTA/IL13/XCL2/IL5
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0030545,receptor regulator activity,6,-0.616463417347841,-1.57652702316553,0.0361990950226244,0.0361990950226244,0.0101444086406492,7,"tags=67%, list=33%, signal=62%",LTA/IL13/XCL2/IL5
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0048018,receptor ligand activity,6,-0.616463417347841,-1.57652702316553,0.0361990950226244,0.0361990950226244,0.0101444086406492,7,"tags=67%, list=33%, signal=62%",LTA/IL13/XCL2/IL5
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0044877,protein-containing complex binding,4,0.74058321877219,1.58827028786323,0.0364298724954463,0.0364298724954463,0.0101444086406492,5,"tags=75%, list=24%, signal=71%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0005515,protein binding,16,-0.626441146328081,-1.56757758609349,0.0385487528344671,0.0385487528344671,0.0101444086406492,16,"tags=88%, list=76%, signal=88%",HLA-DQB1/IFNG/TNFSF10/COL6A2/SOCS1/LIMA1/BATF/NKG7/LTA/IL13/XCL2/MAL/IL5/HILPDA
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0002478,antigen processing and presentation of exogenous peptide antigen,6,0.933333333333333,2.20217349385173,0.00191204588910134,0.00191204588910134,0.0920542635658915,7,"tags=100%, list=33%, signal=93%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,6,0.933333333333333,2.20217349385173,0.00191204588910134,0.00191204588910134,0.0920542635658915,7,"tags=100%, list=33%, signal=93%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
