ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj
BAFF-R,CD28_Zeta,4.91380885208276e-73,0.622874434421184,0.821,0.501,1.07071894886883e-68
BAFF-R,CD28_Zeta,1.94350542711944e-61,0.517785101131357,0.764,0.425,4.23489832569325e-57
BAFF-R,CD28_Zeta,1.86458339995752e-60,0.413572732979825,0.981,0.911,4.06292722850743e-56
BAFF-R,CD28_Zeta,5.39493314403272e-60,0.306636671076111,0.464,0.152,1.17555593208473e-55
BAFF-R,CD28_Zeta,1.58411662990848e-51,0.36590631284353,0.686,0.368,3.45179013657059e-47
BAFF-R,CD28_Zeta,2.7789141378784e-42,0.41818591413214,0.697,0.429,6.05525390643704e-38
BAFF-R,CD28_Zeta,7.50522730410795e-38,0.203352095751039,0.289,0.09,1.63538902956512e-33
BAFF-R,CD28_Zeta,4.77821438974827e-18,-0.415116294648493,0.52,0.674,1.04117291552615e-13
BAFF-R,CD28_Zeta,9.34028959221821e-17,0.217785548959516,0.625,0.473,2.03524910214435e-12
BAFF-R,CD28_Zeta,1.09749976689791e-14,0.252628602406085,0.826,0.741,2.39145199207054e-10
BAFF-R,CD28_Zeta,1.28623558028128e-14,-0.259117874373318,0.931,0.951,2.8027073294329e-10
BAFF-R,CD28_Zeta,1.89004595149319e-13,-0.37736403738746,0.337,0.474,4.11841012830367e-09
BAFF-R,CD28_Zeta,2.21332117081694e-13,-0.238074814672752,0.967,0.963,4.82282683121011e-09
BAFF-R,CD28_Zeta,1.90373337556163e-12,0.229037404091415,0.963,0.931,4.14823502534879e-08
BAFF-R,CD28_Zeta,1.25491080666014e-09,-0.223200531864396,0.703,0.742,2.73445064771244e-05
BAFF-R,CD28_Zeta,6.24250468276631e-09,0.499354232547806,0.451,0.341,0.000136024177037478
BAFF-R,CD28_Zeta,1.22212031612724e-08,-0.344547503856338,0.207,0.309,0.000266300016884126
BAFF-R,CD28_Zeta,2.55762248392073e-06,0.255339372775677,0.324,0.235,0.0557305939246327
BAFF-R,CD28_Zeta,0.0195837540663114,-0.517715466616628,0.667,0.635,1
