ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R,CD28_Zeta,gse_mf,GO:0033218,amide binding,6,0.923076923076923,2.09389213471302,0.00170940170940171,0.00170940170940171,0.0116959064327485,7,"tags=100%, list=37%, signal=92%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_Zeta,gse_mf,GO:0042277,peptide binding,6,0.923076923076923,2.09389213471302,0.00170940170940171,0.00170940170940171,0.0116959064327485,7,"tags=100%, list=37%, signal=92%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_Zeta,gse_mf,GO:0003823,antigen binding,5,0.857142857142857,1.86768041702356,0.00676818950930626,0.00676818950930626,0.0231543325318372,7,"tags=100%, list=37%, signal=86%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_Zeta,gse_mf,GO:0042605,peptide antigen binding,5,0.857142857142857,1.86768041702356,0.00676818950930626,0.00676818950930626,0.0231543325318372,7,"tags=100%, list=37%, signal=86%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_Zeta,gse_mf,GO:0004888,transmembrane signaling receptor activity,4,0.8,1.65658242627918,0.0228070175438597,0.0228070175438597,0.0445851470782219,7,"tags=100%, list=37%, signal=80%",HLA-DRA/HLA-DPA1/CD74/HLA-DQB1
BAFF-R,CD28_Zeta,gse_mf,GO:0038023,signaling receptor activity,4,0.8,1.65658242627918,0.0228070175438597,0.0228070175438597,0.0445851470782219,7,"tags=100%, list=37%, signal=80%",HLA-DRA/HLA-DPA1/CD74/HLA-DQB1
BAFF-R,CD28_Zeta,gse_mf,GO:0060089,molecular transducer activity,4,0.8,1.65658242627918,0.0228070175438597,0.0228070175438597,0.0445851470782219,7,"tags=100%, list=37%, signal=80%",HLA-DRA/HLA-DPA1/CD74/HLA-DQB1
BAFF-R,CD28_Zeta,gse_mf,GO:0023023,MHC protein complex binding,3,0.875,1.65338433961376,0.0297397769516729,0.0297397769516729,0.0452183743124851,5,"tags=100%, list=26%, signal=88%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28_Zeta,gse_mf,GO:0023026,MHC class II protein complex binding,3,0.875,1.65338433961376,0.0297397769516729,0.0297397769516729,0.0452183743124851,5,"tags=100%, list=26%, signal=88%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28_Zeta,gse_bp,GO:0002478,antigen processing and presentation of exogenous peptide antigen,6,0.923076923076923,2.16991073662232,0.00177935943060498,0.00177935943060498,0.0671607845235866,7,"tags=100%, list=37%, signal=92%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_Zeta,gse_bp,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,6,0.923076923076923,2.16991073662232,0.00177935943060498,0.00177935943060498,0.0671607845235866,7,"tags=100%, list=37%, signal=92%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_Zeta,gse_bp,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,6,0.923076923076923,2.16991073662232,0.00177935943060498,0.00177935943060498,0.0671607845235866,7,"tags=100%, list=37%, signal=92%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_Zeta,gse_bp,GO:0019882,antigen processing and presentation,6,0.923076923076923,2.16991073662232,0.00177935943060498,0.00177935943060498,0.0671607845235866,7,"tags=100%, list=37%, signal=92%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_Zeta,gse_bp,GO:0019884,antigen processing and presentation of exogenous antigen,6,0.923076923076923,2.16991073662232,0.00177935943060498,0.00177935943060498,0.0671607845235866,7,"tags=100%, list=37%, signal=92%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_Zeta,gse_bp,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,6,0.923076923076923,2.16991073662232,0.00177935943060498,0.00177935943060498,0.0671607845235866,7,"tags=100%, list=37%, signal=92%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
BAFF-R,CD28_Zeta,gse_bp,GO:0048002,antigen processing and presentation of peptide antigen,6,0.923076923076923,2.16991073662232,0.00177935943060498,0.00177935943060498,0.0671607845235866,7,"tags=100%, list=37%, signal=92%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
