ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R,Zeta,3.74975781494953e-54,0.572231807431685,0.821,0.518,8.17072227877503e-50,TRUE
BAFF-R,Zeta,1.75632108016427e-48,0.401307338326245,0.981,0.877,3.82702363367794e-44,TRUE
BAFF-R,Zeta,8.38247999061229e-48,0.483377921920282,0.764,0.431,1.82654238995442e-43,TRUE
BAFF-R,Zeta,5.23753622872125e-44,0.283565641814407,0.464,0.158,1.14125914423836e-39,TRUE
BAFF-R,Zeta,3.31246208867302e-39,-0.43230206764737,0.981,0.988,7.21785489121852e-35,TRUE
BAFF-R,Zeta,3.41342760571353e-37,0.311869889679654,0.686,0.376,7.43785875284979e-33,TRUE
BAFF-R,Zeta,1.65170338923446e-33,0.392658168950102,0.697,0.422,3.59906168514189e-29,TRUE
BAFF-R,Zeta,7.36291296332249e-32,0.51549969136434,0.944,0.866,1.60437873470797e-27,TRUE
BAFF-R,Zeta,2.61483833163116e-31,0.261895951285442,0.74,0.491,5.6977327246243e-27,TRUE
BAFF-R,Zeta,1.02157455481686e-29,0.314224553108299,0.884,0.741,2.22601095494593e-25,TRUE
BAFF-R,Zeta,1.27852033294747e-28,0.294542128689575,0.724,0.465,2.78589580549253e-24,TRUE
BAFF-R,Zeta,4.24197801788452e-28,0.287968222897912,0.625,0.379,9.24327010097037e-24,TRUE
BAFF-R,Zeta,2.25486825635454e-27,0.204112666537751,0.273,0.08,4.91335793059655e-23,TRUE
BAFF-R,Zeta,1.38975341577791e-26,0.324887605627988,0.729,0.503,3.02827269298006e-22,TRUE
BAFF-R,Zeta,4.18993717615762e-26,-0.342770071914068,0.954,0.967,9.12987310684745e-22,TRUE
BAFF-R,Zeta,4.71169229694012e-26,-0.366404085641981,0.931,0.946,1.02667775150325e-21,TRUE
BAFF-R,Zeta,5.09390373334336e-26,0.369318077519957,0.598,0.377,1.10996162349552e-21,TRUE
BAFF-R,Zeta,3.90997895947531e-24,0.28817117224802,0.96,0.898,8.5198441526967e-20,TRUE
BAFF-R,Zeta,5.47155433433952e-24,0.338867779143372,0.866,0.706,1.19225168945258e-19,TRUE
BAFF-R,Zeta,5.64538369489071e-24,0.270648319398469,0.992,0.973,1.23012910711669e-19,TRUE
BAFF-R,Zeta,1.252271276436e-22,0.220615135036655,0.979,0.917,2.72869911135404e-18,TRUE
BAFF-R,Zeta,7.11249955474246e-22,0.215680215336784,0.67,0.444,1.54981365297838e-17,TRUE
BAFF-R,Zeta,1.86291206934161e-21,-0.48750451323006,0.52,0.692,4.05928539909538e-17,TRUE
BAFF-R,Zeta,3.86275189897652e-21,-0.21308717436329,0.998,1,8.41693638786983e-17,TRUE
BAFF-R,Zeta,1.06334206586978e-20,0.222935460505608,0.627,0.397,2.31702236153025e-16,TRUE
BAFF-R,Zeta,3.03616733162215e-20,0.200560266712086,0.971,0.903,6.61580861560467e-16,TRUE
BAFF-R,Zeta,3.22588592545125e-19,0.255928943159013,0.767,0.575,7.02920543155827e-15,TRUE
BAFF-R,Zeta,8.01233865297229e-19,-0.316720178038763,0.928,0.945,1.74588859248266e-14,TRUE
BAFF-R,Zeta,2.01260900440401e-18,-0.24096457793321,0.933,0.923,4.38547502059634e-14,TRUE
BAFF-R,Zeta,6.81324794812875e-18,0.23716013398963,0.949,0.88,1.48460672789725e-13,TRUE
BAFF-R,Zeta,2.30612957411682e-17,-0.300598069161494,0.689,0.76,5.02505634200055e-13,TRUE
BAFF-R,Zeta,2.15296741448894e-16,0.206599213497774,0.802,0.63,4.6913159961714e-12,TRUE
BAFF-R,Zeta,1.28168431856574e-15,0.241770103718359,0.912,0.808,2.79279013015476e-11,TRUE
BAFF-R,Zeta,5.15101182288742e-14,0.271453494411279,0.826,0.703,1.12240547620717e-09,TRUE
BAFF-R,Zeta,6.85728540901767e-14,0.218076392493124,0.99,0.983,1.49420249062495e-09,TRUE
BAFF-R,Zeta,8.58965937878945e-14,0.225501201466297,0.877,0.77,1.87168677863822e-09,TRUE
BAFF-R,Zeta,3.84388217516054e-13,0.210119049810835,0.967,0.92,8.37581925967481e-09,TRUE
BAFF-R,Zeta,1.05759851847582e-12,-0.21344406865847,0.935,0.934,2.30450717175881e-08,TRUE
BAFF-R,Zeta,3.7819488893554e-12,0.274742068969087,0.813,0.693,8.24086662990542e-08,TRUE
BAFF-R,Zeta,3.85195596303755e-12,0.447379623560632,0.324,0.187,8.39341204345882e-08,TRUE
BAFF-R,Zeta,1.03878947930478e-11,-0.314263244404438,1,1,2.26352227540512e-07,TRUE
BAFF-R,Zeta,1.04573233383056e-11,-0.222967713922697,0.158,0.289,2.27865075541679e-07,TRUE
BAFF-R,Zeta,1.81464179715458e-11,0.208295633851189,0.888,0.808,3.95410447599984e-07,TRUE
BAFF-R,Zeta,4.32028546501521e-11,-0.27899211199442,0.703,0.721,9.41390202826814e-07,TRUE
BAFF-R,Zeta,1.59851703414132e-10,-0.203085237891865,0.49,0.595,3.48316861739393e-06,TRUE
BAFF-R,Zeta,4.8972749790723e-10,-0.328034150322575,0.337,0.448,1.06711621793985e-05,TRUE
BAFF-R,Zeta,5.63169134301773e-10,-0.228622643659839,0.522,0.604,1.22714554364356e-05,TRUE
BAFF-R,Zeta,6.29850421577212e-10,-0.250631600654195,0.541,0.605,1.37244406861675e-05,TRUE
