ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R,Zeta,gse_mf,GO:0023023,MHC protein complex binding,5,0.713722818682876,1.75246685319799,0.00711743772241993,0.00711743772241993,0.292189548604608,5,"tags=60%, list=8%, signal=60%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,Zeta,gse_mf,GO:0023026,MHC class II protein complex binding,5,0.713722818682876,1.75246685319799,0.00711743772241993,0.00711743772241993,0.292189548604608,5,"tags=60%, list=8%, signal=60%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,Zeta,gse_mf,GO:0003823,antigen binding,7,0.616100666263254,1.7071417745751,0.015625,0.015625,0.320723684210526,17,"tags=71%, list=27%, signal=58%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1
BAFF-R,Zeta,gse_mf,GO:0042605,peptide antigen binding,7,0.616100666263254,1.7071417745751,0.015625,0.015625,0.320723684210526,17,"tags=71%, list=27%, signal=58%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1
BAFF-R,Zeta,gse_mf,GO:0033218,amide binding,11,0.486824973387377,1.62915145590934,0.0307443365695793,0.0307443365695793,0.420711974110032,20,"tags=64%, list=32%, signal=52%",HLA-DRA/HLA-DRB1/CD74/HLA-DPA1/HLA-DPB1/HLA-DQB1/HSP90AB1
BAFF-R,Zeta,gse_mf,GO:0042277,peptide binding,11,0.486824973387377,1.62915145590934,0.0307443365695793,0.0307443365695793,0.420711974110032,20,"tags=64%, list=32%, signal=52%",HLA-DRA/HLA-DRB1/CD74/HLA-DPA1/HLA-DPB1/HLA-DQB1/HSP90AB1
BAFF-R,Zeta,gse_bp,GO:0002250,adaptive immune response,11,0.654735282816299,2.14782177303859,0.00168067226890756,0.00168067226890756,0.121301502442621,17,"tags=73%, list=27%, signal=64%",HLA-DRA/HLA-DRB1/IFNG/CD74/HLA-DPA1/HLA-DPB1/HSPD1/HLA-DQB1
BAFF-R,Zeta,gse_bp,GO:0001817,regulation of cytokine production,10,0.639673006683419,2.05546727752072,0.00168634064080944,0.00168634064080944,0.121301502442621,20,"tags=80%, list=32%, signal=65%",IFNG/CD74/HLA-DPA1/HILPDA/HLA-DPB1/BIRC3/HSPD1/HSP90AB1
BAFF-R,Zeta,gse_bp,GO:0030155,regulation of cell adhesion,10,0.634331205703231,2.04774260348722,0.00172711571675302,0.00172711571675302,0.121301502442621,15,"tags=70%, list=24%, signal=63%",IFNG/CD74/HLA-DPA1/IL2RA/CYTIP/HLA-DPB1/HSPD1
BAFF-R,Zeta,gse_bp,GO:0007159,leukocyte cell-cell adhesion,9,0.595016981085646,1.8276322551149,0.00173913043478261,0.00173913043478261,0.121301502442621,15,"tags=67%, list=24%, signal=59%",IFNG/CD74/HLA-DPA1/IL2RA/HLA-DPB1/HSPD1
BAFF-R,Zeta,gse_bp,GO:0022407,regulation of cell-cell adhesion,9,0.595016981085646,1.8276322551149,0.00173913043478261,0.00173913043478261,0.121301502442621,15,"tags=67%, list=24%, signal=59%",IFNG/CD74/HLA-DPA1/IL2RA/HLA-DPB1/HSPD1
BAFF-R,Zeta,gse_bp,GO:0022409,positive regulation of cell-cell adhesion,9,0.595016981085646,1.8276322551149,0.00173913043478261,0.00173913043478261,0.121301502442621,15,"tags=67%, list=24%, signal=59%",IFNG/CD74/HLA-DPA1/IL2RA/HLA-DPB1/HSPD1
