ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
CD28,4-1BB,gse_mf,GO:0033218,amide binding,6,-0.708333333333333,-1.88403580362237,0.0120481927710843,0.0120481927710843,0.111642743221691,14,"tags=100%, list=47%, signal=67%",HLA-DPA1/HLA-DPB1/ITM2B/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_mf,GO:0042277,peptide binding,6,-0.708333333333333,-1.88403580362237,0.0120481927710843,0.0120481927710843,0.111642743221691,14,"tags=100%, list=47%, signal=67%",HLA-DPA1/HLA-DPB1/ITM2B/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_mf,GO:0003823,antigen binding,4,-0.769230769230769,-1.76080075161573,0.0151515151515152,0.0151515151515152,0.111642743221691,11,"tags=100%, list=37%, signal=73%",HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_mf,GO:0042605,peptide antigen binding,4,-0.769230769230769,-1.76080075161573,0.0151515151515152,0.0151515151515152,0.111642743221691,11,"tags=100%, list=37%, signal=73%",HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_mf,GO:0044877,protein-containing complex binding,4,-0.721838960202581,-1.67425001762868,0.0395061728395062,0.0395061728395062,0.232878492527615,6,"tags=75%, list=20%, signal=69%",HLA-DRB1/HLA-DRA/VIM
CD28,4-1BB,gse_bp,GO:0002253,activation of immune response,5,-0.8,-1.99813435672521,0.0121359223300971,0.0121359223300971,0.908308806882499,11,"tags=100%, list=37%, signal=76%",PTPRC/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0002429,immune response-activating cell surface receptor signaling pathway,5,-0.8,-1.99813435672521,0.0121359223300971,0.0121359223300971,0.908308806882499,11,"tags=100%, list=37%, signal=76%",PTPRC/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0002757,immune response-activating signal transduction,5,-0.8,-1.99813435672521,0.0121359223300971,0.0121359223300971,0.908308806882499,11,"tags=100%, list=37%, signal=76%",PTPRC/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0002764,immune response-regulating signaling pathway,5,-0.8,-1.99813435672521,0.0121359223300971,0.0121359223300971,0.908308806882499,11,"tags=100%, list=37%, signal=76%",PTPRC/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0002768,immune response-regulating cell surface receptor signaling pathway,5,-0.8,-1.99813435672521,0.0121359223300971,0.0121359223300971,0.908308806882499,11,"tags=100%, list=37%, signal=76%",PTPRC/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0050851,antigen receptor-mediated signaling pathway,5,-0.8,-1.99813435672521,0.0121359223300971,0.0121359223300971,0.908308806882499,11,"tags=100%, list=37%, signal=76%",PTPRC/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0050852,T cell receptor signaling pathway,5,-0.8,-1.99813435672521,0.0121359223300971,0.0121359223300971,0.908308806882499,11,"tags=100%, list=37%, signal=76%",PTPRC/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0002449,lymphocyte mediated immunity,4,0.743257851170329,1.58998866394072,0.0297029702970297,0.0297029702970297,0.908308806882499,2,"tags=50%, list=7%, signal=54%",GZMB/LTA
CD28,4-1BB,gse_bp,GO:0002478,antigen processing and presentation of exogenous peptide antigen,5,-0.68,-1.69405966103563,0.0338983050847458,0.0338983050847458,0.908308806882499,14,"tags=100%, list=47%, signal=64%",HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,5,-0.68,-1.69405966103563,0.0338983050847458,0.0338983050847458,0.908308806882499,14,"tags=100%, list=47%, signal=64%",HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,5,-0.68,-1.69405966103563,0.0338983050847458,0.0338983050847458,0.908308806882499,14,"tags=100%, list=47%, signal=64%",HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0019882,antigen processing and presentation,5,-0.68,-1.69405966103563,0.0338983050847458,0.0338983050847458,0.908308806882499,14,"tags=100%, list=47%, signal=64%",HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0019884,antigen processing and presentation of exogenous antigen,5,-0.68,-1.69405966103563,0.0338983050847458,0.0338983050847458,0.908308806882499,14,"tags=100%, list=47%, signal=64%",HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,5,-0.68,-1.69405966103563,0.0338983050847458,0.0338983050847458,0.908308806882499,14,"tags=100%, list=47%, signal=64%",HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0048002,antigen processing and presentation of peptide antigen,5,-0.68,-1.69405966103563,0.0338983050847458,0.0338983050847458,0.908308806882499,14,"tags=100%, list=47%, signal=64%",HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_bp,GO:0010942,positive regulation of cell death,7,0.610745158306558,1.57401628516182,0.045662100456621,0.045662100456621,0.908308806882499,13,"tags=86%, list=43%, signal=63%",GZMB/LTA/G0S2/DDIT4/IFNG/BNIP3
CD28,4-1BB,gse_kegg,hsa04514,Cell adhesion molecules,5,-0.8,-2.02610024039665,0.00495049504950495,0.00495049504950495,0.054715997915581,11,"tags=100%, list=37%, signal=76%",PTPRC/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_kegg,hsa05169,Epstein-Barr virus infection,5,-0.8,-2.02610024039665,0.00495049504950495,0.00495049504950495,0.054715997915581,11,"tags=100%, list=37%, signal=76%",HLA-DPB1/HLA-DRB1/HLA-DRA/VIM
CD28,4-1BB,gse_kegg,hsa04145,Phagosome,4,-0.769230769230769,-1.82925881663909,0.0283687943262411,0.0283687943262411,0.109431995831162,11,"tags=100%, list=37%, signal=73%",HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_kegg,hsa05150,Staphylococcus aureus infection,4,-0.769230769230769,-1.82925881663909,0.0283687943262411,0.0283687943262411,0.109431995831162,11,"tags=100%, list=37%, signal=73%",HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_kegg,hsa05416,Viral myocarditis,4,-0.769230769230769,-1.82925881663909,0.0283687943262411,0.0283687943262411,0.109431995831162,11,"tags=100%, list=37%, signal=73%",HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_kegg,hsa05323,Rheumatoid arthritis,6,-0.618848710763071,-1.70785758110365,0.0341207349081365,0.0341207349081365,0.109431995831162,11,"tags=83%, list=37%, signal=66%",HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DRA/LTB
CD28,4-1BB,gse_kegg,hsa04672,Intestinal immune network for IgA production,5,-0.64,-1.62088019231732,0.0346534653465347,0.0346534653465347,0.109431995831162,15,"tags=100%, list=50%, signal=60%",HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DRA
CD28,4-1BB,gse_kegg,hsa05310,Asthma,6,-0.583333333333333,-1.60984460065429,0.0498687664041995,0.0498687664041995,0.137795275590551,17,"tags=100%, list=57%, signal=54%",IL5/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DRA
