ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
CD28,Zeta,2.49166994329262e-123,0.861611247971909,0.802,0.377,5.42934880643461e-119,TRUE
CD28,Zeta,1.10109586112594e-121,0.975536205679381,0.909,0.706,2.39928788139342e-117,TRUE
CD28,Zeta,1.57902560767745e-114,-0.796496558355774,0.961,0.988,3.44069679912916e-110,TRUE
CD28,Zeta,3.77634851401659e-111,0.481464319973001,0.529,0.089,8.22866341204216e-107,TRUE
CD28,Zeta,1.20193596517146e-97,-0.535679295226127,0.983,0.989,2.6190184681086e-93,TRUE
CD28,Zeta,3.31257400596669e-92,-0.702935208458877,0.973,0.981,7.21809875900142e-88,TRUE
CD28,Zeta,1.14013596000163e-89,-0.465842123385174,0.979,0.972,2.48435625684354e-85,TRUE
CD28,Zeta,4.08691025644582e-86,1.09218109850006,0.968,0.866,8.90537744879543e-82,TRUE
CD28,Zeta,2.66136649680008e-84,0.539922773072239,0.809,0.397,5.79911759652738e-80,TRUE
CD28,Zeta,9.13362591261797e-84,0.788427338305785,0.557,0.158,1.99021708635946e-79,TRUE
CD28,Zeta,8.63930174241995e-82,1.48878964937017,0.825,0.519,1.88250384967331e-77,TRUE
CD28,Zeta,2.29973910199282e-81,-0.457480457092872,1,1,5.01113150324235e-77,TRUE
CD28,Zeta,4.43978023413617e-79,0.439703053709189,0.691,0.293,9.67428113018271e-75,TRUE
CD28,Zeta,1.94207301502926e-78,0.384272240883153,0.528,0.141,4.23177709974876e-74,TRUE
CD28,Zeta,3.56718403725948e-77,0.281245707723279,0.523,0.138,7.7728940171884e-73,TRUE
CD28,Zeta,2.93516735709524e-76,-0.338959120401541,1,1,6.39572967111052e-72,TRUE
CD28,Zeta,1.34010090131227e-75,0.550107684017326,0.929,0.741,2.92007986395944e-71,TRUE
CD28,Zeta,3.52186530894627e-75,0.34458911645616,0.543,0.164,7.67414450819392e-71,TRUE
CD28,Zeta,3.66856755056045e-74,0.49796714582732,0.953,0.77,7.99380869267121e-70,TRUE
CD28,Zeta,8.13136789704515e-74,0.393576659474973,0.975,0.903,1.77182506476614e-69,TRUE
CD28,Zeta,2.46523049345212e-71,0.545472631829328,0.797,0.484,5.37173724523217e-67,TRUE
CD28,Zeta,2.60028289464992e-71,-0.571118887052426,0.849,0.945,5.66601642744217e-67,TRUE
CD28,Zeta,3.34342679992418e-69,0.44044485873083,0.953,0.823,7.28532699703479e-65,TRUE
CD28,Zeta,5.64962989030718e-69,0.567398741272294,0.816,0.503,1.23105435309793e-64,TRUE
CD28,Zeta,2.10538527827114e-68,-0.668635731787982,0.406,0.764,4.58763452135281e-64,TRUE
CD28,Zeta,3.74291810684916e-68,0.439125294866517,0.31,0.032,8.15581855482431e-64,TRUE
CD28,Zeta,3.74824384039925e-68,0.480721734341446,0.977,0.898,8.16742332822996e-64,TRUE
CD28,Zeta,4.42495666041204e-68,0.427487416906215,0.996,0.973,9.64198056303783e-64,TRUE
CD28,Zeta,7.79632072778343e-66,0.249362796538361,0.393,0.078,1.69881828658401e-61,TRUE
CD28,Zeta,1.09761683715931e-65,0.343923369613111,0.659,0.269,2.39170708817014e-61,TRUE
CD28,Zeta,5.86852658276114e-65,-0.505892326621619,0.945,0.967,1.27875194238365e-60,TRUE
CD28,Zeta,9.59250746987236e-65,-0.318887142436855,0.995,0.995,2.09020737768519e-60,TRUE
CD28,Zeta,6.96369222180298e-64,0.455166175679726,0.944,0.731,1.51738853513087e-59,TRUE
CD28,Zeta,1.71998875245602e-63,0.350618577255946,0.98,0.91,3.74785549160167e-59,TRUE
CD28,Zeta,1.13025401889707e-62,0.740285759547689,0.88,0.693,2.46282350717671e-58,TRUE
CD28,Zeta,1.6053242959039e-62,0.784482395160033,0.412,0.099,3.4980016407746e-58,TRUE
CD28,Zeta,2.02832663100685e-61,0.261054279605952,0.336,0.055,4.41972372896392e-57,TRUE
CD28,Zeta,9.12024603034066e-61,0.424609787482777,0.771,0.459,1.98730161001123e-56,TRUE
CD28,Zeta,2.27483828028998e-60,0.534823916177578,0.925,0.808,4.95687261275187e-56,TRUE
CD28,Zeta,2.97740500450525e-59,0.332188489742806,0.999,0.992,6.48776550481694e-55,TRUE
CD28,Zeta,3.05327912640404e-58,0.420225142515818,0.821,0.545,6.65309521643441e-54,TRUE
CD28,Zeta,3.83978591186893e-58,0.396367022182159,0.842,0.571,8.3668935019624e-54,TRUE
CD28,Zeta,4.114129662857e-58,0.396600605306272,0.781,0.473,8.9646885353654e-54,TRUE
CD28,Zeta,2.60480270750433e-57,0.348955405979543,0.991,0.939,5.67586509965193e-53,TRUE
CD28,Zeta,4.71594410135129e-57,0.393039587362832,0.849,0.572,1.02760421968445e-52,TRUE
CD28,Zeta,2.45473745887954e-56,0.335782355786828,0.57,0.236,5.34887292289852e-52,TRUE
CD28,Zeta,1.61859413551099e-55,-0.571568456883082,0.869,0.89,3.52691662127844e-51,TRUE
CD28,Zeta,6.77790377408214e-55,0.380026189067977,0.925,0.776,1.4769052323725e-50,TRUE
CD28,Zeta,1.60081832871104e-54,0.484955787835111,0.503,0.193,3.48818313826135e-50,TRUE
CD28,Zeta,6.66435760329573e-54,0.364525734087793,0.898,0.725,1.45216352175814e-49,TRUE
CD28,Zeta,2.9087187553469e-53,-0.36377169569832,0.959,0.972,6.33809816790089e-49,TRUE
CD28,Zeta,1.68109903337682e-52,0.357346383384408,0.833,0.563,3.66311479372809e-48,TRUE
CD28,Zeta,1.73437233414852e-52,0.340044050260362,0.945,0.789,3.77919731610962e-48,TRUE
CD28,Zeta,3.37961060619782e-52,0.289537570265339,0.988,0.959,7.36417151090504e-48,TRUE
CD28,Zeta,1.20395408463989e-51,-0.557635045053889,0.575,0.758,2.62341595043032e-47,TRUE
CD28,Zeta,2.10833236800339e-51,0.28295848932241,0.619,0.269,4.5940562298794e-47,TRUE
CD28,Zeta,7.03125790142878e-51,0.33911323072513,0.726,0.426,1.53211109672133e-46,TRUE
CD28,Zeta,1.32454536720736e-50,0.204689063023528,0.44,0.134,2.88618435514483e-46,TRUE
CD28,Zeta,1.51475020015975e-49,-0.435692829477304,0.544,0.726,3.30064068614809e-45,TRUE
CD28,Zeta,1.93709346158711e-49,0.33660254280536,0.82,0.548,4.22092665279831e-45,TRUE
CD28,Zeta,2.0912888866129e-49,-0.418161888814234,0.814,0.855,4.55691848392951e-45,TRUE
CD28,Zeta,5.36248693214464e-49,0.223905229787659,0.603,0.266,1.16848590251432e-44,TRUE
CD28,Zeta,7.87768350088324e-49,0.336394251927788,0.81,0.572,1.71654723484246e-44,TRUE
CD28,Zeta,8.130240252379e-48,-0.271599849792155,0.985,0.981,1.77157935099339e-43,TRUE
CD28,Zeta,1.22040636628865e-47,0.258446861873907,0.579,0.263,2.65926547214297e-43,TRUE
CD28,Zeta,1.30916507646106e-47,-0.41873232816546,0.701,0.851,2.85267070160866e-43,TRUE
CD28,Zeta,1.31384922490619e-47,0.388388209165734,0.881,0.719,2.86287746107059e-43,TRUE
CD28,Zeta,1.72638336599913e-47,-0.465950279003615,0.869,0.889,3.76178935451211e-43,TRUE
CD28,Zeta,2.82207872952556e-47,0.294567722215978,0.983,0.917,6.14930955163619e-43,TRUE
CD28,Zeta,3.18908625318549e-47,-0.29802737726183,0.992,0.989,6.94901894569119e-43,TRUE
CD28,Zeta,4.01599471823057e-47,0.369628576675837,0.952,0.865,8.75085249102441e-43,TRUE
CD28,Zeta,5.62188269161337e-47,-0.474033175093912,0.297,0.582,1.22500823850255e-42,TRUE
CD28,Zeta,1.00742148231151e-46,-0.402083056682667,0.894,0.934,2.19517140995679e-42,TRUE
CD28,Zeta,1.04348532314949e-46,0.269965320251351,0.628,0.31,2.27375451914273e-42,TRUE
CD28,Zeta,1.4117538567343e-46,0.249043049049126,0.611,0.278,3.07621165382404e-42,TRUE
CD28,Zeta,3.22519570398049e-46,0.306823208676021,0.952,0.85,7.02770143897349e-42,TRUE
CD28,Zeta,5.67400138854869e-46,0.341289076457888,0.975,0.903,1.23636490256476e-41,TRUE
CD28,Zeta,7.03521556385943e-46,-0.446176457905476,0.672,0.799,1.53297347136497e-41,TRUE
CD28,Zeta,2.0581379033814e-45,-0.253985848867718,0.996,0.994,4.48468249146808e-41,TRUE
CD28,Zeta,2.11540518752743e-45,0.31425558850231,0.936,0.768,4.60946790362227e-41,TRUE
CD28,Zeta,1.75020359705943e-44,-0.286312134789342,0.972,0.96,3.8136936379925e-40,TRUE
CD28,Zeta,4.44437535905631e-44,0.567396783765031,0.799,0.584,9.68429390738369e-40,TRUE
CD28,Zeta,5.8360131633473e-44,-0.221624409146777,1,1,1.27166726829338e-39,TRUE
CD28,Zeta,7.2747379186655e-44,0.318383710823573,0.898,0.722,1.58516539247721e-39,TRUE
CD28,Zeta,1.16852968069144e-43,0.243300751103651,0.62,0.291,2.54622617422664e-39,TRUE
CD28,Zeta,2.13673930933099e-43,0.296924442912197,0.746,0.441,4.65595495503223e-39,TRUE
CD28,Zeta,9.25991682145528e-43,0.353541525622629,0.929,0.803,2.01773587539511e-38,TRUE
CD28,Zeta,2.11416508867148e-42,0.268008729757832,0.977,0.917,4.60676572821515e-38,TRUE
CD28,Zeta,2.14959922869549e-42,0.276535941292798,0.658,0.333,4.68397671932748e-38,TRUE
CD28,Zeta,2.18375648663446e-42,0.297682912243996,0.932,0.798,4.7584053843765e-38,TRUE
CD28,Zeta,2.96382332184255e-42,0.314100522344309,0.568,0.281,6.45817101829491e-38,TRUE
CD28,Zeta,5.58008616682764e-42,0.241440979340067,0.447,0.164,1.21590077575174e-37,TRUE
CD28,Zeta,6.84848415973888e-42,0.364485979787173,0.98,0.92,1.4922846984071e-37,TRUE
CD28,Zeta,6.94414415074104e-42,0.254146519805768,0.561,0.258,1.51312901044647e-37,TRUE
CD28,Zeta,1.75425617997215e-41,0.272894870081494,0.504,0.209,3.82252421615931e-37,TRUE
CD28,Zeta,3.59012215250655e-41,0.288069124855065,0.821,0.566,7.82287617031176e-37,TRUE
CD28,Zeta,8.76497904600904e-41,0.360750863572925,0.926,0.808,1.90988893412537e-36,TRUE
CD28,Zeta,1.20108927431286e-40,0.264245388922693,0.988,0.959,2.61717352872771e-36,TRUE
CD28,Zeta,3.09328477666629e-40,0.303523721401472,0.762,0.517,6.74026752835583e-36,TRUE
CD28,Zeta,3.87963977356611e-40,-0.315114557498762,0.914,0.897,8.45373506660055e-36,TRUE
CD28,Zeta,4.11627800169735e-40,0.244886722580135,0.648,0.343,8.96936976569853e-36,TRUE
CD28,Zeta,5.29539395742591e-40,0.249533694818634,0.658,0.357,1.15386634332311e-35,TRUE
CD28,Zeta,5.72478284926934e-40,-0.249430201408524,1,1,1.24743018285579e-35,TRUE
CD28,Zeta,9.58621661093707e-40,0.310720518369812,0.83,0.581,2.08883659952319e-35,TRUE
CD28,Zeta,1.47240435172463e-39,0.2002299936108,0.59,0.276,3.20836908240797e-35,TRUE
CD28,Zeta,1.55233011187589e-39,-0.304105008080955,0.972,0.946,3.38252731377757e-35,TRUE
CD28,Zeta,2.14597033866969e-39,0.275774001724169,0.836,0.58,4.67606936796126e-35,TRUE
CD28,Zeta,3.48875637587944e-39,0.407210826698565,0.894,0.724,7.60200014304131e-35,TRUE
CD28,Zeta,4.31890209822827e-39,-0.381426387743425,0.92,0.909,9.41088767203939e-35,TRUE
CD28,Zeta,6.77903152011326e-39,0.281148294499093,0.584,0.291,1.47715096823268e-34,TRUE
CD28,Zeta,1.30958806113231e-38,0.351924380478311,0.992,0.983,2.85359238520731e-34,TRUE
CD28,Zeta,1.42547348568824e-38,0.24454195031244,0.969,0.894,3.10610672531468e-34,TRUE
CD28,Zeta,2.3999239867852e-38,0.356324411316817,0.797,0.549,5.22943436720495e-34,TRUE
CD28,Zeta,2.61411754788184e-37,0.248706663309548,0.71,0.42,5.69616213683453e-33,TRUE
CD28,Zeta,3.02976530475462e-37,0.273568886966551,0.758,0.48,6.60185859906031e-33,TRUE
CD28,Zeta,3.73152804555876e-37,0.239576093706245,0.46,0.19,8.13099961127254e-33,TRUE
CD28,Zeta,7.95406145467649e-37,0.268251066401731,0.951,0.872,1.73318999097401e-32,TRUE
CD28,Zeta,1.00690889081058e-36,-0.328697432617969,0.92,0.912,2.19405447307625e-32,TRUE
CD28,Zeta,2.1739471142451e-36,0.270438192454514,0.742,0.465,4.73703076194007e-32,TRUE
CD28,Zeta,2.19684450722717e-36,0.246486613145813,0.783,0.477,4.786924181248e-32,TRUE
CD28,Zeta,3.71111135201854e-36,0.299367513568435,0.924,0.801,8.08651163604841e-32,TRUE
CD28,Zeta,5.57673718009363e-36,0.290685746520865,0.817,0.596,1.2151710315424e-31,TRUE
CD28,Zeta,6.10486691171659e-36,0.277947266320719,0.929,0.786,1.33025050006305e-31,TRUE
CD28,Zeta,9.76985090834717e-36,-0.202497508990572,0.999,0.998,2.12885051292885e-31,TRUE
CD28,Zeta,9.89051975490216e-36,0.275834839569779,0.762,0.491,2.15514425459318e-31,TRUE
CD28,Zeta,1.86710109344061e-35,0.301422833313347,0.63,0.36,4.0684132826071e-31,TRUE
CD28,Zeta,1.95043648762384e-35,0.333514034117173,0.781,0.478,4.25000110653235e-31,TRUE
CD28,Zeta,2.41904048374561e-35,0.245285784937369,0.972,0.884,5.27108921408169e-31,TRUE
CD28,Zeta,4.27024531944587e-35,0.220336789780563,0.508,0.234,9.30486455107255e-31,TRUE
CD28,Zeta,4.78584502288444e-35,0.218690803355915,0.509,0.237,1.04283563048652e-30,TRUE
CD28,Zeta,9.35061965608851e-35,0.266956840446458,0.908,0.72,2.03750002306169e-30,TRUE
CD28,Zeta,1.06896501201661e-34,0.256718158381698,0.833,0.561,2.3292747611842e-30,TRUE
CD28,Zeta,6.13713918758579e-34,-0.227507929422763,0.997,0.978,1.33728262897494e-29,TRUE
CD28,Zeta,7.01344202095695e-34,1.11204950854067,0.357,0.132,1.52822901636652e-29,TRUE
CD28,Zeta,9.59440734278261e-34,0.276065397939332,0.799,0.526,2.09062135999233e-29,TRUE
CD28,Zeta,1.05684863618546e-33,0.215818151869807,0.741,0.461,2.30287317824811e-29,TRUE
CD28,Zeta,1.32186244981789e-33,0.233590527129212,0.733,0.446,2.88033827815319e-29,TRUE
CD28,Zeta,1.42689953135929e-33,-0.304242554200988,0.905,0.89,3.10921407883188e-29,TRUE
CD28,Zeta,1.80640328924093e-33,0.210123526338124,0.644,0.361,3.93615276725598e-29,TRUE
CD28,Zeta,2.25442980926759e-33,-0.371489910835971,0.858,0.872,4.91240255439409e-29,TRUE
CD28,Zeta,2.84611538191666e-33,0.229688799239773,0.778,0.528,6.2016854171964e-29,TRUE
CD28,Zeta,3.31565746268795e-33,0.261316059482488,0.921,0.773,7.22481761119705e-29,TRUE
CD28,Zeta,5.40012882721625e-33,0.230470026629423,0.953,0.812,1.17668807145042e-28,TRUE
CD28,Zeta,5.79260088963676e-33,0.256472451014635,0.94,0.842,1.26220773385185e-28,TRUE
CD28,Zeta,6.4547264590899e-33,-0.271566579582254,0.993,0.989,1.40648489543569e-28,TRUE
CD28,Zeta,8.46484206273788e-33,-0.240556145731506,0.991,0.989,1.84448908547058e-28,TRUE
CD28,Zeta,9.46584561177782e-33,0.205962477027903,0.639,0.362,2.06260775880639e-28,TRUE
CD28,Zeta,1.0571182097219e-32,0.256673148559757,0.969,0.84,2.30346057898402e-28,TRUE
CD28,Zeta,1.43315005109127e-32,0.257850751778317,0.852,0.663,3.12283396132788e-28,TRUE
CD28,Zeta,2.25518184652214e-32,0.304771442246794,0.828,0.575,4.91404124357175e-28,TRUE
