ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
CD40,4-1BB,1.93083897903927e-35,0.288682384605863,0.787,0.616,4.20729813532657e-31,TRUE
CD40,4-1BB,2.23576488026637e-32,-0.269458220789115,0.636,0.772,4.87173167410042e-28,TRUE
CD40,4-1BB,5.97955850751091e-29,0.205151372333778,0.718,0.54,1.30294579878663e-24,TRUE
CD40,4-1BB,7.10182193846881e-27,-0.232160812272766,0.809,0.857,1.54748700039235e-22,TRUE
CD40,4-1BB,7.36299362392364e-22,0.259675575002496,0.872,0.811,1.60439631065296e-17,TRUE
CD40,4-1BB,3.18571939950578e-18,0.203675918731204,0.901,0.861,6.9416825715231e-14,TRUE
CD40,4-1BB,7.04601193251431e-18,-0.30872193419367,0.58,0.674,1.53532600009487e-13,TRUE
CD40,4-1BB,2.27231868730474e-14,0.772140171915264,0.415,0.311,4.95138241963704e-10,TRUE
CD40,4-1BB,6.80232410042556e-13,-0.500899150863215,0.244,0.346,1.48222642148273e-08,TRUE
CD40,4-1BB,5.56113482257023e-12,-0.231330547266252,0.886,0.841,1.21177127783805e-07,TRUE
CD40,4-1BB,6.14623563845479e-11,0.209102769143904,0.331,0.232,1.3392647456193e-06,TRUE
CD40,4-1BB,1.48712330540859e-09,-0.209347728070425,0.255,0.346,3.24044168248532e-05,TRUE
CD40,4-1BB,4.59867473602538e-08,0.241053714031101,0.352,0.271,0.00100205122497993,TRUE
CD40,4-1BB,1.0484650739059e-07,-0.223887973628758,0.242,0.324,0.00228460539604095,TRUE
CD40,4-1BB,1.00970848641702e-06,-0.510079416720028,0.701,0.706,0.0220015479190269,TRUE
CD40,4-1BB,3.4631121007664e-06,-0.217917993176443,0.723,0.715,0.0754612126756999,TRUE
CD40,4-1BB,0.57282802120967,-0.216022294912129,0.344,0.324,1,TRUE
