ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
CD40,CD28,1.23883346626311e-79,-0.239387084566071,0.103,0.393,2.69941812298733e-75,TRUE
CD40,CD28,8.933672628393e-78,-0.594824309384706,0.886,0.909,1.94664726572683e-73,TRUE
CD40,CD28,8.25704392973158e-76,0.546993063373258,0.787,0.473,1.79920987228851e-71,TRUE
CD40,CD28,2.7867646947839e-74,0.324941382813212,1,1,6.07236026993413e-70,TRUE
CD40,CD28,3.12698589369836e-73,-0.360090574729752,0.21,0.529,6.81370226236873e-69,TRUE
CD40,CD28,7.56787499606562e-67,-0.203105108212084,1,1,1.6490399616427e-62,TRUE
CD40,CD28,5.83596350961995e-62,0.341948117498012,0.983,0.967,1.27165644874619e-57,TRUE
CD40,CD28,1.47375630885298e-58,0.2956766781827,0.996,0.983,3.21131499699064e-54,TRUE
CD40,CD28,2.62106479012258e-57,-0.671695652560596,0.287,0.557,5.7113001776771e-53,TRUE
CD40,CD28,6.18243184306214e-57,0.463228371634873,0.718,0.414,1.34715189860324e-52,TRUE
CD40,CD28,2.71511061687089e-50,0.269010397647684,0.986,0.979,5.91622603416166e-46,TRUE
CD40,CD28,6.15258369612217e-50,0.414029094916003,0.989,0.961,1.34064798738502e-45,TRUE
CD40,CD28,8.13837746685555e-50,-0.467341715911067,0.632,0.802,1.77335245002782e-45,TRUE
CD40,CD28,1.01484012366097e-48,0.422272702432212,0.984,0.973,2.21133662945725e-44,TRUE
CD40,CD28,2.31877360379712e-46,-0.41491489025072,0.673,0.797,5.05260768267393e-42,TRUE
CD40,CD28,5.62654481105995e-46,0.257196632332409,0.964,0.914,1.22602411432996e-41,TRUE
CD40,CD28,1.01649848212134e-45,0.288484012587948,1,1,2.21495019254239e-41,TRUE
CD40,CD28,2.36805050516339e-45,-1.02677788268279,0.701,0.825,5.15998205075102e-41,TRUE
CD40,CD28,1.29822134467803e-41,0.353278979370675,0.763,0.575,2.82882431005342e-37,TRUE
CD40,CD28,1.35579991614126e-41,-0.662112257967839,0.962,0.968,2.95428801727182e-37,TRUE
CD40,CD28,2.39928247650018e-41,0.205992448868455,0.997,0.996,5.2280365162939e-37,TRUE
CD40,CD28,3.71673686633182e-41,0.24503130875785,0.983,0.972,8.09876963173703e-37,TRUE
CD40,CD28,5.49355504978944e-41,-0.244922962848003,0.413,0.659,1.19704564534912e-36,TRUE
CD40,CD28,5.37544413443692e-40,0.358139646969801,0.67,0.441,1.17130927689381e-35,TRUE
CD40,CD28,9.61489524075788e-40,0.295887759620258,0.981,0.973,2.09508567296114e-35,TRUE
CD40,CD28,1.82524948712171e-39,-0.279375080564676,0.923,0.953,3.97721863243821e-35,TRUE
CD40,CD28,1.82457710921225e-38,-0.316411209638279,0.692,0.821,3.9757535209735e-34,TRUE
CD40,CD28,1.83227730088332e-37,-0.288763703025879,0.636,0.854,3.99253223862476e-33,TRUE
CD40,CD28,2.00877662317686e-37,-0.264813841061732,0.347,0.57,4.37712426190238e-33,TRUE
