ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
CD40,CD28,gse_mf,GO:0042605,peptide antigen binding,5,0.802083333333333,2.06274337768166,0.0020703933747412,0.0020703933747412,0.0534539473684211,24,"tags=100%, list=24%, signal=80%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1
CD40,CD28,gse_mf,GO:0033218,amide binding,8,0.686681654186952,2.15063169983389,0.00218340611353712,0.00218340611353712,0.0534539473684211,29,"tags=88%, list=29%, signal=68%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1/ITM2B
CD40,CD28,gse_mf,GO:0042277,peptide binding,8,0.686681654186952,2.15063169983389,0.00218340611353712,0.00218340611353712,0.0534539473684211,29,"tags=88%, list=29%, signal=68%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1/ITM2B
CD40,CD28,gse_mf,GO:0003823,antigen binding,9,0.715605468987053,2.30312102609193,0.00223214285714286,0.00223214285714286,0.0534539473684211,28,"tags=89%, list=28%, signal=71%",HLA-DRA/HLA-DRB1/TRBC2/HLA-DPA1/TRBC1/HLA-DPB1/HLA-DQB1/ITGA4
CD40,CD28,gse_mf,GO:0023023,MHC protein complex binding,4,0.789182130454333,1.84189555543201,0.0043956043956044,0.0043956043956044,0.0701754385964912,10,"tags=75%, list=10%, signal=70%",HLA-DRA/HLA-DRB1/CD74
CD40,CD28,gse_mf,GO:0023026,MHC class II protein complex binding,4,0.789182130454333,1.84189555543201,0.0043956043956044,0.0043956043956044,0.0701754385964912,10,"tags=75%, list=10%, signal=70%",HLA-DRA/HLA-DRB1/CD74
CD40,CD28,gse_mf,GO:0042802,identical protein binding,15,0.426720397739331,1.68303035861723,0.0319634703196347,0.0319634703196347,0.365011603587084,25,"tags=60%, list=25%, signal=53%",S100A4/CD74/TNFSF10/PTPRC/CCL5/TOP2A/VIM/ANXA1/CD38
CD40,CD28,gse_mf,GO:0005125,cytokine activity,8,-0.592723603680579,-1.72625613729174,0.0324909747292419,0.0324909747292419,0.365011603587084,10,"tags=50%, list=10%, signal=49%",NAMPT/IL13/LTA/IL5
CD40,CD28,gse_mf,GO:0030545,receptor regulator activity,9,-0.545365127737673,-1.64124442194217,0.0404217926186292,0.0404217926186292,0.365011603587084,10,"tags=44%, list=10%, signal=44%",NAMPT/IL13/LTA/IL5
CD40,CD28,gse_mf,GO:0048018,receptor ligand activity,9,-0.545365127737673,-1.64124442194217,0.0404217926186292,0.0404217926186292,0.365011603587084,10,"tags=44%, list=10%, signal=44%",NAMPT/IL13/LTA/IL5
CD40,CD28,gse_mf,GO:0032395,MHC class II receptor activity,3,0.785714285714286,1.6022137156552,0.0419161676646707,0.0419161676646707,0.365011603587084,24,"tags=100%, list=24%, signal=79%",HLA-DRA/HLA-DPA1/HLA-DQB1
CD40,CD28,gse_mf,GO:0044877,protein-containing complex binding,10,0.465926535013206,1.56914333482862,0.0471698113207547,0.0471698113207547,0.376530950016551,44,"tags=80%, list=44%, signal=50%",HLA-DRA/HLA-DRB1/CD74/VIM/GMFG/FYB1/COTL1/HLA-DMA
CD40,CD28,gse_bp,GO:0009628,response to abiotic stimulus,13,-0.611173213230228,-2.0806251053167,0.00177935943060498,0.00177935943060498,0.188409620542585,11,"tags=46%, list=11%, signal=47%",DDIT4/NAMPT/IL13/BNIP3/LTA/HILPDA
CD40,CD28,gse_bp,GO:0036293,response to decreased oxygen levels,8,-0.751179967791612,-2.15655783040587,0.0017921146953405,0.0017921146953405,0.188409620542585,11,"tags=62%, list=11%, signal=60%",DDIT4/NAMPT/BNIP3/LTA/HILPDA
CD40,CD28,gse_bp,GO:0070482,response to oxygen levels,8,-0.751179967791612,-2.15655783040587,0.0017921146953405,0.0017921146953405,0.188409620542585,11,"tags=62%, list=11%, signal=60%",DDIT4/NAMPT/BNIP3/LTA/HILPDA
CD40,CD28,gse_bp,GO:0050852,T cell receptor signaling pathway,8,0.732477510038264,2.21985747156593,0.00224215246636771,0.00224215246636771,0.188409620542585,24,"tags=88%, list=24%, signal=72%",HLA-DRA/HLA-DRB1/HLA-DPA1/TRBC1/HLA-DPB1/PTPRC/HLA-DQB1
CD40,CD28,gse_bp,GO:0002429,immune response-activating cell surface receptor signaling pathway,10,0.755337258070598,2.52506309744368,0.00231481481481482,0.00231481481481482,0.188409620542585,25,"tags=90%, list=25%, signal=75%",HLA-DRA/HLA-DRB1/TRBC2/HLA-DPA1/TRBC1/HLA-DPB1/PTPRC/HLA-DQB1/CD38
CD40,CD28,gse_bp,GO:0002757,immune response-activating signal transduction,10,0.755337258070598,2.52506309744368,0.00231481481481482,0.00231481481481482,0.188409620542585,25,"tags=90%, list=25%, signal=75%",HLA-DRA/HLA-DRB1/TRBC2/HLA-DPA1/TRBC1/HLA-DPB1/PTPRC/HLA-DQB1/CD38
CD40,CD28,gse_bp,GO:0002764,immune response-regulating signaling pathway,10,0.755337258070598,2.52506309744368,0.00231481481481482,0.00231481481481482,0.188409620542585,25,"tags=90%, list=25%, signal=75%",HLA-DRA/HLA-DRB1/TRBC2/HLA-DPA1/TRBC1/HLA-DPB1/PTPRC/HLA-DQB1/CD38
CD40,CD28,gse_bp,GO:0002768,immune response-regulating cell surface receptor signaling pathway,10,0.755337258070598,2.52506309744368,0.00231481481481482,0.00231481481481482,0.188409620542585,25,"tags=90%, list=25%, signal=75%",HLA-DRA/HLA-DRB1/TRBC2/HLA-DPA1/TRBC1/HLA-DPB1/PTPRC/HLA-DQB1/CD38
CD40,CD28,gse_bp,GO:0050851,antigen receptor-mediated signaling pathway,10,0.755337258070598,2.52506309744368,0.00231481481481482,0.00231481481481482,0.188409620542585,25,"tags=90%, list=25%, signal=75%",HLA-DRA/HLA-DRB1/TRBC2/HLA-DPA1/TRBC1/HLA-DPB1/PTPRC/HLA-DQB1/CD38
CD40,CD28,gse_bp,GO:0002250,adaptive immune response,14,0.564220948918907,2.11439183763102,0.00237529691211401,0.00237529691211401,0.188409620542585,24,"tags=71%, list=24%, signal=63%",HLA-DRA/HLA-DRB1/TRBC2/HLA-DPA1/CD74/TRBC1/HLA-DPB1/PTPRC/ANXA1/HLA-DQB1
CD40,CD28,gse_bp,GO:0002253,activation of immune response,11,0.747062173641103,2.54236144100888,0.00239808153477218,0.00239808153477218,0.188409620542585,27,"tags=91%, list=27%, signal=75%",HLA-DRA/HLA-DRB1/TRBC2/HLA-DPA1/TRBC1/HLA-DPB1/PTPRC/HLA-DQB1/CD38/IFI16
CD40,CD28,gse_bp,GO:0050778,positive regulation of immune response,18,0.543522349600452,2.25041187312341,0.0025062656641604,0.0025062656641604,0.188409620542585,27,"tags=72%, list=27%, signal=64%",HLA-DRA/HLA-DRB1/TRBC2/HLA-DPA1/CD74/TRBC1/HLA-DPB1/PTPRC/CCL5/ANXA1/HLA-DQB1/CD38/IFI16
CD40,CD28,gse_bp,GO:0008283,cell proliferation,20,-0.508337565998231,-2.00429594334087,0.00326797385620915,0.00326797385620915,0.226773570426821,11,"tags=35%, list=11%, signal=39%",DDIT4/NAMPT/IL13/IL2RA/LTA/IL5/HILPDA
CD40,CD28,gse_bp,GO:0032637,interleukin-8 production,4,0.814432989690722,1.8446416360719,0.00431034482758621,0.00431034482758621,0.242534013485118,22,"tags=100%, list=22%, signal=81%",CD74/TMSB4X/PTPRC/ANXA1
CD40,CD28,gse_bp,GO:0032677,regulation of interleukin-8 production,4,0.814432989690722,1.8446416360719,0.00431034482758621,0.00431034482758621,0.242534013485118,22,"tags=100%, list=22%, signal=81%",CD74/TMSB4X/PTPRC/ANXA1
CD40,CD28,gse_bp,GO:0008284,positive regulation of cell proliferation,16,-0.539982979219444,-1.95567817506909,0.00501672240802676,0.00501672240802676,0.242534013485118,10,"tags=38%, list=10%, signal=40%",NAMPT/IL13/IL2RA/LTA/IL5/HILPDA
CD40,CD28,gse_bp,GO:0070997,neuron death,5,-0.792800335137192,-1.93140058758889,0.00540540540540541,0.00540540540540541,0.242534013485118,11,"tags=80%, list=11%, signal=75%",DDIT4/NAMPT/IL13/BNIP3
CD40,CD28,gse_bp,GO:0050853,B cell receptor signaling pathway,4,0.783505154639175,1.84070259005102,0.00634249471458774,0.00634249471458774,0.242534013485118,25,"tags=100%, list=25%, signal=78%",TRBC2/TRBC1/PTPRC/CD38
CD40,CD28,gse_bp,GO:0002252,immune effector process,23,-0.448144490426872,-1.8468526253889,0.0065359477124183,0.0065359477124183,0.242534013485118,11,"tags=30%, list=11%, signal=35%",DDIT4/IL13/BNIP3/IL2RA/GZMB/LTA/IL5
CD40,CD28,gse_bp,GO:0045597,positive regulation of cell differentiation,8,-0.623102425522921,-1.78272991113421,0.00705467372134039,0.00705467372134039,0.242534013485118,9,"tags=62%, list=9%, signal=62%",SOCS1/IL13/IL2RA/LTA/IL5
CD40,CD28,gse_bp,GO:0001666,response to hypoxia,7,-0.716551627674047,-1.98201168435645,0.0075046904315197,0.0075046904315197,0.242534013485118,11,"tags=57%, list=11%, signal=55%",DDIT4/BNIP3/LTA/HILPDA
CD40,CD28,gse_bp,GO:0050776,regulation of immune response,24,0.40024820739654,1.83284795841817,0.00783289817232376,0.00783289817232376,0.242534013485118,28,"tags=58%, list=28%, signal=55%",HLA-DRA/HLA-DRB1/TRBC2/HLA-DPA1/CD74/TRBC1/HLA-DPB1/PTPRC/CCL5/ANXA1/HLA-DQB1/CD38/IFI16/ITGA4
CD40,CD28,gse_bp,GO:0008219,cell death,24,-0.438278992963689,-1.85220572823942,0.00802568218298555,0.00802568218298555,0.242534013485118,13,"tags=33%, list=13%, signal=38%",G0S2/DDIT4/NAMPT/IL13/BNIP3/IL2RA/GZMB/LTA
CD40,CD28,gse_bp,GO:0051094,positive regulation of developmental process,12,-0.555280217786813,-1.83930248222833,0.0088809946714032,0.0088809946714032,0.242534013485118,9,"tags=42%, list=9%, signal=43%",IL13/BNIP3/IL2RA/LTA/IL5
CD40,CD28,gse_bp,GO:0042127,regulation of cell proliferation,18,-0.503112874913261,-1.90528918142994,0.00985221674876847,0.00985221674876847,0.242534013485118,10,"tags=33%, list=10%, signal=37%",NAMPT/IL13/IL2RA/LTA/IL5/HILPDA
CD40,CD28,gse_bp,GO:0042108,positive regulation of cytokine biosynthetic process,3,0.857142857142857,1.74994838975489,0.00992063492063492,0.00992063492063492,0.242534013485118,17,"tags=100%, list=17%, signal=86%",LTB/CD74/PTPRC
CD40,CD28,gse_bp,GO:0007249,I-kappaB kinase/NF-kappaB signaling,4,0.744805077601153,1.73421202001585,0.0102249488752556,0.0102249488752556,0.242534013485118,12,"tags=75%, list=12%, signal=69%",S100A4/CD74/TNFSF10
CD40,CD28,gse_bp,GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,4,0.744805077601153,1.73421202001585,0.0102249488752556,0.0102249488752556,0.242534013485118,12,"tags=75%, list=12%, signal=69%",S100A4/CD74/TNFSF10
CD40,CD28,gse_bp,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,4,0.744805077601153,1.73421202001585,0.0102249488752556,0.0102249488752556,0.242534013485118,12,"tags=75%, list=12%, signal=69%",S100A4/CD74/TNFSF10
CD40,CD28,gse_bp,GO:0002697,regulation of immune effector process,10,-0.560579348332646,-1.76170402888539,0.0103986135181976,0.0103986135181976,0.242534013485118,9,"tags=40%, list=9%, signal=40%",IL13/IL2RA/LTA/IL5
CD40,CD28,gse_bp,GO:2000106,regulation of leukocyte apoptotic process,3,0.806122448979592,1.66564012375825,0.0108225108225108,0.0108225108225108,0.242534013485118,22,"tags=100%, list=22%, signal=81%",CD74/CCL5/ANXA1
CD40,CD28,gse_bp,GO:0002478,antigen processing and presentation of exogenous peptide antigen,9,0.568808571131354,1.80162696264576,0.010989010989011,0.010989010989011,0.242534013485118,24,"tags=67%, list=24%, signal=56%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
CD40,CD28,gse_bp,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,9,0.568808571131354,1.80162696264576,0.010989010989011,0.010989010989011,0.242534013485118,24,"tags=67%, list=24%, signal=56%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
CD40,CD28,gse_bp,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,9,0.568808571131354,1.80162696264576,0.010989010989011,0.010989010989011,0.242534013485118,24,"tags=67%, list=24%, signal=56%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
CD40,CD28,gse_bp,GO:0019882,antigen processing and presentation,9,0.568808571131354,1.80162696264576,0.010989010989011,0.010989010989011,0.242534013485118,24,"tags=67%, list=24%, signal=56%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
CD40,CD28,gse_bp,GO:0019884,antigen processing and presentation of exogenous antigen,9,0.568808571131354,1.80162696264576,0.010989010989011,0.010989010989011,0.242534013485118,24,"tags=67%, list=24%, signal=56%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
CD40,CD28,gse_bp,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,9,0.568808571131354,1.80162696264576,0.010989010989011,0.010989010989011,0.242534013485118,24,"tags=67%, list=24%, signal=56%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
CD40,CD28,gse_bp,GO:0048002,antigen processing and presentation of peptide antigen,9,0.568808571131354,1.80162696264576,0.010989010989011,0.010989010989011,0.242534013485118,24,"tags=67%, list=24%, signal=56%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
CD40,CD28,gse_bp,GO:0006897,endocytosis,6,0.640254911621175,1.80235625601175,0.0111111111111111,0.0111111111111111,0.242534013485118,28,"tags=83%, list=28%, signal=64%",TRBC2/TRBC1/PTPRC/ANXA1/ITGA4
CD40,CD28,gse_bp,GO:0098657,import into cell,6,0.640254911621175,1.80235625601175,0.0111111111111111,0.0111111111111111,0.242534013485118,28,"tags=83%, list=28%, signal=64%",TRBC2/TRBC1/PTPRC/ANXA1/ITGA4
CD40,CD28,gse_bp,GO:0006955,immune response,41,0.332212735261613,1.76727075881467,0.0113314447592068,0.0113314447592068,0.242534013485118,28,"tags=46%, list=28%, signal=56%",GNLY/HLA-DRA/HLA-DRB1/TRBC2/LTB/HLA-DPA1/CD74/TNFSF10/TRBC1/HLA-DPB1/PTPRC/CCL5/VIM/ANXA1/HLA-DQB1/CD38/GMFG/IFI16/ITGA4
CD40,CD28,gse_bp,GO:0071214,cellular response to abiotic stimulus,4,-0.775557752482448,-1.73949551738146,0.0115606936416185,0.0115606936416185,0.242534013485118,10,"tags=75%, list=10%, signal=70%",NAMPT/IL13/BNIP3
CD40,CD28,gse_bp,GO:0104004,cellular response to environmental stimulus,4,-0.775557752482448,-1.73949551738146,0.0115606936416185,0.0115606936416185,0.242534013485118,10,"tags=75%, list=10%, signal=70%",NAMPT/IL13/BNIP3
CD40,CD28,gse_bp,GO:0050793,regulation of developmental process,19,-0.452441912365287,-1.75459550470452,0.011965811965812,0.011965811965812,0.245327771643561,10,"tags=32%, list=10%, signal=35%",NAMPT/IL13/BNIP3/IL2RA/LTA/IL5
CD40,CD28,gse_bp,GO:1904951,positive regulation of establishment of protein localization,6,-0.670544384019182,-1.7565093014008,0.0127737226277372,0.0127737226277372,0.252075240194214,9,"tags=50%, list=9%, signal=48%",IL13/GZMB/IL5
CD40,CD28,gse_bp,GO:0036294,cellular response to decreased oxygen levels,5,-0.745563780614429,-1.77192279320201,0.0131332082551595,0.0131332082551595,0.252075240194214,10,"tags=100%, list=10%, signal=95%",LMNA/NAMPT/BNIP3/HILPDA
CD40,CD28,gse_bp,GO:0071453,cellular response to oxygen levels,5,-0.745563780614429,-1.77192279320201,0.0131332082551595,0.0131332082551595,0.252075240194214,10,"tags=100%, list=10%, signal=95%",LMNA/NAMPT/BNIP3/HILPDA
CD40,CD28,gse_bp,GO:0044419,interspecies interaction between organisms,10,0.530662021026222,1.75195520377445,0.014018691588785,0.014018691588785,0.263465322183965,27,"tags=70%, list=27%, signal=57%",GNLY/HLA-DRA/CD74/CCL5/TOP2A/VIM/IFI16
CD40,CD28,gse_bp,GO:0019058,viral life cycle,4,0.762886597938144,1.74550278946764,0.0170212765957447,0.0170212765957447,0.295288138513223,27,"tags=100%, list=27%, signal=76%",CD74/CCL5/TOP2A/IFI16
CD40,CD28,gse_bp,GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism",4,0.762886597938144,1.74550278946764,0.0170212765957447,0.0170212765957447,0.295288138513223,27,"tags=100%, list=27%, signal=76%",CD74/CCL5/TOP2A/IFI16
CD40,CD28,gse_bp,GO:0050792,regulation of viral process,4,0.762886597938144,1.74550278946764,0.0170212765957447,0.0170212765957447,0.295288138513223,27,"tags=100%, list=27%, signal=76%",CD74/CCL5/TOP2A/IFI16
CD40,CD28,gse_bp,GO:1903900,regulation of viral life cycle,4,0.762886597938144,1.74550278946764,0.0170212765957447,0.0170212765957447,0.295288138513223,27,"tags=100%, list=27%, signal=76%",CD74/CCL5/TOP2A/IFI16
