ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
CD40,CD28_4-1BB_Zeta,1.22433968944111e-105,0.392310255097762,0.787,0.543,2.66783618329219e-101,TRUE
CD40,CD28_4-1BB_Zeta,1.33805093619016e-89,0.326348773429825,0.718,0.467,2.91561298995836e-85,TRUE
CD40,CD28_4-1BB_Zeta,7.93147718350413e-89,0.248277373786059,0.983,0.931,1.72826887828555e-84,TRUE
CD40,CD28_4-1BB_Zeta,1.19136569541266e-61,0.205806336397831,0.383,0.184,2.5959858503042e-57,TRUE
CD40,CD28_4-1BB_Zeta,1.62075716137967e-59,0.247526126358245,0.67,0.471,3.53162985464629e-55,TRUE
CD40,CD28_4-1BB_Zeta,4.28412041866941e-56,0.316731202395682,0.872,0.766,9.33509839228065e-52,TRUE
CD40,CD28_4-1BB_Zeta,9.1246520146843e-52,0.220832510062532,0.676,0.505,1.98826167399971e-47,TRUE
CD40,CD28_4-1BB_Zeta,1.79103997433667e-31,-0.345048395682885,0.58,0.674,3.90267610407961e-27,TRUE
CD40,CD28_4-1BB_Zeta,4.47347938804289e-30,-0.203963483393526,0.636,0.727,9.74771158654546e-26,TRUE
CD40,CD28_4-1BB_Zeta,5.62925614484142e-15,0.5500564889375,0.415,0.33,1.22661491396095e-10,TRUE
CD40,CD28_4-1BB_Zeta,2.2302022594002e-14,0.200566991972837,0.352,0.263,4.85961072323304e-10,TRUE
CD40,CD28_4-1BB_Zeta,2.03912395051839e-08,-0.21568196976344,0.287,0.338,0.000444325108817956,TRUE
CD40,CD28_4-1BB_Zeta,0.0118665080883183,-0.29958080110095,0.244,0.264,1,TRUE
CD40,CD28_4-1BB_Zeta,0.0322591147176863,-0.423452921212153,0.701,0.661,1,TRUE
