ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj
CD40,CD28_Zeta,1.96914207152761e-108,0.457626040974238,0.787,0.501,4.29076057385867e-104
CD40,CD28_Zeta,4.38603116808278e-97,0.321429311554043,0.983,0.911,9.55716191525237e-93
CD40,CD28_Zeta,7.5577341679779e-93,0.4038922245103,0.718,0.425,1.64683027520239e-88
CD40,CD28_Zeta,1.40169790423549e-65,0.314655369573546,0.67,0.429,3.05429973332914e-61
CD40,CD28_Zeta,1.93460025888388e-63,0.2314331837325,0.383,0.152,4.21549396410797e-59
CD40,CD28_Zeta,3.25757525964855e-55,0.35132319579971,0.872,0.741,7.0982564907742e-51
CD40,CD28_Zeta,5.29206567086927e-54,0.256077747305468,0.676,0.473,1.15314110968241e-49
CD40,CD28_Zeta,1.69233814506662e-49,0.210966158951142,0.591,0.368,3.68760481810017e-45
CD40,CD28_Zeta,1.73096083148312e-40,0.211550482193014,0.694,0.522,3.77176365180171e-36
CD40,CD28_Zeta,2.79557398066595e-26,-0.365496348050629,0.58,0.674,6.0915557038711e-22
CD40,CD28_Zeta,1.12094266913252e-08,-0.22819811951128,1,1,0.000244253407603976
CD40,CD28_Zeta,1.54100696456738e-08,0.44091081766189,0.415,0.341,0.000335785417579232
CD40,CD28_Zeta,0.00104328977175679,-0.257268514386214,0.287,0.309,1
CD40,CD28_Zeta,0.729695168523936,-0.369629507179037,0.701,0.635,1
