ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
TACI,4-1BB,5.0338347382035e-25,-0.460978746931861,0.164,0.346,1.09687258945454e-20,TRUE
TACI,4-1BB,1.14273728046688e-22,-0.798290307021937,0.178,0.346,2.49002453413733e-18,TRUE
TACI,4-1BB,3.03899042257873e-22,-0.242941442444616,0.818,0.857,6.62196013079905e-18,TRUE
TACI,4-1BB,1.82020898996611e-21,-0.255961710699932,0.785,0.858,3.96623538913615e-17,TRUE
TACI,4-1BB,1.92917272986636e-21,-0.272469107735605,0.591,0.703,4.20366737837879e-17,TRUE
TACI,4-1BB,1.3190900722233e-20,0.401378011603302,0.437,0.271,2.87429726737458e-16,TRUE
TACI,4-1BB,5.18325895368839e-19,-0.334951647083757,0.607,0.68,1.1294321260087e-14,TRUE
TACI,4-1BB,3.06576322697092e-18,-0.245035550637685,0.668,0.772,6.68029807156965e-14,TRUE
TACI,4-1BB,7.17189447928837e-17,-0.235651396205487,0.241,0.387,1.56275580703694e-12,TRUE
TACI,4-1BB,1.48375840311979e-14,-0.215189738510548,0.716,0.772,3.23310956039803e-10,TRUE
TACI,4-1BB,8.29761507532014e-14,-0.213789023801915,0.572,0.69,1.80805032491226e-09,TRUE
TACI,4-1BB,2.8142498536477e-13,0.238254484147006,0.876,0.811,6.13225043109834e-09,TRUE
TACI,4-1BB,3.01143989764449e-13,-0.274500561132042,0.637,0.703,6.56192753696734e-09,TRUE
TACI,4-1BB,1.98165890522947e-11,-0.297662652121591,0.62,0.674,4.31803475449501e-07,TRUE
TACI,4-1BB,5.18941596502014e-09,-0.208436487536285,0.987,0.988,0.000113077373877789,TRUE
TACI,4-1BB,8.62283301845819e-07,-0.28900956275203,0.925,0.927,0.0187891531472204,TRUE
TACI,4-1BB,4.38746042877956e-06,-0.246407839124235,0.286,0.357,0.0956027627431067,TRUE
TACI,4-1BB,4.68214048724172e-06,-0.217764771172284,0.601,0.641,0.102023841216997,TRUE
TACI,4-1BB,2.00829962945947e-05,0.219271977156622,0.91,0.888,0.437608489259219,TRUE
TACI,4-1BB,0.000297939293944035,-0.514730906386497,0.268,0.324,1,TRUE
TACI,4-1BB,0.00257471445330954,-0.200804692413194,0.273,0.324,1,TRUE
TACI,4-1BB,0.0548003902541997,-0.419341042474873,0.759,0.706,1,TRUE
