ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
TACI,CD28,gse_mf,GO:0005509,calcium ion binding,4,0.802469135802469,1.8893048085368,0.00769230769230769,0.00769230769230769,0.242796772954284,20,"tags=100%, list=24%, signal=80%",S100A4/NUCB2/CD69/ANXA1
TACI,CD28,gse_mf,GO:0008092,cytoskeletal protein binding,8,0.543123726853299,1.75506263972351,0.0153374233128834,0.0153374233128834,0.242796772954284,16,"tags=62%, list=19%, signal=56%",S100A4/PTPRC/TMSB4X/GMFG/CAPG
TACI,CD28,gse_mf,GO:0003779,actin binding,5,0.694978284478544,1.83966108055155,0.0187667560321716,0.0187667560321716,0.242796772954284,16,"tags=80%, list=19%, signal=69%",S100A4/TMSB4X/GMFG/CAPG
TACI,CD28,gse_mf,GO:0005125,cytokine activity,7,-0.670744660583682,-1.69986233798976,0.0194319880418535,0.0194319880418535,0.242796772954284,6,"tags=57%, list=7%, signal=58%",NAMPT/IL13/LTA/IL5
TACI,CD28,gse_mf,GO:0004175,endopeptidase activity,3,-0.853658536585366,-1.64094427192133,0.021523178807947,0.021523178807947,0.242796772954284,16,"tags=100%, list=19%, signal=84%",GZMK/GZMB
TACI,CD28,gse_mf,GO:0008233,peptidase activity,3,-0.853658536585366,-1.64094427192133,0.021523178807947,0.021523178807947,0.242796772954284,16,"tags=100%, list=19%, signal=84%",GZMK/GZMB
TACI,CD28,gse_mf,GO:0070011,"peptidase activity, acting on L-amino acid peptides",3,-0.853658536585366,-1.64094427192133,0.021523178807947,0.021523178807947,0.242796772954284,16,"tags=100%, list=19%, signal=84%",GZMK/GZMB
TACI,CD28,gse_mf,GO:0005126,cytokine receptor binding,8,-0.656691560037473,-1.73866280284312,0.0233576642335766,0.0233576642335766,0.242796772954284,6,"tags=38%, list=7%, signal=38%",IL13/LTA/IL5
TACI,CD28,gse_mf,GO:0030545,receptor regulator activity,8,-0.622085586954441,-1.6628074090987,0.0312944523470839,0.0312944523470839,0.260238077412593,6,"tags=50%, list=7%, signal=51%",NAMPT/IL13/LTA/IL5
TACI,CD28,gse_mf,GO:0048018,receptor ligand activity,8,-0.622085586954441,-1.6628074090987,0.0312944523470839,0.0312944523470839,0.260238077412593,6,"tags=50%, list=7%, signal=51%",NAMPT/IL13/LTA/IL5
TACI,CD28,gse_mf,GO:0044877,protein-containing complex binding,6,0.570201645343922,1.65216467894823,0.04375,0.04375,0.330741626794258,27,"tags=83%, list=32%, signal=61%",VIM/GMFG/CAPG/HLA-DRA/FYB1
TACI,CD28,gse_bp,GO:0050853,B cell receptor signaling pathway,4,0.925925925925926,2.14420387132078,0.0026525198938992,0.0026525198938992,0.660576490536005,10,"tags=100%, list=12%, signal=93%",CD38/TRBC1/TRBC2/PTPRC
TACI,CD28,gse_bp,GO:1904951,positive regulation of establishment of protein localization,6,-0.754030239756678,-1.81567677548716,0.0045662100456621,0.0045662100456621,0.660576490536005,6,"tags=50%, list=7%, signal=50%",IL13/GZMB/IL5
TACI,CD28,gse_bp,GO:0043170,macromolecule metabolic process,47,-0.460366823965797,-1.79846710398581,0.00793650793650794,0.00793650793650794,0.660576490536005,41,"tags=64%, list=48%, signal=74%",CCR7/ELL2/ODC1/BIRC3/XCL1/RALB/LAG3/SERPINB1/ZBTB32/SOCS1/CSF2/DDX21/BNIP3/LMNA/BATF/MRPS26/ARID5A/NAMPT/NAPSA/BATF3/HOPX/GZMK/ZBED2/NFKBIA/DDIT4/IL2RA/MIR155HG/IL13/GZMB/IL5
TACI,CD28,gse_bp,GO:0010720,positive regulation of cell development,3,-0.865866679915911,-1.67206287023633,0.0100840336134454,0.0100840336134454,0.660576490536005,5,"tags=67%, list=6%, signal=65%",LTA/IL5
TACI,CD28,gse_bp,GO:0032637,interleukin-8 production,3,0.792682926829268,1.68368800348319,0.0137299771167048,0.0137299771167048,0.660576490536005,20,"tags=100%, list=24%, signal=79%",PTPRC/TMSB4X/ANXA1
TACI,CD28,gse_bp,GO:0032677,regulation of interleukin-8 production,3,0.792682926829268,1.68368800348319,0.0137299771167048,0.0137299771167048,0.660576490536005,20,"tags=100%, list=24%, signal=79%",PTPRC/TMSB4X/ANXA1
TACI,CD28,gse_bp,GO:0030029,actin filament-based process,9,0.546094904961142,1.8603150015499,0.0170068027210884,0.0170068027210884,0.660576490536005,26,"tags=78%, list=31%, signal=60%",VIM/TMSB4X/GMFG/CAPG/ANXA1/ARHGDIB/STMN1
TACI,CD28,gse_bp,GO:0045597,positive regulation of cell differentiation,12,-0.572848965989067,-1.7326237244846,0.0176630434782609,0.0176630434782609,0.660576490536005,8,"tags=33%, list=9%, signal=35%",IL2RA/IL13/LTA/IL5
TACI,CD28,gse_bp,GO:0006897,endocytosis,6,0.654076208059018,1.83026925462182,0.0176991150442478,0.0176991150442478,0.660576490536005,21,"tags=83%, list=25%, signal=68%",TRBC1/TRBC2/PTPRC/ANXA1/ITGA4
TACI,CD28,gse_bp,GO:0098657,import into cell,6,0.654076208059018,1.83026925462182,0.0176991150442478,0.0176991150442478,0.660576490536005,21,"tags=83%, list=25%, signal=68%",TRBC1/TRBC2/PTPRC/ANXA1/ITGA4
