ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
TACI,CD28_4-1BB_Zeta,6.79809770554411e-32,0.360891289545037,0.437,0.263,1.48130549003806e-27,TRUE
TACI,CD28_4-1BB_Zeta,8.15832381316591e-17,-0.333989113610806,0.62,0.674,1.77769875888885e-12,TRUE
TACI,CD28_4-1BB_Zeta,1.40751734782247e-16,-0.204141918529028,0.785,0.806,3.06698030090515e-12,TRUE
TACI,CD28_4-1BB_Zeta,5.91394170260967e-16,-0.270112860238528,0.683,0.737,1.28864789699865e-11,TRUE
TACI,CD28_4-1BB_Zeta,3.00839144734606e-13,-0.311808071662976,0.241,0.338,6.55528496376707e-09,TRUE
TACI,CD28_4-1BB_Zeta,5.90183843756116e-13,-0.350486521064988,0.164,0.265,1.28601059554458e-08,TRUE
TACI,CD28_4-1BB_Zeta,7.79387797555749e-13,-0.206499813747156,0.987,0.972,1.69828601087398e-08,TRUE
TACI,CD28_4-1BB_Zeta,5.36434731920512e-11,-0.244717652506096,0.637,0.656,1.1688912808548e-06,TRUE
TACI,CD28_4-1BB_Zeta,1.0728447091051e-10,-0.596971957259672,0.178,0.264,2.33772862114001e-06,TRUE
TACI,CD28_4-1BB_Zeta,1.3975262633096e-07,-0.299857534981543,0.574,0.599,0.00304520972775161,TRUE
TACI,CD28_4-1BB_Zeta,4.48358593941354e-07,-0.26125700124792,0.607,0.59,0.0097697337619821,TRUE
TACI,CD28_4-1BB_Zeta,1.06601977069173e-06,-0.238618285309788,0.925,0.923,0.0232285708033727,TRUE
TACI,CD28_4-1BB_Zeta,2.5114801989165e-06,-0.201887513089441,0.601,0.619,0.0547251535343906,TRUE
TACI,CD28_4-1BB_Zeta,2.61319940672033e-06,-0.215776385601961,0.993,0.978,0.056941615072436,TRUE
TACI,CD28_4-1BB_Zeta,0.00729694749874833,-0.429047649982281,0.268,0.297,1,TRUE
TACI,CD28_4-1BB_Zeta,0.019054561063259,-0.308124467660954,0.954,0.918,1,TRUE
TACI,CD28_4-1BB_Zeta,0.262475285167308,-0.332714546966997,0.759,0.661,1,TRUE
