ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj
TACI,CD28_Zeta,4.28246231907385e-30,0.21843078175973,0.967,0.909,9.33148539326192e-26
TACI,CD28_Zeta,2.98980129311324e-27,0.338174482411063,0.437,0.258,6.51477701769375e-23
TACI,CD28_Zeta,7.50943217012387e-18,-0.329546023511721,0.683,0.737,1.63630526986999e-13
TACI,CD28_Zeta,1.70934621130452e-17,-0.329543353250974,0.993,0.978,3.72466539443256e-13
TACI,CD28_Zeta,2.69087055061698e-15,-0.354437065978551,0.62,0.674,5.86340692979439e-11
TACI,CD28_Zeta,2.28867635985321e-13,-0.37360755785976,0.574,0.629,4.98702578812014e-09
TACI,CD28_Zeta,9.63509440695371e-13,-0.228043633624944,0.721,0.742,2.09948707127521e-08
TACI,CD28_Zeta,1.60713220250858e-11,-0.205376606781769,0.987,0.963,3.50194106926619e-07
TACI,CD28_Zeta,4.98787381447226e-08,-0.35339461628575,0.241,0.309,0.00108685770417351
TACI,CD28_Zeta,2.84899181952122e-07,-0.217141454076024,0.552,0.599,0.00620795317473675
TACI,CD28_Zeta,3.36490690782518e-07,-0.215756560109262,0.937,0.909,0.00733213215215107
TACI,CD28_Zeta,9.28570468581011e-07,-0.227056514543277,0.637,0.629,0.0202335505103802
TACI,CD28_Zeta,1.05735795330305e-06,-0.212476036158494,0.999,1,0.0230398298024735
TACI,CD28_Zeta,7.04675181583628e-05,-0.208232962879733,0.925,0.92,1
TACI,CD28_Zeta,0.00363341599264132,-0.278891132933882,0.759,0.635,1
TACI,CD28_Zeta,0.0217711634975451,-0.36871157637048,0.954,0.904,1
TACI,CD28_Zeta,0.0286193310322472,-0.297231742281996,0.233,0.251,1
TACI,CD28_Zeta,0.109848177397426,-0.375852317507745,0.268,0.281,1
TACI,CD28_Zeta,0.115206055706875,-0.215959449618154,0.607,0.538,1
TACI,CD28_Zeta,0.922095292338203,-0.279597196562589,0.351,0.341,1
