ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
TACI,Zeta,1.46522658556233e-81,-0.562157053552818,0.993,0.988,3.19272872994032e-77,TRUE
TACI,Zeta,2.40704454002923e-62,0.453606903043289,0.919,0.706,5.24495005272368e-58,TRUE
TACI,Zeta,6.08100372210693e-57,0.352369708943715,0.997,0.973,1.3250507110471e-52,TRUE
TACI,Zeta,1.96904892680243e-55,0.369109836601758,0.971,0.898,4.29055761150249e-51,TRUE
TACI,Zeta,1.70417506107105e-51,0.243533413359836,0.999,0.992,3.71339745807383e-47,TRUE
TACI,Zeta,5.83967021243565e-50,-0.57730984251393,0.574,0.764,1.27246413928973e-45,TRUE
TACI,Zeta,2.26747636171609e-44,0.30744337811881,0.967,0.88,4.94083099217935e-40,TRUE
TACI,Zeta,2.34401246483016e-44,0.241398899946385,0.974,0.903,5.10760316086491e-40,TRUE
TACI,Zeta,2.77390692631491e-44,0.3273901600843,0.943,0.808,6.04434319244019e-40,TRUE
TACI,Zeta,1.63728082987251e-43,-0.270642984165066,1,1,3.56763492829219e-39,TRUE
TACI,Zeta,3.32680873566498e-42,0.241618788426896,0.482,0.209,7.249116235014e-38,TRUE
TACI,Zeta,1.74862923713604e-41,0.260936196393895,0.745,0.473,3.81026310771943e-37,TRUE
TACI,Zeta,5.81887459655371e-41,-0.268194025401226,1,1,1.26793277458905e-36,TRUE
TACI,Zeta,5.89914829084835e-41,-0.395429789103999,0.937,0.945,1.28542441257586e-36,TRUE
TACI,Zeta,5.92029341138771e-39,0.247741976202069,0.815,0.563,1.29003193434138e-34,TRUE
TACI,Zeta,8.08417298021069e-39,0.327249206735954,0.925,0.77,1.76154129238791e-34,TRUE
TACI,Zeta,9.68619173061968e-39,0.278199110332472,0.894,0.719,2.11062117810203e-34,TRUE
TACI,Zeta,2.6884086184923e-38,0.331677069777217,0.944,0.808,5.85804237969473e-34,TRUE
TACI,Zeta,6.16749161889519e-38,0.337871226390719,0.996,0.983,1.34389642375726e-33,TRUE
TACI,Zeta,1.13246744382157e-36,-0.258854348175993,1,1,2.46764656008719e-32,TRUE
TACI,Zeta,3.81097938647857e-36,0.224109379919593,0.975,0.91,8.30412408313681e-32,TRUE
TACI,Zeta,1.00889513334503e-35,0.228561103872233,0.977,0.917,2.19838249555881e-31,TRUE
TACI,Zeta,4.48803822071212e-35,0.228080110872422,0.527,0.281,9.77943528293171e-31,TRUE
TACI,Zeta,1.25083786457965e-33,0.215036839055437,0.726,0.459,2.72557570691906e-29,TRUE
TACI,Zeta,3.11738423742127e-33,0.237592126515479,0.805,0.572,6.79278025334094e-29,TRUE
TACI,Zeta,7.73739715390053e-33,0.55275014093254,0.759,0.519,1.68597883983493e-28,TRUE
TACI,Zeta,1.15005317480316e-32,0.235182967309927,0.987,0.939,2.50596586789608e-28,TRUE
TACI,Zeta,1.42202672737628e-32,0.264335043020139,0.925,0.731,3.09859623895291e-28,TRUE
TACI,Zeta,9.12361138575593e-32,-0.312540839345367,0.977,0.967,1.98803492095622e-27,TRUE
TACI,Zeta,9.20669457117079e-32,0.200056650450282,0.672,0.426,2.00613874705812e-27,TRUE
TACI,Zeta,1.28203603653307e-30,-0.268770859481228,0.994,0.989,2.79355652360556e-26,TRUE
TACI,Zeta,7.34636100201268e-30,-0.452108724938611,0.683,0.744,1.60077206233856e-25,TRUE
TACI,Zeta,1.9149776879378e-29,0.229808789330224,0.899,0.725,4.17273638201647e-25,TRUE
TACI,Zeta,3.93294627637186e-29,0.227439600733925,0.979,0.903,8.56988993621429e-25,TRUE
TACI,Zeta,4.04688848932204e-29,0.211895901965784,0.897,0.722,8.81817001823272e-25,TRUE
TACI,Zeta,5.81734631302097e-28,-0.236068997809815,0.979,0.972,1.26759976160727e-23,TRUE
TACI,Zeta,1.94721558194393e-27,0.213437096984596,0.958,0.817,4.24298275305582e-23,TRUE
TACI,Zeta,2.4197585842471e-27,0.237002813128314,0.991,0.96,5.27265395507442e-23,TRUE
TACI,Zeta,2.81817595352304e-27,0.210526328038697,0.97,0.855,6.14080540272669e-23,TRUE
TACI,Zeta,1.60366704392951e-26,0.261044216673038,0.977,0.92,3.4943904887224e-22,TRUE
TACI,Zeta,2.92254722589194e-26,0.238228457335214,0.968,0.865,6.36823040521853e-22,TRUE
TACI,Zeta,5.23209333658504e-26,0.204245072174823,0.611,0.384,1.14007313804188e-21,TRUE
TACI,Zeta,1.11980917310237e-25,0.253548381657138,0.893,0.741,2.44006418819007e-21,TRUE
TACI,Zeta,1.8309294311951e-25,-0.202416100482098,0.989,0.972,3.98959523057412e-21,TRUE
TACI,Zeta,2.15714263871584e-25,0.20055925095567,0.607,0.377,4.70041380976181e-21,TRUE
TACI,Zeta,8.57809479918464e-24,0.225405704309382,0.961,0.865,1.86916685674233e-19,TRUE
TACI,Zeta,8.81089522558475e-24,0.264238846088854,0.941,0.803,1.91989406965492e-19,TRUE
TACI,Zeta,1.46549699920842e-23,0.206419614500666,0.906,0.776,3.19331796127515e-19,TRUE
TACI,Zeta,3.64543821126264e-23,0.218983318842363,0.938,0.803,7.94340986234128e-19,TRUE
TACI,Zeta,5.54443907555396e-23,0.202270094210914,0.94,0.823,1.20813327456321e-18,TRUE
TACI,Zeta,6.55679487696089e-23,-0.217328472476996,0.969,0.952,1.42872560368978e-18,TRUE
