ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
TACI,Zeta,gse_mf,GO:0019899,enzyme binding,23,0.453247721027496,2.1416718679938,0.0045662100456621,0.0045662100456621,0.432527860531833,39,"tags=74%, list=41%, signal=57%",HSPD1/HSP90AB1/HSP90AA1/BNIP3/HMGA1/CCND2/EIF4EBP1/NPM1/CD70/VDAC1/TUBB/LDHA/PA2G4/PGAM1/C1QBP/NME1/CACYBP
TACI,Zeta,gse_mf,GO:0003723,RNA binding,20,0.429299455825623,1.94129313196468,0.0090702947845805,0.0090702947845805,0.432527860531833,41,"tags=75%, list=43%, signal=54%",HSPD1/HSP90AB1/HSP90AA1/RPL22L1/PRDX1/HSPE1/NPM1/PA2G4/TXN/C1QBP/EIF2S2/SLIRP/NME1/SNRPA1/DUT
TACI,Zeta,gse_mf,GO:0051082,unfolded protein binding,7,0.596481978966614,1.74703343976606,0.0178571428571429,0.0178571428571429,0.432527860531833,22,"tags=71%, list=23%, signal=59%",HSPD1/HSP90AB1/HSP90AA1/HSPE1/NPM1
TACI,Zeta,gse_mf,GO:0016887,ATPase activity,5,0.686185746460532,1.76068670758712,0.019271948608137,0.019271948608137,0.432527860531833,5,"tags=60%, list=5%, signal=60%",HSPD1/HSP90AB1/HSP90AA1
TACI,Zeta,gse_mf,GO:0045296,cadherin binding,4,0.725274725274725,1.69123755298378,0.0209643605870021,0.0209643605870021,0.432527860531833,29,"tags=100%, list=31%, signal=73%",HSP90AB1/PRDX1/LDHA/PAICS
TACI,Zeta,gse_mf,GO:0003676,nucleic acid binding,24,0.343586760087435,1.65156311844459,0.0436893203883495,0.0436893203883495,0.538741330361244,41,"tags=67%, list=43%, signal=51%",HSPD1/HSP90AB1/HSP90AA1/RPL22L1/PRDX1/HMGA1/HSPE1/NPM1/PA2G4/TXN/C1QBP/EIF2S2/SLIRP/NME1/SNRPA1/DUT
TACI,Zeta,gse_mf,GO:0005515,protein binding,71,0.315503059984215,1.55008890871736,0.0485651214128035,0.0485651214128035,0.538741330361244,42,"tags=52%, list=44%, signal=115%",HILPDA/IL2RA/HSPD1/HSP90AB1/HSP90AA1/FABP5/CYCS/DDIT4/PRDX1/IGFBP2/MT2A/BNIP3/MT1X/HMGA1/CCND2/FAM162A/HSPE1/EIF4EBP1/CYTIP/NPM1/CD70/VDAC1/TUBB/LDHA/PA2G4/PAICS/TXN/PGAM1/IFNG/C1QBP/EIF2S2/SLIRP/NME1/CACYBP/SNRPA1/DUT/PFDN2
TACI,Zeta,gse_bp,GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,4,0.846153846153846,2.02367068489621,0.0021978021978022,0.0021978021978022,0.169046097023936,18,"tags=100%, list=19%, signal=85%",HSPD1/CYCS/FAM162A/HSPE1
TACI,Zeta,gse_bp,GO:0010950,positive regulation of endopeptidase activity,4,0.846153846153846,2.02367068489621,0.0021978021978022,0.0021978021978022,0.169046097023936,18,"tags=100%, list=19%, signal=85%",HSPD1/CYCS/FAM162A/HSPE1
TACI,Zeta,gse_bp,GO:0010952,positive regulation of peptidase activity,4,0.846153846153846,2.02367068489621,0.0021978021978022,0.0021978021978022,0.169046097023936,18,"tags=100%, list=19%, signal=85%",HSPD1/CYCS/FAM162A/HSPE1
