p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
2.26272917384263e-195,0.87216663989241,1,0.934,4.93048686980309e-191,1,HIST1H4C
1.86567137713495e-122,0.498264963284028,0.992,0.731,4.06529793077705e-118,1,TOP2A
1.47127485681495e-117,0.513075052238538,0.955,0.629,3.20590791299977e-113,1,HIST1H1C
6.95027915042596e-114,0.549013233447159,0.982,0.754,1.51446582687782e-109,1,HIST1H1D
2.85026276260041e-107,0.429473102540483,0.978,0.724,6.2107225597063e-103,1,NUSAP1
1.20623804819981e-102,0.5943618531808,0.687,0.298,2.62839270702738e-98,1,IGFBP2
4.77620191056732e-101,0.411209368906188,0.997,0.86,1.04073439631262e-96,1,MKI67
3.8456677017832e-99,0.437867129860307,0.966,0.642,8.37970992218559e-95,1,HIST1H1E
1.62144934961048e-97,0.409845477007754,0.91,0.521,3.53313813280124e-93,1,HIST1H1B
9.29144024503498e-92,0.356351573791585,1,0.983,2.02460482939312e-87,1,PGK1
1.45709671878541e-90,0.329270537645107,0.722,0.357,3.1750137502334e-86,1,HIST1H3G
2.00905292596234e-90,0.355592868617213,0.945,0.572,4.37772632567195e-86,1,CDK1
2.08497068199808e-88,0.395964984054684,0.999,0.892,4.54315111607382e-84,1,FAM162A
2.5446200069833e-80,0.299987594177319,0.858,0.527,5.54472699521661e-76,1,SPC25
3.32962220760027e-79,0.325124728772831,0.945,0.605,7.255246790361e-75,1,UBE2C
3.19289291433154e-76,0.308114443028965,0.983,0.702,6.95731366032842e-72,1,BNIP3L
1.67725222687572e-70,0.286850437951223,0.86,0.538,3.6547326023622e-66,1,ALDOC
2.78264653048904e-70,0.27765632311123,0.704,0.368,6.06338678993562e-66,1,HIST1H2AH
4.98244597274642e-70,0.278175266175861,0.831,0.506,1.08567497746144e-65,1,NDC80
7.83556606783639e-69,-0.5822805816046,0.718,0.822,1.70736984618155e-64,1,HSPA5
3.05737927217202e-67,0.266005297277298,0.767,0.457,6.66202943406283e-63,1,FBXO5
4.23788414043037e-66,0.297880708229742,0.924,0.66,9.23434954199777e-62,1,SLC16A3
4.65545105681072e-66,-0.459922730993904,0.786,0.843,1.01442278527906e-61,1,DDX21
4.83855687122673e-64,0.330884374835643,0.869,0.574,1.0543215422403e-59,1,PLAC8
1.76550908960662e-62,0.332273209105366,0.942,0.709,3.84704430625283e-58,1,RRM2
4.80209977084495e-62,-0.500481984287372,0.575,0.729,1.04637754006711e-57,1,SDF2L1
5.35445939423689e-62,0.298138299386351,0.818,0.521,1.16673670200422e-57,1,CDKN2D
1.84315344419999e-61,0.328371179054625,0.899,0.671,4.01623135491178e-57,1,P4HA1
2.47569308180095e-61,0.317495342352898,0.644,0.345,5.39453522524428e-57,1,LAYN
4.30089068724447e-60,0.252588093841345,0.855,0.554,9.3716408075057e-56,1,NCAPG
4.37808166136841e-60,0.283350798890302,0.938,0.683,9.53983994012176e-56,1,HILPDA
7.40981049745945e-59,0.306342001948674,0.983,0.866,1.61459770739641e-54,1,PCNA
1.50661281445832e-56,0.254915476486651,0.78,0.459,3.28290932270468e-52,1,HIST2H2AC
1.6916454331813e-56,0.250527747840841,0.824,0.53,3.68609539890206e-52,1,AURKB
1.42253354205159e-55,-0.335584743718214,0.97,0.963,3.09970058813042e-51,1,HSP90B1
4.37552143233361e-54,0.344694324048506,0.98,0.811,9.53426120105493e-50,1,DDIT4
1.84647615431957e-50,0.271197732181706,0.958,0.704,4.02347154026235e-46,1,BNIP3
2.85629708728716e-49,0.327502175689034,0.955,0.812,6.22387135319872e-45,1,PLIN2
1.49378768117477e-46,-0.339489304197014,0.978,0.955,3.25496335727983e-42,1,CALR
1.10817627880688e-40,-0.280940149301836,0.92,0.891,2.4147161115202e-36,1,CCT5
6.39063756043843e-40,-0.363163250196882,0.713,0.799,1.39251992441953e-35,1,BATF
5.98526658745534e-38,-0.311937106168004,0.612,0.712,1.30418958940652e-33,1,LYAR
6.78400807267577e-38,-0.264433038042458,0.938,0.922,1.47823535903605e-33,1,CCDC85B
1.42671963750578e-37,-0.299583256435074,0.887,0.89,3.1088220901251e-33,1,CCND2
1.46123475655945e-37,0.327272658479709,0.966,0.875,3.18403053454304e-33,1,NEAT1
1.77123337502079e-37,-0.367183334987648,0.742,0.77,3.85951752417031e-33,1,MANF
7.61454994687089e-37,0.295707983909081,0.794,0.561,1.65921043342317e-32,1,CD69
1.78911304106115e-36,-0.276293282608775,0.923,0.88,3.89847731647225e-32,1,CCT6A
1.41934557450927e-32,-0.271911836894188,0.771,0.793,3.09275400685569e-28,1,DCTPP1
