exp.num,mouse.num,scfv,costim,day,avg.radiance
1,1,PBS,PBS,-2,938.05
1,2,PBS,PBS,-2,867.95
1,3,PBS,PBS,-2,1093.4
1,4,PBS,PBS,-2,829.05
1,5,PBS,PBS,-2,14485
1,6,BC50,CD28,-2,1991.5
1,7,BC50,CD28,-2,1352.5
1,8,BC50,CD28,-2,1747.5
1,9,BC50,CD28,-2,1227
1,10,BC50,CD28,-2,1279.5
1,11,BC50,CD28,-2,1387
1,12,BC50,41BB,-2,2145
1,13,BC50,41BB,-2,2097
1,14,BC50,41BB,-2,2487
1,15,BC50,41BB,-2,985.7
1,16,BC50,41BB,-2,1967.5
1,17,BC50,BAFFR,-2,2300
1,18,BC50,BAFFR,-2,1371
1,19,BC50,BAFFR,-2,1674.5
1,20,BC50,BAFFR,-2,2256
1,21,BC50,BAFFR,-2,1657
1,22,BC50,BAFFR,-2,1662.5
1,23,BC30,CD28,-2,7035.5
1,24,BC30,CD28,-2,849.35
1,25,BC30,CD28,-2,2063.5
1,26,BC30,CD28,-2,2320.5
1,27,BC30,CD28,-2,2025
1,28,BC30,CD28,-2,1605
1,29,BC30,CD28,-2,1798
1,30,BC30,CD28,-2,1918.5
1,31,BC30,CD28,-2,1441.5
1,32,BC30,CD28,-2,2426
1,33,BC30,CD28,-2,1491
1,34,BC30,41BB,-2,1289
1,35,BC30,41BB,-2,1303.5
1,36,BB,CD28,-2,1820
1,37,BB,CD28,-2,2116.5
1,38,BB,CD28,-2,1468.5
1,39,BB,CD28,-2,1550.5
1,40,BB,CD28,-2,1448
1,41,BB,CD28,-2,1829.5
1,42,BB,CD28,-2,2082.5
1,43,BB,CD28,-2,3052
1,44,BB,CD28,-2,2513.5
1,45,BB,CD28,-2,1294
1,46,TRAC KO,TRAC KO,-2,2123
1,47,TRAC KO,TRAC KO,-2,2581.5
1,48,TRAC KO,TRAC KO,-2,2058
1,49,TRAC KO,TRAC KO,-2,2226.5
1,50,TRAC KO,TRAC KO,-2,2556.5
1,51,TRAC KO,TRAC KO,-2,1632
1,52,TRAC KO,TRAC KO,-2,1604.5
1,53,TRAC KO,TRAC KO,-2,1794
1,54,TRAC KO,TRAC KO,-2,1406.5
1,55,TRAC KO,TRAC KO,-2,1583.5
1,56,BC30,BAFFR,-2,1787
1,57,BC30,BAFFR,-2,1606.5
1,58,BC30,BAFFR,-2,1735.5
1,59,BC30,BAFFR,-2,2048.5
1,60,BC30,BAFFR,-2,1654
1,61,BC30,BAFFR,-2,3066.5
1,62,BC30,BAFFR,-2,3350.5
1,63,BC30,BAFFR,-2,1329
1,64,BC30,BAFFR,-2,1188
1,65,BC30,BAFFR,-2,2536
1,66,BC30,Zeta,-2,2554
1,67,BC30,Zeta,-2,1757.5
1,68,BC30,Zeta,-2,1809.5
1,69,BC30,Zeta,-2,1854.5
1,70,BC30,Zeta,-2,1718
1,71,BC30,Zeta,-2,1310
1,72,BB,41BB,-2,1855.5
1,73,BB,41BB,-2,1954
1,74,BB,41BB,-2,2394.5
1,75,BB,41BB,-2,1754
1,76,BB,41BB,-2,1963
1,77,BB,BAFFR,-2,2021.5
1,78,BB,BAFFR,-2,2216
1,79,BB,BAFFR,-2,1649.5
1,80,BB,BAFFR,-2,1780.5
1,1,PBS,PBS,7,80167.5
1,2,PBS,PBS,7,6411.5
1,3,PBS,PBS,7,38000
1,4,PBS,PBS,7,5809
1,5,PBS,PBS,7,423500
1,6,BC50,CD28,7,14335
1,7,BC50,CD28,7,4219
1,8,BC50,CD28,7,17939
1,9,BC50,CD28,7,1635.5
1,10,BC50,CD28,7,960.8
1,11,BC50,CD28,7,1592.5
1,12,BC50,41BB,7,4339
1,13,BC50,41BB,7,6155
1,14,BC50,41BB,7,236900
1,15,BC50,41BB,7,5142.5
1,16,BC50,41BB,7,4672
1,17,BC50,BAFFR,7,1634.5
1,18,BC50,BAFFR,7,2396.5
1,19,BC50,BAFFR,7,21945.5
1,20,BC50,BAFFR,7,5046
1,21,BC50,BAFFR,7,2023.7
1,22,BC50,BAFFR,7,6816.5
1,23,BC30,CD28,7,298198.5
1,24,BC30,CD28,7,12977
1,25,BC30,CD28,7,10859.5
1,26,BC30,CD28,7,254885
1,27,BC30,CD28,7,3050.5
1,28,BC30,CD28,7,1943.5
1,29,BC30,CD28,7,1575
1,30,BC30,CD28,7,2655.5
1,31,BC30,CD28,7,1474.5
1,32,BC30,CD28,7,7445
1,33,BC30,CD28,7,11822.5
1,34,BC30,41BB,7,1234
1,35,BC30,41BB,7,1290.5
1,36,BB,CD28,7,1463
1,37,BB,CD28,7,3369.5
1,38,BB,CD28,7,920.15
1,39,BB,CD28,7,1265.5
1,40,BB,CD28,7,1050.3
1,41,BB,CD28,7,1099.05
1,42,BB,CD28,7,16945
1,43,BB,CD28,7,37900
1,44,BB,CD28,7,1406
1,45,BB,CD28,7,859.9
1,46,TRAC KO,TRAC KO,7,12129.5
1,47,TRAC KO,TRAC KO,7,62905
1,48,TRAC KO,TRAC KO,7,22400
1,49,TRAC KO,TRAC KO,7,5062.5
1,50,TRAC KO,TRAC KO,7,80081.5
1,51,TRAC KO,TRAC KO,7,1304.7
1,52,TRAC KO,TRAC KO,7,3246
1,53,TRAC KO,TRAC KO,7,3382.5
1,54,TRAC KO,TRAC KO,7,7109.5
1,55,TRAC KO,TRAC KO,7,15125
1,56,BC30,BAFFR,7,1450
1,57,BC30,BAFFR,7,22410
1,58,BC30,BAFFR,7,1348.5
1,59,BC30,BAFFR,7,4416
1,60,BC30,BAFFR,7,1577.5
1,61,BC30,BAFFR,7,105775
1,62,BC30,BAFFR,7,10417.5
1,63,BC30,BAFFR,7,1443.5
1,64,BC30,BAFFR,7,1352
1,65,BC30,BAFFR,7,1552.5
1,66,BC30,Zeta,7,1374.5
1,67,BC30,Zeta,7,1244
1,68,BC30,Zeta,7,1977
1,69,BC30,Zeta,7,1319.5
1,70,BC30,Zeta,7,1527.5
1,71,BC30,Zeta,7,1343.5
1,72,BB,41BB,7,7026.5
1,73,BB,41BB,7,1555.5
1,74,BB,41BB,7,1433
1,75,BB,41BB,7,2293.5
1,76,BB,41BB,7,1548
1,77,BB,BAFFR,7,1229.5
1,78,BB,BAFFR,7,1328.5
1,79,BB,BAFFR,7,1904
1,80,BB,BAFFR,7,1297
1,1,PBS,PBS,10,293520
1,2,PBS,PBS,10,13614.5
1,3,PBS,PBS,10,126900
1,4,PBS,PBS,10,12873
1,5,PBS,PBS,10,643450
1,6,BC50,CD28,10,20600
1,7,BC50,CD28,10,1033.75
1,8,BC50,CD28,10,18163.5
1,9,BC50,CD28,10,1525.5
1,10,BC50,CD28,10,1247
1,11,BC50,CD28,10,1217
1,12,BC50,41BB,10,9438
