day,cage,mouse,car,length,width,height,notes,Area,Area2
11,253,1,Taci,10.32,8.70,4.04,,362.72736,781.1208
11,253,2,Taci,13.60,11.33,4.72,,727.29536,1745.81704
11,253,3,Taci,9.48,8.46,5.37,,430.678296,678.498768
11,253,4,Taci,11.42,9.80,6.45,,721.8582,1096.7768
11,253,5,Taci,13.17,10.88,4.73,,677.759808,1558.990848
11,254,1,Zeta,10.65,8.50,3.17,,286.96425,769.4625
11,254,2,Zeta,7.78,7.44,3.02,,174.807264,430.651008
11,254,3,Zeta,7.42,6.81,2.00,,101.0604,344.110662
11,254,4,Zeta,8.38,7.19,2.40,,144.60528,433.213318
11,254,5,Zeta,8.02,7.72,3.25,,201.2218,477.979168
11,201,1,Unt,13.72,9.80,7.97,,1071.61432,1317.6688
11,201,2,Unt,14.10,11.90,6.17,,1035.2643,1996.701
11,201,3,Unt,11.60,9.50,5.88,,647.976,1046.9
11,201,4,Unt,12.40,12.93,6.40,,1026.1248,2073.09276
11,202,1,PBS,10.60,10.72,8.17,,928.37344,1218.13504
11,202,2,PBS,9.10,8.80,5.37,,430.0296,704.704
11,202,3,PBS,7.20,8.20,2.47,,145.8288,484.128
11,202,4,PBS,9.75,8.40,3.00,,245.7,687.96
11,202,5,PBS,9.15,6.70,3.60,,220.698,410.7435
11,203,1,41BB,11.51,8.66,4.35,,433.59321,863.199356
11,203,2,41BB,8.08,7.10,4.14,,237.50352,407.3128
11,203,3,41BB,10.37,6.13,2.97,,188.797257,389.672453
11,203,4,41BB,12.19,9.73,5.92,,702.163504,1154.062651
11,203,5,41BB,9.21,8.56,4.66,,367.383216,674.849856
11,204,1,CD40,10.76,8.90,4.63,,443.38732,852.2996
11,204,2,CD40,8.50,8.10,2.68,,184.518,557.685
11,204,3,CD40,16.40,10.11,7.77,huge tumor,1288.29708,1676.27844
11,204,4,CD40,12.40,10.50,6.51,,847.602,1367.1
11,205,1,CD28,12.00,10.90,4.62,,604.296,1425.72
11,205,2,Taci,15.80,10.00,5.46,dual node is why longer,862.68,1580
11,205,3,Taci,8.42,8.10,4.62,,315.09324,552.4362
11,205,4,Taci,13.30,11.70,6.00,,933.66,1820.637
11,205,5,Taci,9.55,6.20,2.16,,127.8936,367.102
11,206,1,Baffr,12.20,9.27,5.29,,598.26726,1048.38138
11,206,2,Baffr,11.50,10.66,7.28,,892.4552,1306.8094
11,206,3,Baffr,8.72,7.33,6.29,,402.041704,468.516008
11,206,4,Baffr,9.31,6.37,3.97,,235.439659,377.770939
11,206,5,KLRG1,15.46,10.04,5.28,,819.553152,1558.392736
11,207,1,CD40,10.18,5.80,4.26,,251.52744,342.4552
11,207,2,CD40,14.30,9.70,6.47,,897.4537,1345.487
11,207,3,CD40,8.60,6.70,3.35,,193.027,386.054
11,207,4,CD40,14.04,10.11,5.91,,838.891404,1435.057884
11,208,1,41BB,7.43,6.00,1.80,,80.244,267.48
11,208,2,41BB,8.00,5.50,2.43,,106.92,242
11,208,3,41BB,5.65,4.38,2.46,,60.87762,108.39186
11,208,4,CD28,7.80,5.50,3.70,,158.73,235.95
11,208,5,CD28,11.30,7.40,4.08,,341.1696,618.788
11,209,1,Baffr,6.55,5.00,2.86,,93.665,163.75
11,209,2,Baffr,10.76,10.00,5.66,,609.016,1076
11,209,3,Baffr,9.04,5.60,4.13,,209.07712,283.4944
11,209,4,Baffr,7.66,6.20,2.42,,114.93064,294.4504
11,209,5,Baffr,8.87,6.28,3.64,,202.761104,349.818608
11,210,1,CD28,9.60,11.10,5.53,,589.2768,1182.816
