day,cage,mouse,car,length_1,width_1,,
6,240,1,NT,5.45,3.60,,
6,240,2,NT,5.22,4.90,,
6,240,3,NT,5.65,4.11,,
6,240,4,NT,4.80,3.80,,
6,241,1,Unt,5.50,3.70,,
6,241,2,Unt,6.60,3.50,,
6,241,3,Unt,5.46,3.50,,
6,241,4,Unt,4.12,4.50,,
6,242,1,41BB-CD19,6.70,4.40,,
6,242,2,41BB-CD19,6.00,4.22,,
6,242,3,41BB-CD19,5.90,4.50,,
6,242,4,41BB-CD19,6.30,3.30,,
6,243,1,41BB-ALPPL2,7.10,4.20,,
6,243,2,41BB-ALPPL2,6.19,4.00,,
6,243,3,41BB-ALPPL2,9.60,4.10,,
6,243,4,41BB-ALPPL2,6.88,3.70,,
6,243,5,41BB-ALPPL2,6.90,3.60,,
6,244,1,CD28-KO,7.00,4.40,,
6,244,2,CD28-KO,8.63,3.45,,
6,244,3,CD28-KO,5.00,4.00,,
6,244,4,CD28-KO,6.70,3.70,,
6,244,5,CD28-KO,6.00,3.60,,
6,245,1,CD28-Lenti,10.80,3.40,,
6,245,2,CD28-Lenti,6.46,3.86,,
6,245,3,CD28-Lenti,5.55,4.42,,
6,245,4,CD28-Lenti,5.50,3.70,,
6,245,5,CD28-Lenti,7.20,3.60,,
14,240,1,NT,6.06,3.03,,
14,240,2,NT,4.00,2.00,,
14,240,3,NT,5.48,2.90,,
14,240,4,NT,0.00,0.00,,
14,241,1,Unt,9.24,4.33,,
14,241,2,Unt,10.97,2.76,,
14,241,3,Unt,10.60,2.40,,
14,241,4,Unt,5.03,4.23,,
14,242,1,41BB-CD19,4.70,3.00,,
14,242,2,41BB-CD19,6.01,2.81,,
14,242,3,41BB-CD19,6.71,2.74,,
14,242,4,41BB-CD19,0.00,0.00,,
14,243,1,41BB-ALPPL2,3.30,2.60,,
14,243,2,41BB-ALPPL2,6.40,3.00,,
14,243,3,41BB-ALPPL2,8.48,3.90,,
14,243,4,41BB-ALPPL2,5.40,3.30,,
14,243,5,41BB-ALPPL2,5.66,4.00,,
14,244,1,CD28-KO,5.20,2.50,,
14,244,2,CD28-KO,5.20,1.90,,
14,244,3,CD28-KO,4.30,3.00,,
14,244,4,CD28-KO,0.00,0.00,,
14,244,5,CD28-KO,5.40,2.40,,
14,245,1,CD28-Lenti,14.90,3.40,,
14,245,2,CD28-Lenti,10.76,2.50,,
14,245,3,CD28-Lenti,5.70,4.90,,
14,245,4,CD28-Lenti,4.80,2.70,,
14,245,5,CD28-Lenti,5.00,3.30,,
21,240,1,NT,8.20,4.10,,
21,240,2,NT,4.90,3.54,,
21,240,3,NT,8.94,3.00,,
21,240,4,NT,10.37,3.58,,
21,241,1,Unt,9.90,6.06,,
21,241,2,Unt,13.10,3.73,,
21,241,3,Unt,15.04,4.21,,
21,241,4,Unt,6.25,3.80,,
21,242,1,41BB-CD19,0.00,0.00,,
21,242,2,41BB-CD19,0.00,0.00,,
21,242,3,41BB-CD19,3.12,2.62,,
21,242,4,41BB-CD19,0.00,0.00,,
21,243,1,41BB-ALPPL2,0.00,0.00,,
21,243,2,41BB-ALPPL2,0.00,0.00,,
21,243,3,41BB-ALPPL2,0.00,0.00,,
21,243,4,41BB-ALPPL2,0.00,0.00,,
21,243,5,41BB-ALPPL2,0.00,0.00,,
21,244,1,CD28-KO,0.00,0.00,,
21,244,2,CD28-KO,0.00,0.00,,
21,244,3,CD28-KO,0.00,0.00,,
21,244,4,CD28-KO,0.00,0.00,,
21,244,5,CD28-KO,0.00,0.00,,
21,245,1,CD28-Lenti,0.00,0.00,,
21,245,2,CD28-Lenti,0.00,0.00,,
21,245,3,CD28-Lenti,0.00,0.00,,
21,245,4,CD28-Lenti,0.00,0.00,,
21,245,5,CD28-Lenti,0.00,0.00,,
28,240,1,NT,9.44,3.80,,
28,240,2,NT,5.50,3.84,,
28,240,3,NT,10.20,3.90,,
28,240,4,NT,13.45,4.00,,
28,241,1,Unt,9.22,5.88,,
28,241,2,Unt,14.00,4.00,,
28,241,3,Unt,15.10,4.40,,
28,241,4,Unt,17.82,6.67,,
28,242,1,41BB-CD19,0.00,0.00,,
28,242,2,41BB-CD19,0.00,0.00,,
28,242,3,41BB-CD19,0.00,0.00,,
28,242,4,41BB-CD19,dead,,,
28,243,1,41BB-ALPPL2,0.00,0.00,,
28,243,2,41BB-ALPPL2,0.00,0.00,,
28,243,3,41BB-ALPPL2,0.00,0.00,,
28,243,4,41BB-ALPPL2,0.00,0.00,,
28,243,5,41BB-ALPPL2,0.00,0.00,,
28,244,1,CD28-KO,0.00,0.00,,
28,244,2,CD28-KO,0.00,0.00,,
28,244,3,CD28-KO,0.00,0.00,,
28,244,4,CD28-KO,0.00,0.00,,
28,244,5,CD28-KO,0.00,0.00,,
28,245,1,CD28-Lenti,0.00,0.00,,
28,245,2,CD28-Lenti,0.00,0.00,,
28,245,3,CD28-Lenti,0.00,0.00,,
28,245,4,CD28-Lenti,0.00,0.00,,
28,245,5,CD28-Lenti,0.00,0.00,,
48,240,1,NT,16.79,6.60,,
48,240,2,NT,16.94,5.81,,
48,240,3,NT,18.62,5.42,,
48,240,4,NT,21.96,5.42,,
48,241,1,Unt,4.97,9.77,,
48,241,2,Unt,13.08,4.67,,
48,241,3,Unt,15.90,4.32,,
48,241,4,Unt,11.78,4.99,,
48,242,1,41BB-CD19,0.00,0.00,,
48,242,2,41BB-CD19,0.00,0.00,,
48,242,3,41BB-CD19,0.00,0.00,,
48,242,4,41BB-CD19,dead,,,
48,243,1,41BB-ALPPL2,0.00,0.00,,
48,243,2,41BB-ALPPL2,dead,,,
48,243,3,41BB-ALPPL2,0.00,0.00,,
48,243,4,41BB-ALPPL2,0.00,0.00,,
48,243,5,41BB-ALPPL2,0.00,0.00,,
48,244,1,CD28-KO,0.00,0.00,,
48,244,2,CD28-KO,0.00,0.00,,
48,244,3,CD28-KO,0.00,0.00,,
48,244,4,CD28-KO,0.00,0.00,,
48,244,5,CD28-KO,0.00,0.00,,
48,245,1,CD28-Lenti,0.00,0.00,,
48,245,2,CD28-Lenti,0.00,0.00,,
48,245,3,CD28-Lenti,0.00,0.00,,
48,245,4,CD28-Lenti,0.00,0.00,,
48,245,5,CD28-Lenti,0.00,0.00,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
