day,cage,mouse,car,length_1,width_1,length_2,width_2
7,258,1,unt,5.33,3.09,,
7,258,2,unt,7.08,3.96,,
7,258,3,unt,5.71,4.16,,
7,258,4,unt,5.23,3.94,,
7,259,1,41BB,4.80,3.24,,
7,259,2,41BB,7.63,3.25,,
7,259,3,None,7.30,2.90,,
7,259,4,41BB,7.09,3.86,,
7,259,5,41BB,6.74,3.43,,
7,260,1,Baffr,5.23,3.21,,
7,260,2,Baffr,5.06,2.93,,
7,260,3,Baffr,6.03,4.07,,
7,260,4,Baffr,5.60,3.10,,
7,260,5,Baffr,4.14,3.32,,
7,261,1,CD28,4.57,3.01,,
7,261,2,CD28,6.39,3.55,,
7,261,3,CD28,5.74,2.94,,
7,261,4,CD28,5.51,3.15,,
7,261,5,unt,6.32,3.55,,
7,262,1,CD40,6.74,3.55,,
7,262,2,CD40,7.94,3.97,,
7,262,3,CD40,5.50,3.37,,
7,262,4,CD40,6.11,3.31,,
7,262,5,CD40,7.85,3.01,,
7,263,1,TACI,7.30,3.98,,
7,263,2,TACI,6.71,3.64,,
7,263,3,None,7.95,3.57,,
7,263,4,TACI,5.90,2.94,,
7,263,5,TACI,5.67,3.17,,
7,264,1,Zeta,4.96,3.15,,
7,264,2,Zeta,4.60,3.30,,
7,264,3,Zeta,5.83,3.35,,
7,264,4,Zeta,6.17,3.17,,
7,264,5,Zeta,6.75,4.06,,
7,265,1,None,7.66,3.51,,
7,265,2,None,7.00,4.00,,
7,265,3,None,6.55,4.52,,
7,265,4,None,6.05,4.22,,
7,266,1,None,7.21,4.48,,
7,266,2,None,6.49,4.10,,
7,266,3,None,6.81,4.85,,
7,267,1,KLRG1,6.62,3.07,,
7,267,2,KLRG1,5.37,3.15,,
7,267,3,KLRG1,4.59,3.34,,
7,267,4,KLRG1,6.58,3.58,,
7,267,5,KLRG1,7.80,3.18,,
14,258,1,unt,7.65,5.14,,
14,258,2,unt,8.77,5.56,,
14,258,3,unt,7.93,6.81,,
14,258,4,unt,7.02,6.11,,
14,259,1,41BB,4.54,3.87,,
14,259,2,41BB,7.09,4.13,,
14,259,3,None,9.21,5.16,,
14,259,4,41BB,8.65,5.70,,
14,259,5,41BB,4.21,3.85,,
14,260,1,Baffr,5.44,3.70,,
14,260,2,Baffr,5.57,3.46,,
14,260,3,Baffr,7.51,6.27,,
14,260,4,Baffr,4.93,3.92,,
14,260,5,Baffr,4.48,4.11,,
14,261,1,CD28,5.31,4.37,,
14,261,2,CD28,9.07,7.05,,
14,261,3,CD28,5.11,4.22,,
14,261,4,CD28,9.69,6.59,,
14,261,5,unt,7.90,5.93,,
14,262,1,CD40,7.43,5.57,,
14,262,2,CD40,7.13,5.11,,
14,262,3,CD40,6.11,4.89,,
14,262,4,CD40,5.60,4.22,,
14,262,5,CD40,7.11,5.18,,
14,263,1,TACI,8.39,5.72,,
14,263,2,TACI,7.62,5.24,,
14,263,3,None,9.79,6.05,,
14,263,4,TACI,5.12,4.99,,
14,263,5,TACI,7.20,6.25,,
14,264,1,Zeta,5.35,5.06,,
14,264,2,Zeta,4.99,5.22,,
14,264,3,Zeta,7.56,5.25,,
14,264,4,Zeta,5.80,6.68,,
14,264,5,Zeta,6.74,5.54,,
14,265,1,None,6.71,5.12,,
14,265,2,None,10.59,6.64,,
14,265,3,None,7.57,6.71,,
14,265,4,None,7.64,4.57,,
14,266,1,None,8.33,6.88,,
14,266,2,None,7.94,4.11,,
14,266,3,None,7.02,5.01,,
14,267,1,KLRG1,9.94,6.15,,
14,267,2,KLRG1,6.89,5.16,,
14,267,3,KLRG1,5.26,4.59,,
14,267,4,KLRG1,8.08,5.26,,
14,267,5,KLRG1,8.00,5.77,,
21,258,1,unt,9.61,4.45,,
21,258,2,unt,11.89,5.67,,
21,258,3,unt,9.12,6.50,,
21,258,4,unt,5.94,4.54,,
21,259,1,41BB,3.40,2.72,,
21,259,2,41BB,4.49,2.31,,
21,259,3,None,10.32,5.84,,
21,259,4,41BB,3.62,3.02,,
21,259,5,41BB,0.00,0.00,,
21,260,1,Baffr,0.00,0.00,,
21,260,2,Baffr,3.72,1.87,,
21,260,3,Baffr,0.00,0.00,,
21,260,4,Baffr,3.59,2.37,,
21,260,5,Baffr,0.00,0.00,,
21,261,1,CD28,3.20,2.04,,
21,261,2,CD28,4.78,2.88,,
21,261,3,CD28,3.31,2.15,,
21,261,4,CD28,4.15,2.93,,
21,261,5,unt,8.88,4.47,,
21,262,1,CD40,7.31,6.18,,
21,262,2,CD40,8.28,3.88,,
21,262,3,CD40,6.21,2.89,,
21,262,4,CD40,4.73,3.91,,
21,262,5,CD40,9.77,4.48,,
21,263,1,TACI,0.00,0.00,,
21,263,2,TACI,3.85,2.00,,
21,263,3,None,8.53,5.40,,
21,263,4,TACI,4.60,3.10,,
21,263,5,TACI,3.93,2.35,,
21,264,1,Zeta,4.93,3.30,,
21,264,2,Zeta,6.06,3.15,,
21,264,3,Zeta,5.36,5.47,,
21,264,4,Zeta,5.65,5.73,,
21,264,5,Zeta,7.26,5.67,,
21,265,1,None,9.68,4.75,,
21,265,2,None,10.73,6.00,,
21,265,3,None,8.24,7.02,,
21,265,4,None,11.22,4.61,,
21,266,1,None,8.82,5.66,,
21,266,2,None,7.52,4.25,,
21,266,3,None,6.69,3.66,,
21,267,1,KLRG1,11.62,6.06,,
21,267,2,KLRG1,8.30,4.50,,
21,267,3,KLRG1,7.83,4.09,,
21,267,4,KLRG1,7.99,5.30,,
21,267,5,KLRG1,9.20,5.50,,
28,258,1,unt,10.32,5.89,,
28,258,2,unt,12.84,6.39,,
28,258,3,unt,9.68,6.36,,
28,258,4,unt,9.40,5.91,,
28,259,1,41BB,0.00,0.00,,
28,259,2,41BB,4.25,3.03,,
28,259,3,None,11.67,5.98,,
28,259,4,41BB,0.00,0.00,,
28,259,5,41BB,0.00,0.00,,
28,260,1,Baffr,0.00,0.00,,
28,260,2,Baffr,0.00,0.00,,
28,260,3,Baffr,0.00,0.00,,
28,260,4,Baffr,5.26,3.09,,
