day,mouse_number,car,length,width,,Area1,Notes,,,,,,
6,110-1,NT,6.14,3.63,,40.453083,slightly scruffy cage,,,,,,
6,110-2,NT,5.37,2.76,,20.453256,slightly scruffy cage,,,,,,
6,110-3,NT,6.75,2.87,,27.7995375,slightly scruffy cage,,,,,,
6,110-4,NT,5.58,3.15,,27.683775,slightly scruffy cage,,,,,,
6,110-5,NT,6.97,3.14,,34.360706,slightly scruffy cage,,,,,,
6,111-1,Unt,6.37,3.32,,35.106344,,,,,,,
6,111-2,Unt,4.06,2.83,,16.258067,,,,,,,
6,111-3,Unt,4.03,2.38,,11.413766,,,,,,,
6,111-4,Unt,6.54,3.01,,29.626527,bad tumor injection,,,,,,
6,111-5,Unt,5.61,3.36,,31.667328,,,,,,,
6,112-1,CD40,6.47,3.07,,30.4895515,,,,,,,
6,112-2,CD40,4.23,2.83,,16.9388235,,,,,,,
6,112-3,CD40,4.66,3.26,,24.762308,,,,,,,
6,112-4,CD40,4.80,3.87,,35.94456,,,,,,,
6,804-1,BAFFR,6.50,3.12,,31.6368,,,,,,,
6,804-2,BAFFR,5.51,3.00,,24.795,,,,,,,
6,804-3,BAFFR,4.53,3.05,,21.0701625,,,,,,,
6,804-4,BAFFR,6.50,2.12,,14.6068,,,,,,,
6,804-5,BAFFR,6.65,2.82,,26.44173,,,,,,,
6,805-1,41BB,3.89,3.04,,17.974912,,,,,,,
6,805-2,CD40-CD28,4.47,2.54,,14.419326,,,,,,,
6,805-3,CD28-41BB,4.34,3.32,,23.918608,,,,,,,
6,805-4,CD28-41BB,8.50,3.49,,51.765425,,,,,,,
6,806-1,41BB,5.30,3.15,,26.294625,,,,,,,
6,806-2,41BB,3.89,3.10,,18.69145,,,,,,,
6,806-3,41BB,4.50,3.59,,28.998225,,,,,,,
6,806-4,41BB,4.85,2.77,,18.6067825,,,,,,,
6,807-1,CD28,6.35,2.31,,16.9421175,,,,,,,
6,807-2,CD28,4.07,2.66,,14.398846,,,,,,,
6,807-3,CD28,6.22,2.54,,20.064476,,,,,,,
6,807-4,CD28,5.40,3.08,,25.61328,,,,,,,
6,808-1,CD28-41BB,6.23,3.12,,30.322656,,,,,,,
6,808-2,CD28-41BB,6.97,2.90,,29.30885,,,,,,,
6,808-3,CD28-41BB,4.71,3.41,,27.3841755,,,,,,,
6,808-4,41BB,5.73,2.64,,19.967904,,,,,,,
6,809-1,BAFFR-41BB,5.88,2.75,,22.23375,,,,,,,
6,809-2,BAFFR-41BB,5.29,2.76,,20.148552,,,,,,,
6,809-3,BAFFR-41BB,5.85,3.02,,26.67717,,,,,,,
6,809-4,BAFFR-41BB,4.93,2.62,,16.920746,,,,,,,
6,809-5,BAFFR-41BB,5.18,2.56,,16.973824,,,,,,,
6,810-1,CD40-41BB,6.44,3.45,,38.32605,,,,,,,
6,810-2,CD40-41BB,6.64,2.90,,27.9212,,,,,,,
6,810-3,CD40-41BB,5.30,3.12,,25.79616,,,,,,,
6,810-4,CD40-41BB,5.12,2.70,,18.6624,,,,,,,
6,810-5,CD40-41BB,4.75,3.57,,30.2691375,,,,,,,
6,811-1,CD40-CD28,4.45,3.03,,20.4275025,,,,,,,
6,811-2,CD40-CD28,4.57,2.83,,18.3003365,,,,,,,
6,811-3,CD40-CD28,5.64,2.89,,23.552922,,,,,,,
6,811-4,CD40-CD28,4.48,2.56,,14.680064,,,,,,,
11,110-1,NT,8.33,4.39,,80.2682965,,,,,,,
11,110-2,NT,5.39,3.39,,30.9712095,,,,,,,
11,110-3,NT,7.03,3.12,,34.216416,,,,,,,
11,110-4,NT,4.83,3.84,,35.610624,,,,,,,
11,110-5,NT,6.79,3.45,,40.4089875,,,,,,,
11,111-1,Unt,7.47,3.36,,42.166656,,,,,,,
11,111-2,Unt,5.00,4.08,,41.616,,,,,,,
11,111-3,Unt,4.60,3.24,,24.14448,,,,,,,
11,111-4,Unt,9.72,3.42,,56.844504,,,,,,,
11,111-5,Unt,5.56,3.45,,33.08895,,,,,,,
11,112-1,CD40,8.63,3.54,,54.073854,,,,,,,
11,112-2,CD40,6.83,3.47,,41.1196735,,,,,,,
