"# Exhaustion marker data: Fig 1E, S1B"
Well,Plate,Day,CAR,T Cell Donor,K562 Condition,T Cell Subset,Number of Positive Exhaustion Markers,Number of T Cells,Fraction of T Cells
A01,1,33,41BB,1,cd19+,cd8,0,26,0.00280807862620153
A01,1,33,41BB,1,cd19+,cd8,1,669,0.0722540231126472
A01,1,33,41BB,1,cd19+,cd8,2,5248,0.566799870396371
A01,1,33,41BB,1,cd19+,cd8,3,3298,0.356193973431256
A01,1,33,41BB,1,cd19+,cd8,4,18,0.00194405443352414
A02,1,6,41BB,1,cd19+,cd8,0,144,0.0103019029904135
A02,1,6,41BB,1,cd19+,cd8,1,2255,0.161324939190156
A02,1,6,41BB,1,cd19+,cd8,2,6163,0.4409071397911
A02,1,6,41BB,1,cd19+,cd8,3,4454,0.318643582772929
A02,1,6,41BB,1,cd19+,cd8,4,962,0.0688224352554013
A02,1,15,41BB,1,cd19+,cd8,0,64,0.00530284199188002
A02,1,15,41BB,1,cd19+,cd8,1,1551,0.128511061396967
A02,1,15,41BB,1,cd19+,cd8,2,7380,0.611483967188665
A02,1,15,41BB,1,cd19+,cd8,3,2849,0.236059325544784
A02,1,15,41BB,1,cd19+,cd8,4,225,0.0186428038777032
A02,1,24,41BB,1,cd19+,cd8,0,7,0.00110132158590308
A02,1,24,41BB,1,cd19+,cd8,1,301,0.0473568281938326
A02,1,24,41BB,1,cd19+,cd8,2,2603,0.409534298300818
A02,1,24,41BB,1,cd19+,cd8,3,3312,0.521082441787288
A02,1,24,41BB,1,cd19+,cd8,4,133,0.0209251101321586
A02,1,33,41BB,1,cd19+,cd8,0,34,0.00371300644315824
A02,1,33,41BB,1,cd19+,cd8,1,1197,0.130719668013542
A02,1,33,41BB,1,cd19+,cd8,2,6081,0.664082122966037
A02,1,33,41BB,1,cd19+,cd8,3,1822,0.198973462924539
A02,1,33,41BB,1,cd19+,cd8,4,23,0.00251173965272469
A03,1,6,41BB,1,cd19+,cd8,0,109,0.00644284194349214
A03,1,6,41BB,1,cd19+,cd8,1,1859,0.109882964889467
A03,1,6,41BB,1,cd19+,cd8,2,6735,0.398096701737794
A03,1,6,41BB,1,cd19+,cd8,3,6388,0.377586003073649
A03,1,6,41BB,1,cd19+,cd8,4,1827,0.107991488355598
A03,1,15,41BB,1,cd19+,cd8,0,90,0.00617580457009538
A03,1,15,41BB,1,cd19+,cd8,1,2092,0.143553146229328
A03,1,15,41BB,1,cd19+,cd8,2,8781,0.602552665888973
A03,1,15,41BB,1,cd19+,cd8,3,3375,0.231592671378577
A03,1,15,41BB,1,cd19+,cd8,4,235,0.0161257119330268
A03,1,24,41BB,1,cd19+,cd8,0,4,0.000611246943765281
A03,1,24,41BB,1,cd19+,cd8,1,293,0.0447738386308069
A03,1,24,41BB,1,cd19+,cd8,2,2613,0.39929706601467
A03,1,24,41BB,1,cd19+,cd8,3,3489,0.533160146699267
A03,1,24,41BB,1,cd19+,cd8,4,145,0.0221577017114914
A03,1,33,41BB,1,cd19+,cd8,0,18,0.00135920863852601
A03,1,33,41BB,1,cd19+,cd8,1,965,0.0728686853432002
A03,1,33,41BB,1,cd19+,cd8,2,7656,0.578116740919731
A03,1,33,41BB,1,cd19+,cd8,3,4569,0.34501245941252
A03,1,33,41BB,1,cd19+,cd8,4,35,0.0026429056860228
A07,1,6,41BB,2,cd19+,cd8,0,1649,0.183283316661109
A07,1,6,41BB,2,cd19+,cd8,1,3558,0.395465155051684
A07,1,6,41BB,2,cd19+,cd8,2,2769,0.307769256418806
A07,1,6,41BB,2,cd19+,cd8,3,901,0.100144492608647
