# CTV data: Fig 2A
Domain Name,Sorted Bin,Read Count,Experiment Date,Experiment Batch,Donor Name,Experimental Timepoint,Assay Name,T Cell Type,K562 Condition,Number of inferred cells for Domain,Sorted Cell Group,Domain Length,Percent of CAR reads in bin,Absolute pct of Reads in Whole Sort for CAR,DESeq2 RLog CAR Score
4-1BB,A,198566,2018.10.02,prolif2,d1,3d,CTV1,CD4,neg,61366,prolif2_d1_3d_CTV1_CD4_neg,126,0.0539137658975018,0.00309933809237282,0.318651796878394
4-1BB,A,170359,2018.10.02,prolif2,d1,3d,CTV1,CD4,pos,238500,prolif2_d1_3d_CTV1_CD4_pos,126,0.276647179496683,0.0136093970449905,0.161293826632561
4-1BB,A,141169,2018.09.29,prolif2,d1,0h,baseline,CD4,,1e+05,prolif2_d1_0h_baseline_CD4_NA,126,1,0.0631437650178291,0
4-1BB,A,489083,2018.10.15,prolif2,d1,16d,CTV2,CD4,pos,602595,prolif2_d1_16d_CTV2_CD4_pos,126,0.368499878400853,0.0525531830074742,1.14605238099117
4-1BB,A,562963,2018.10.23,prolif2,d1,24d,CTV3,CD4,pos,703827,prolif2_d1_24d_CTV3_CD4_pos,126,0.268888455202526,0.0558913757248578,0.824821829472429
4-1BB,B,177172,2018.10.02,prolif2,d1,3d,CTV1,CD4,neg,247698,prolif2_d1_3d_CTV1_CD4_neg,126,0.178936340168373,0.0102865048649721,0.318651796878394
4-1BB,B,61661,2018.10.02,prolif2,d1,3d,CTV1,CD4,pos,420790,prolif2_d1_3d_CTV1_CD4_pos,126,0.324199062862884,0.0159486670933789,0.161293826632561
4-1BB,B,160672,2018.10.15,prolif2,d1,16d,CTV2,CD4,neg,20594,prolif2_d1_16d_CTV2_CD4_neg,126,0.042914639736932,0.00239469861417325,0.311581779126508
4-1BB,B,260439,2018.10.15,prolif2,d1,16d,CTV2,CD4,pos,1590786,prolif2_d1_16d_CTV2_CD4_pos,126,0.387621018759301,0.0552801222752153,1.14605238099117
4-1BB,B,123932,2018.10.23,prolif2,d1,24d,CTV3,CD4,neg,9608,prolif2_d1_24d_CTV3_CD4_neg,126,0.0261614708845017,0.00166610042425281,0.0727715082075411
4-1BB,B,371186,2018.10.23,prolif2,d1,24d,CTV3,CD4,pos,1219007,prolif2_d1_24d_CTV3_CD4_pos,126,0.383844864920942,0.0797863097141708,0.824821829472429
4-1BB,C,177473,2018.10.02,prolif2,d1,3d,CTV1,CD4,neg,694982,prolif2_d1_3d_CTV1_CD4_neg,126,0.503603244305538,0.0289506157200385,0.318651796878394
4-1BB,C,65399,2018.10.02,prolif2,d1,3d,CTV1,CD4,pos,417496,prolif2_d1_3d_CTV1_CD4_pos,126,0.294556942421448,0.0144904509385029,0.161293826632561
4-1BB,C,134278,2018.10.15,prolif2,d1,16d,CTV2,CD4,neg,108590,prolif2_d1_16d_CTV2_CD4_neg,126,0.191500531481652,0.0106860050594319,0.311581779126508
4-1BB,C,128587,2018.10.15,prolif2,d1,16d,CTV2,CD4,pos,1289837,prolif2_d1_16d_CTV2_CD4_pos,126,0.187472441478148,0.0267361649306756,1.14605238099117
4-1BB,C,138585,2018.10.23,prolif2,d1,24d,CTV3,CD4,neg,68455,prolif2_d1_24d_CTV3_CD4_neg,126,0.251247901853903,0.0160007913056373,0.0727715082075411
4-1BB,C,260841,2018.10.23,prolif2,d1,24d,CTV3,CD4,pos,1254621,prolif2_d1_24d_CTV3_CD4_pos,126,0.266755214145877,0.0554479584821239,0.824821829472429
4-1BB,D,61682,2018.10.02,prolif2,d1,3d,CTV1,CD4,neg,486438,prolif2_d1_3d_CTV1_CD4_neg,126,0.263546649628587,0.0151504936951355,0.318651796878394
4-1BB,D,99724,2018.10.02,prolif2,d1,3d,CTV1,CD4,pos,121299,prolif2_d1_3d_CTV1_CD4_pos,126,0.104596815218985,0.00514554166265677,0.161293826632561
4-1BB,D,83203,2018.10.15,prolif2,d1,16d,CTV2,CD4,neg,695906,prolif2_d1_16d_CTV2_CD4_neg,126,0.765584828781416,0.0427207344568982,0.311581779126508
4-1BB,D,110241,2018.10.15,prolif2,d1,16d,CTV2,CD4,pos,432203,prolif2_d1_16d_CTV2_CD4_pos,126,0.0564066613616984,0.00804437062570032,1.14605238099117
4-1BB,D,112496,2018.10.23,prolif2,d1,24d,CTV3,CD4,neg,225958,prolif2_d1_24d_CTV3_CD4_neg,126,0.722590627261595,0.0460183816099903,0.0727715082075411
4-1BB,D,239619,2018.10.23,prolif2,d1,24d,CTV3,CD4,pos,243958,prolif2_d1_24d_CTV3_CD4_pos,126,0.0805114657306558,0.0167351795670134,0.824821829472429
4-1BB,A,100968,2018.10.03,prolif2,d1,4d,CTV1,CD8,pos,1135718,prolif2_d1_4d_CTV1_CD8_pos,126,0.29782465665132,0.0138409157623163,-0.000110422384285658
4-1BB,A,105914,2018.09.29,prolif2,d1,0h,baseline,CD8,,1e+05,prolif2_d1_0h_baseline_CD8_NA,126,1,0.0601478908712795,0
4-1BB,A,74931,2018.10.15,prolif2,d1,16d,CTV2,CD8,neg,9218,prolif2_d1_16d_CTV2_CD8_neg,126,0.00292989582182818,0.000148847254088478,0.323686748996986
4-1BB,A,237959,2018.10.15,prolif2,d1,16d,CTV2,CD8,pos,450666,prolif2_d1_16d_CTV2_CD8_pos,126,0.242443514433362,0.0212442604637985,0.683407449713587
4-1BB,A,260595,2018.10.23,prolif2,d1,24d,CTV3,CD8,pos,22146,prolif2_d1_24d_CTV3_CD8_pos,126,0.00605901125399047,0.000678950470086031,0.211378637271491
4-1BB,B,36617,2018.10.03,prolif2,d1,4d,CTV1,CD8,pos,1114173,prolif2_d1_4d_CTV1_CD8_pos,126,0.252716204178354,0.0117445739151814,-0.000110422384285658
4-1BB,B,75487,2018.10.15,prolif2,d1,16d,CTV2,CD8,neg,120793,prolif2_d1_16d_CTV2_CD8_neg,126,0.062152720277469,0.00315753948604834,0.323686748996986
4-1BB,B,187886,2018.10.15,prolif2,d1,16d,CTV2,CD8,pos,1098228,prolif2_d1_16d_CTV2_CD8_pos,126,0.351527931510153,0.0308028488811345,0.683407449713587
4-1BB,B,121328,2018.10.23,prolif2,d1,24d,CTV3,CD8,neg,28188,prolif2_d1_24d_CTV3_CD8_neg,126,0.0167904452066157,0.000853552396505592,0.0854075483161083
4-1BB,B,236956,2018.10.23,prolif2,d1,24d,CTV3,CD8,pos,373671,prolif2_d1_24d_CTV3_CD8_pos,126,0.124339501464223,0.0139330262695581,0.211378637271491
4-1BB,C,90196,2018.10.03,prolif2,d1,4d,CTV1,CD8,pos,1743261,prolif2_d1_4d_CTV1_CD8_pos,126,0.357963567714333,0.0166357736878477,-0.000110422384285658
4-1BB,C,93081,2018.10.15,prolif2,d1,16d,CTV2,CD8,neg,782055,prolif2_d1_16d_CTV2_CD8_neg,126,0.302033430875669,0.0153441793028373,0.323686748996986
4-1BB,C,133499,2018.10.15,prolif2,d1,16d,CTV2,CD8,pos,1192673,prolif2_d1_16d_CTV2_CD8_pos,126,0.288913351762597,0.0253162082337355,0.683407449713587
4-1BB,C,100527,2018.10.23,prolif2,d1,24d,CTV3,CD8,neg,381486,prolif2_d1_24d_CTV3_CD8_neg,126,0.182978274532465,0.00930181081047845,0.0854075483161083
4-1BB,C,202269,2018.10.23,prolif2,d1,24d,CTV3,CD8,pos,1259129,prolif2_d1_24d_CTV3_CD8_pos,126,0.526869361761369,0.059039038854106,0.211378637271491
4-1BB,D,219761,2018.10.03,prolif2,d1,4d,CTV1,CD8,pos,325516,prolif2_d1_4d_CTV1_CD8_pos,126,0.0914955714559927,0.0042521076373808,-0.000110422384285658
4-1BB,D,81684,2018.10.15,prolif2,d1,16d,CTV2,CD8,neg,1324486,prolif2_d1_16d_CTV2_CD8_neg,126,0.632883953025034,0.032152350900196,0.323686748996986
4-1BB,D,97744,2018.10.15,prolif2,d1,16d,CTV2,CD8,pos,601308,prolif2_d1_16d_CTV2_CD8_pos,126,0.117115202293889,0.0102622908582101,0.683407449713587
