"# Cytokine data: Fig 2B, S2C"
Domain Name,Cytokine Bin,Cytokine Sort Group (IL2/IFNg/both),Donor Name,T Cell Type,K562 Condition,Number of inferred cells for Domain,Sorted Cell Group,Number of CAR-T cells in bin for this domain,Number of CAR-T cells in bin for this domain,"Number of CAR-T cells in bin for this domain, including double positive cells","Log2 Fold Change, Domain Mean","Log2 Fold Change, Domain/Donor Mean","Log2 Fold Change, Domain/Subset Mean","Sort Group (Subset, Cytokine, Donor, Replicate)",Domain Rank within Sort Group
4-1BB,il2,il2.ifng,Donor A,CD4,pos,1901,67_il2.ifng_CD4_pos,368.948343006076,0.0670234880430729,0.117493796105468,3.2944258791384,1.93120929546625,1.43446907666744,67_il2.ifng_CD4_pos,1
4-1BB,ifng,il2.ifng,Donor A,CD4,pos,4371,67_il2.ifng_CD4_pos,93.4539166871435,0.0169769226136786,0.067447230676074,1.06566324908281,0.299643037969607,0.368660551975956,67_il2.ifng_CD4_pos,3
4-1BB,il2,il2.ifng,Donor A,CD8,pos,9574,67_il2.ifng_CD8_pos,2185.58377933306,0.0598199186449277,0.0816223954194391,0.567992711794102,1.93120929546625,1.43446907666744,67_il2.ifng_CD8_pos,5
4-1BB,ifng,il2.ifng,Donor A,CD8,pos,51343,67_il2.ifng_CD8_pos,4189.31767447343,0.11466256513911,0.136465041913621,-0.466377173143595,0.299643037969607,0.368660551975956,67_il2.ifng_CD8_pos,26
4-1BB,il2,il2.ifng,Donor B,CD4,pos,2035,68_il2.ifng_CD4_pos,322.00172649684,0.00420633519617155,0.0137850409383652,1.12872953692897,1.26280209181436,1.43446907666744,68_il2.ifng_CD4_pos,6
4-1BB,ifng,il2.ifng,Donor B,CD4,pos,14906,68_il2.ifng_CD4_pos,1490.09069165812,0.0194651779976425,0.0290438837398361,0.214009946411385,0.425183329810761,0.368660551975956,68_il2.ifng_CD4_pos,8
4-1BB,il2,il2.ifng,Donor B,CD8,pos,11065,68_il2.ifng_CD8_pos,993.572787177487,0.0454692697531778,0.134406498440317,1.39687464669975,1.26280209181436,1.43446907666744,68_il2.ifng_CD8_pos,3
4-1BB,ifng,il2.ifng,Donor B,CD8,pos,21926,68_il2.ifng_CD8_pos,2053.82994301242,0.0939902430009924,0.182927471688132,0.636356713210137,0.425183329810761,0.368660551975956,68_il2.ifng_CD8_pos,4
BAFF-R,il2,il2.ifng,Donor A,CD4,pos,1901,67_il2.ifng_CD4_pos,37.5631354840665,0.00436862174293946,0.0143281523707634,0.258765787134798,0.781402931573972,0.642736669542669,67_il2.ifng_CD4_pos,6
BAFF-R,ifng,il2.ifng,Donor A,CD4,pos,4371,67_il2.ifng_CD4_pos,426.851273230475,0.049643133599085,0.0596026642269089,0.887280860784008,0.914888940575825,0.901989168725411,67_il2.ifng_CD4_pos,5
BAFF-R,il2,il2.ifng,Donor A,CD8,pos,9574,67_il2.ifng_CD8_pos,54.8703820068904,0.0050178201002075,0.135950769774554,1.30404007601315,0.781402931573972,0.642736669542669,67_il2.ifng_CD8_pos,3
BAFF-R,ifng,il2.ifng,Donor A,CD8,pos,51343,67_il2.ifng_CD8_pos,2530.62905638822,0.231422506657952,0.362355456332298,0.942497020367642,0.914888940575825,0.901989168725411,67_il2.ifng_CD8_pos,2
BAFF-R,il2,il2.ifng,Donor B,CD4,pos,2035,68_il2.ifng_CD4_pos,77.8123330510131,0.00336679953236162,0.0172996582909711,1.45636952662154,0.567540228021691,0.642736669542669,68_il2.ifng_CD4_pos,4
BAFF-R,ifng,il2.ifng,Donor B,CD4,pos,14906,68_il2.ifng_CD4_pos,1157.22131107532,0.0500708822907675,0.0640037410493769,1.35393179720409,0.978552442692141,0.901989168725411,68_il2.ifng_CD4_pos,3
BAFF-R,il2,il2.ifng,Donor B,CD8,pos,11065,68_il2.ifng_CD8_pos,252.113701115762,0.0297064467019424,0.0408508832164916,-0.321289070578162,0.567540228021691,0.642736669542669,68_il2.ifng_CD8_pos,7
BAFF-R,ifng,il2.ifng,Donor B,CD8,pos,21926,68_il2.ifng_CD8_pos,1422.59306084966,0.167623515713963,0.178767952228512,0.603173088180187,0.978552442692141,0.901989168725411,68_il2.ifng_CD8_pos,5
BCMA,il2,il2.ifng,Donor A,CD4,pos,1901,67_il2.ifng_CD4_pos,2.3332929250072,0.00265297504139261,0.00842461441259765,-0.507404235526022,-0.620461901932307,-0.663064184397029,67_il2.ifng_CD4_pos,8
BCMA,ifng,il2.ifng,Donor A,CD4,pos,4371,67_il2.ifng_CD4_pos,14.2566403269402,0.0162099282760938,0.0219815676472989,-0.55180168167804,-0.343462133237573,-0.0825180808342375,67_il2.ifng_CD4_pos,16
