# Abundance over time data: Fig 2C
Domain Name,Sort Name,T Cell Type,P-value on plot,P-value after multiple testing correction,Significance Score,log2 Mean Domain abundance relative to baseline
BAFF-R,CTV1,CD8,7.19546238191868e-06,3.59773119095934e-05,****,0.714675075642768
BAFF-R,baseline,CD8,7.19546238191868e-06,3.59773119095934e-05,****,0
BAFF-R,CTV2,CD8,7.19546238191868e-06,3.59773119095934e-05,****,1.38147095378236
BAFF-R,CTV3,CD8,7.19546238191868e-06,3.59773119095934e-05,****,1.32613805889957
BCMA,CTV1,CD8,0.500803516332543,0.607034565251567,ns,0.555849431291978
BCMA,baseline,CD8,0.500803516332543,0.607034565251567,ns,0
BCMA,CTV2,CD8,0.500803516332543,0.607034565251567,ns,0.306662786584228
BCMA,CTV3,CD8,0.500803516332543,0.607034565251567,ns,0.339217863032057
BTLA,CTV1,CD8,0.0363582036096869,0.0661058247448853,ns,0.0951563200918485
BTLA,baseline,CD8,0.0363582036096869,0.0661058247448853,ns,0
BTLA,CTV2,CD8,0.0363582036096869,0.0661058247448853,ns,-0.621294880251901
BTLA,CTV3,CD8,0.0363582036096869,0.0661058247448853,ns,-0.45162584924054
CD2,CTV1,CD8,6.36895251501606e-06,3.59773119095934e-05,****,0.480549818451317
CD2,baseline,CD8,6.36895251501606e-06,3.59773119095934e-05,****,0
CD2,CTV2,CD8,6.36895251501606e-06,3.59773119095934e-05,****,0.696201903727269
CD2,CTV3,CD8,6.36895251501606e-06,3.59773119095934e-05,****,0.910899167252304
CD200R,CTV1,CD8,0.00327867714400229,0.00819669286000572,**,0.0742319193153988
CD200R,baseline,CD8,0.00327867714400229,0.00819669286000572,**,0
CD200R,CTV2,CD8,0.00327867714400229,0.00819669286000572,**,-0.420523017221257
CD200R,CTV3,CD8,0.00327867714400229,0.00819669286000572,**,-0.38060997375213
CD244,CTV1,CD8,1.19397418573187e-05,5.30655193658609e-05,****,0.749324119917384
CD244,baseline,CD8,1.19397418573187e-05,5.30655193658609e-05,****,0
CD244,CTV2,CD8,1.19397418573187e-05,5.30655193658609e-05,****,0.578083783519962
CD244,CTV3,CD8,1.19397418573187e-05,5.30655193658609e-05,****,0.704892693931142
CD300a,CTV1,CD8,0.359529480711781,0.46390900737004,ns,0.0973890628448533
CD300a,baseline,CD8,0.359529480711781,0.46390900737004,ns,0
CD300a,CTV2,CD8,0.359529480711781,0.46390900737004,ns,-0.411145633171289
CD300a,CTV3,CD8,0.359529480711781,0.46390900737004,ns,-0.161598553764915
CD300f,CTV1,CD8,0.00628336867534049,0.0147843968831541,*,-0.066828153997961
CD300f,baseline,CD8,0.00628336867534049,0.0147843968831541,*,0
CD300f,CTV2,CD8,0.00628336867534049,0.0147843968831541,*,-1.03048010686412
CD300f,CTV3,CD8,0.00628336867534049,0.0147843968831541,*,-0.943796311891926
CD40,CTV1,CD8,5.10224106551673e-05,0.000185536038746063,***,0.104007261633113
CD40,baseline,CD8,5.10224106551673e-05,0.000185536038746063,***,0
CD40,CTV2,CD8,5.10224106551673e-05,0.000185536038746063,***,0.537630296584042
CD40,CTV3,CD8,5.10224106551673e-05,0.000185536038746063,***,0.717134378095238
CD7,CTV1,CD8,0.213584868861165,0.294599819118848,ns,-0.138658528815593
CD7,baseline,CD8,0.213584868861165,0.294599819118848,ns,0
CD7,CTV2,CD8,0.213584868861165,0.294599819118848,ns,-0.125493805636758
CD7,CTV3,CD8,0.213584868861165,0.294599819118848,ns,-0.233430023558246
CD72,CTV1,CD8,0.0552742673353921,0.0921237788923202,ns,-0.241076031962307
CD72,baseline,CD8,0.0552742673353921,0.0921237788923202,ns,0
CD72,CTV2,CD8,0.0552742673353921,0.0921237788923202,ns,-0.666782825483807
CD72,CTV3,CD8,0.0552742673353921,0.0921237788923202,ns,-0.815852562503757
CD96,CTV1,CD8,0.0271405030617877,0.0516961963081671,ns,-0.273812246730681
CD96,baseline,CD8,0.0271405030617877,0.0516961963081671,ns,0
CD96,CTV2,CD8,0.0271405030617877,0.0516961963081671,ns,-0.924223896249252
CD96,CTV3,CD8,0.0271405030617877,0.0516961963081671,ns,-0.94352214103141
CRACC,CTV1,CD8,0.979198248495019,0.981468070861262,ns,0.0851991015102392
CRACC,baseline,CD8,0.979198248495019,0.981468070861262,ns,0
CRACC,CTV2,CD8,0.979198248495019,0.981468070861262,ns,-0.665344310312153
CRACC,CTV3,CD8,0.979198248495019,0.981468070861262,ns,-0.415820742868943
CRTAM,CTV1,CD8,0.174881996365236,0.249831423378909,ns,0.179460745908871
CRTAM,baseline,CD8,0.174881996365236,0.249831423378909,ns,0
CRTAM,CTV2,CD8,0.174881996365236,0.249831423378909,ns,-0.239800940398936
CRTAM,CTV3,CD8,0.174881996365236,0.249831423378909,ns,0.0174464524341283
CTLA4,CTV1,CD8,0.108208436369012,0.173133498190419,ns,-0.207874182553908
CTLA4,baseline,CD8,0.108208436369012,0.173133498190419,ns,0
CTLA4,CTV2,CD8,0.108208436369012,0.173133498190419,ns,-0.219455274341626
CTLA4,CTV3,CD8,0.108208436369012,0.173133498190419,ns,-0.24409840397982
CXADR,CTV1,CD8,0.00154916203706738,0.00476665242174579,**,0.541562749044431
CXADR,baseline,CD8,0.00154916203706738,0.00476665242174579,**,0
CXADR,CTV2,CD8,0.00154916203706738,0.00476665242174579,**,0.111506667574678
CXADR,CTV3,CD8,0.00154916203706738,0.00476665242174579,**,0.271429452657104
DC-SIGN,CTV1,CD8,6.50734294059117e-07,5.98979724056823e-06,****,-0.496332556327379
DC-SIGN,baseline,CD8,6.50734294059117e-07,5.98979724056823e-06,****,0
DC-SIGN,CTV2,CD8,6.50734294059117e-07,5.98979724056823e-06,****,-1.07070773017795
DC-SIGN,CTV3,CD8,6.50734294059117e-07,5.98979724056823e-06,****,-1.29190395078324
HAVCR2,CTV1,CD8,0.612489045739348,0.720575347928645,ns,0.0340499504890958
HAVCR2,baseline,CD8,0.612489045739348,0.720575347928645,ns,0
HAVCR2,CTV2,CD8,0.612489045739348,0.720575347928645,ns,-0.635543209808657
HAVCR2,CTV3,CD8,0.612489045739348,0.720575347928645,ns,-0.773782065270065
ICOS,CTV1,CD8,0.00304691197048412,0.00812509858795765,**,-0.476081980784208
ICOS,baseline,CD8,0.00304691197048412,0.00812509858795765,**,0
ICOS,CTV2,CD8,0.00304691197048412,0.00812509858795765,**,-0.921735009381262
ICOS,CTV3,CD8,0.00304691197048412,0.00812509858795765,**,-1.10322509882213
ILT2,CTV1,CD8,0.640070669068331,0.731509336078093,ns,0.00219842148989944
ILT2,baseline,CD8,0.640070669068331,0.731509336078093,ns,0
ILT2,CTV2,CD8,0.640070669068331,0.731509336078093,ns,-0.470377842287258
ILT2,CTV3,CD8,0.640070669068331,0.731509336078093,ns,-0.679272577137059
ILT3,CTV1,CD8,0.673874294481804,0.748749216090893,ns,0.265620287492145
ILT3,baseline,CD8,0.673874294481804,0.748749216090893,ns,0
ILT3,CTV2,CD8,0.673874294481804,0.748749216090893,ns,-0.207364697574557
ILT3,CTV3,CD8,0.673874294481804,0.748749216090893,ns,-0.30377418321905
ILT4,CTV1,CD8,0.418064965487194,0.522581206858993,ns,0.397487448663024
ILT4,baseline,CD8,0.418064965487194,0.522581206858993,ns,0
ILT4,CTV2,CD8,0.418064965487194,0.522581206858993,ns,-0.151285210626594
ILT4,CTV3,CD8,0.418064965487194,0.522581206858993,ns,-0.228021302300227
KIR2DL1,CTV1,CD8,0.864776282275001,0.910290823447369,ns,0.107686031306462
KIR2DL1,baseline,CD8,0.864776282275001,0.910290823447369,ns,0
KIR2DL1,CTV2,CD8,0.864776282275001,0.910290823447369,ns,-0.424319504804133
KIR2DL1,CTV3,CD8,0.864776282275001,0.910290823447369,ns,-0.350054074554149
KIR3DL1,CTV1,CD8,0.716419390433474,0.774507449117269,ns,-0.0869416171430053
KIR3DL1,baseline,CD8,0.716419390433474,0.774507449117269,ns,0
KIR3DL1,CTV2,CD8,0.716419390433474,0.774507449117269,ns,-0.532721633719972
KIR3DL1,CTV3,CD8,0.716419390433474,0.774507449117269,ns,-0.497712443106178
KLRG1,CTV1,CD8,0.000109075265205164,0.000363584217350547,***,-0.459181957637271
KLRG1,baseline,CD8,0.000109075265205164,0.000363584217350547,***,0
KLRG1,CTV2,CD8,0.000109075265205164,0.000363584217350547,***,-1.20894981741317
