# abund_4v8 data: Fig 2D
Domain Name,Cytokine Sort Group (IL2/IFNg/both),Mean Log2 fold change for CD4/CD8,CD4 log2 fold change,CD8 log2 fold change
4-1BB,"Initial Proliferation
(d0-d3/d4)",0.764295862304042,0.211638664770882,1.3169530598372
4-1BB,"Relative Expansion
(d0-d16)",0.478563069389517,0.379534268367744,0.57759187041129
4-1BB,"Relative Expansion,
(d0-d24)",0.742126851833606,1.31399836598999,0.170255337677225
BAFF-R,"Initial Proliferation
(d0-d3/d4)",1.06352480484084,0.716357405481755,1.41069220419993
BAFF-R,"Relative Expansion
(d0-d16)",1.39471832282213,1.44535840989811,1.34407823574615
BAFF-R,"Relative Expansion,
(d0-d24)",0.456085813289292,0.383367369694435,0.528804256884149
BCMA,"Initial Proliferation
(d0-d3/d4)",0.159285402933375,0.225985756463557,0.0925850494031933
BCMA,"Relative Expansion
(d0-d16)",0.715981639173793,0.799597230922418,0.632366047425169
BCMA,"Relative Expansion,
(d0-d24)",0.494075151887291,0.542186529185956,0.445963774588626
BTLA,"Initial Proliferation
(d0-d3/d4)",-1.00328095231427,-0.580781392811846,-1.42578051181669
BTLA,"Relative Expansion
(d0-d16)",0.36208348833043,0.413701880688294,0.310465095972565
BTLA,"Relative Expansion,
(d0-d24)",0.445826796729004,0.545492425065355,0.346161168392652
CD2,"Initial Proliferation
(d0-d3/d4)",0.52505847154727,0.697489540263887,0.352627402830654
CD2,"Relative Expansion
(d0-d16)",1.14880113675308,0.582438313524453,1.71516395998171
CD2,"Relative Expansion,
(d0-d24)",1.00600965005805,0.170831329056641,1.84118797105946
CD200R,"Initial Proliferation
(d0-d3/d4)",0.792229298985835,0.389577116981352,1.19488148099032
CD200R,"Relative Expansion
(d0-d16)",-0.0164886400217385,0.0386699694921507,-0.0716472495356276
CD200R,"Relative Expansion,
(d0-d24)",-0.229319000528004,-0.138902624176069,-0.319735376879939
CD244,"Initial Proliferation
(d0-d3/d4)",-0.092097765952043,0.257565841895552,-0.441761373799639
CD244,"Relative Expansion
(d0-d16)",0.610508278081049,0.240963412045003,0.980053144117095
CD244,"Relative Expansion,
(d0-d24)",0.712126850362009,0.249772722326585,1.17448097839743
CD28,"Initial Proliferation
(d0-d3/d4)",1.186637177599,0.532546593620928,1.84072776157707
CD28,"Relative Expansion
(d0-d16)",0.17726709714728,0.178642675386744,0.175891518907816
CD28,"Relative Expansion,
(d0-d24)",0.0485031682793746,0.111921451017229,-0.01491511445848
CD30,"Initial Proliferation
(d0-d3/d4)",-0.756211216453605,-0.873947864797392,-0.638474568109817
CD30,"Relative Expansion
(d0-d16)",2.79387614071529,2.90745256809543,2.68029971333515
CD30,"Relative Expansion,
(d0-d24)",1.95439038875611,2.66297497829164,1.24580579922057
CD300a,"Initial Proliferation
(d0-d3/d4)",-1.27199104022616,-1.12909080520131,-1.414891275251
CD300a,"Relative Expansion
(d0-d16)",0.0804189336303264,0.103339259632368,0.0574986076282852
CD300a,"Relative Expansion,
(d0-d24)",0.0707272790969646,-0.138260421270253,0.279714979464183
CD300f,"Initial Proliferation
(d0-d3/d4)",-1.12118891333652,-1.04980100568291,-1.19257682099013
CD300f,"Relative Expansion
(d0-d16)",-0.255837469734952,-0.141630347541547,-0.370044591928357
CD300f,"Relative Expansion,
(d0-d24)",-0.114532370848265,-0.104292447702874,-0.124772293993657
CD40,"Initial Proliferation
(d0-d3/d4)",0.314621843827381,0.0467736679661656,0.582470019688597
CD40,"Relative Expansion
(d0-d16)",1.58588945595614,2.41870198625408,0.753076925658207
