# z-score heatmap data: Fig 3A
Domain Name,Assay Name,T Cell Type,K562 Condition,Z-score,Internal name for measurement z-score,Adjusted P-value
4-1BB,CTV1,CD4,pos,0.252958014509967,AB.D,0.670912371731779
BAFF-R,CTV1,CD4,pos,1.41712496721476,AB.D,5.12840757446741e-08
BCMA,CTV1,CD4,pos,0.697876299318457,AB.D,0.0392239115549625
BTLA,CTV1,CD4,pos,-0.571347475767985,AB.D,0.0191606877937771
CD2,CTV1,CD4,pos,1.55922477078742,AB.D,1.10288160077813e-06
CD200R,CTV1,CD4,pos,0.604621608208807,AB.D,0.0532024718062371
CD244,CTV1,CD4,pos,0.863355162887398,AB.D,0.0103088227851422
CD28,CTV1,CD4,pos,0.656133856339853,AB.D,0.0588590764632801
CD300a,CTV1,CD4,pos,-1.02801964499589,AB.D,0.000675574943608067
CD300f,CTV1,CD4,pos,-0.899616464019454,AB.D,0.000656624563949828
CD40,CTV1,CD4,pos,0.322134271668962,AB.D,0.320032934691811
CD7,CTV1,CD4,pos,0.689426440176461,AB.D,0.0473281219331857
CD72,CTV1,CD4,pos,-1.35451126185795,AB.D,1.61460940477346e-05
CD96,CTV1,CD4,pos,0.0458424923283017,AB.D,0.796177773471542
CRACC,CTV1,CD4,pos,0.0659523854509384,AB.D,0.85673479066066
CRTAM,CTV1,CD4,pos,0.466959321435932,AB.D,0.160630718216284
CTLA4,CTV1,CD4,pos,0.120822697414889,AB.D,0.996258494254588
CXADR,CTV1,CD4,pos,0.654777022231946,AB.D,0.0392239115549625
DC-SIGN,CTV1,CD4,pos,-1.07852257254102,AB.D,0.000105605857841768
GITR,CTV1,CD4,pos,-0.559653062617131,AB.D,0.0830429488045534
TIM1,CTV1,CD4,pos,-1.10884882214408,AB.D,2.14252893726903e-06
HAVCR2,CTV1,CD4,pos,0.313294794079843,AB.D,0.484936420669839
ICOS,CTV1,CD4,pos,0.146227865315326,AB.D,0.938674769091426
ILT2,CTV1,CD4,pos,-1.15884890940138,AB.D,0.00188937832772941
ILT3,CTV1,CD4,pos,-1.41599453660424,AB.D,0.000395446840245201
ILT4,CTV1,CD4,pos,-0.0562368515709524,AB.D,0.619363530494577
KIR2DL1,CTV1,CD4,pos,-0.218292432569446,AB.D,0.143828180572559
KIR3DL1,CTV1,CD4,pos,-1.07314026742946,AB.D,1.29824110693e-05
KLRG1,CTV1,CD4,pos,-1.61597916667574,AB.D,1.61460940477346e-05
LAG3,CTV1,CD4,pos,0.248545894369669,AB.D,0.637235377864749
LAIR1,CTV1,CD4,pos,-1.13956062829608,AB.D,0.000105605857841768
NKG2D,CTV1,CD4,pos,-0.535274994669242,AB.D,0.00834576840205585
NKR-P1A,CTV1,CD4,pos,-1.86113749262209,AB.D,8.52076451467955e-11
NTB-A,CTV1,CD4,pos,1.46118191078788,AB.D,1.39839719967234e-08
PD1,CTV1,CD4,pos,0.81616439890462,AB.D,0.00362104574307554
Siglec-3,CTV1,CD4,pos,0.388883975896598,AB.D,0.244619432727903
TACI,CTV1,CD4,pos,2.25256247866127,AB.D,3.74097448413641e-12
TIGIT,CTV1,CD4,pos,0.914952414883204,AB.D,0.000395446840245201
