"# Domain abundance data: Fig 2C, 3C, S3D"
Domain Name,"Sort Group (Subset, Sort, Donor, Replicate)",Donor Name,T Cell Type,K562 Condition,Number of inferred cells for Domain,CAR abundance relative to baseline,Days of expansion,Adjusted p-value
4-1BB,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,61366,0.910413757499051,3,0.000196375634860501
4-1BB,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,247698,0.910413757499051,3,0.000196375634860501
4-1BB,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,20594,0.883720476831679,16,0.000196375634860501
4-1BB,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,9608,1.00857580034859,24,0.000196375634860501
4-1BB,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,694982,0.910413757499051,3,0.000196375634860501
4-1BB,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,108590,0.883720476831679,16,0.000196375634860501
4-1BB,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,68455,1.00857580034859,24,0.000196375634860501
4-1BB,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,486438,0.910413757499051,3,0.000196375634860501
4-1BB,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,695906,0.883720476831679,16,0.000196375634860501
4-1BB,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,225958,1.00857580034859,24,0.000196375634860501
4-1BB,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,9218,0.84463338958787,16,0.000196375634860501
4-1BB,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,120793,0.84463338958787,16,0.000196375634860501
4-1BB,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,28188,0.845176807623025,24,0.000196375634860501
4-1BB,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,782055,0.84463338958787,16,0.000196375634860501
4-1BB,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,381486,0.845176807623025,24,0.000196375634860501
4-1BB,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,1324486,0.84463338958787,16,0.000196375634860501
4-1BB,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,1325165,0.845176807623025,24,0.000196375634860501
4-1BB,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,14664,1.29480836812322,4,0.000196375634860501
4-1BB,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,14664,1.68488596913153,14,0.000196375634860501
4-1BB,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,30082,1.06920678008819,3,0.000196375634860501
4-1BB,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,95426,1.29480836812322,4,0.000196375634860501
4-1BB,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,95426,1.68488596913153,14,0.000196375634860501
4-1BB,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,117707,1.06920678008819,3,0.000196375634860501
4-1BB,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,136970,1.29480836812322,4,0.000196375634860501
4-1BB,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,136970,1.68488596913153,14,0.000196375634860501
4-1BB,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,263644,1.06920678008819,3,0.000196375634860501
4-1BB,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,598187,1.29480836812322,4,0.000196375634860501
4-1BB,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,598187,1.68488596913153,14,0.000196375634860501
4-1BB,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,213141,1.06920678008819,3,0.000196375634860501
4-1BB,prolif1_d2_24d_CTV3_CD4_neg,d2,CD4,neg,5363,1.29634149351319,24,0.000196375634860501
4-1BB,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,93821,1.29934094888852,4,0.000196375634860501
4-1BB,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,6037,0.986404571441543,4,0.000196375634860501
4-1BB,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,250650,1.29934094888852,4,0.000196375634860501
4-1BB,prolif1_d2_14d_CTV2_CD8_neg,d2,CD8,neg,18840,0.893554993124135,14,0.000196375634860501
4-1BB,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,103629,0.986404571441543,4,0.000196375634860501
4-1BB,prolif2_d2_16d_CTV2_CD8_neg,d2,CD8,neg,44487,0.838558042304545,16,0.000196375634860501
4-1BB,prolif2_d2_24d_CTV3_CD8_neg,d2,CD8,neg,14361,0.75787855172948,24,0.000196375634860501
4-1BB,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,217025,1.29934094888852,4,0.000196375634860501
4-1BB,prolif1_d2_14d_CTV2_CD8_neg,d2,CD8,neg,88934,0.893554993124135,14,0.000196375634860501
4-1BB,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,1423971,0.986404571441543,4,0.000196375634860501
4-1BB,prolif1_d2_24d_CTV3_CD8_neg,d2,CD8,neg,7847,0.873235801715137,24,0.000196375634860501
4-1BB,prolif2_d2_16d_CTV2_CD8_neg,d2,CD8,neg,687983,0.838558042304545,16,0.000196375634860501
4-1BB,prolif2_d2_24d_CTV3_CD8_neg,d2,CD8,neg,168368,0.75787855172948,24,0.000196375634860501
4-1BB,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,331861,1.29934094888852,4,0.000196375634860501
4-1BB,prolif1_d2_14d_CTV2_CD8_neg,d2,CD8,neg,498262,0.893554993124135,14,0.000196375634860501
4-1BB,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,1270960,0.986404571441543,4,0.000196375634860501
4-1BB,prolif1_d2_24d_CTV3_CD8_neg,d2,CD8,neg,24324,0.873235801715137,24,0.000196375634860501
4-1BB,prolif2_d2_16d_CTV2_CD8_neg,d2,CD8,neg,1318836,0.838558042304545,16,0.000196375634860501
4-1BB,prolif2_d2_24d_CTV3_CD8_neg,d2,CD8,neg,1238524,0.75787855172948,24,0.000196375634860501
BAFF-R,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,61366,1.21940299859405,3,1.62805588382237e-06
BAFF-R,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,247698,1.21940299859405,3,1.62805588382237e-06
BAFF-R,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,20594,1.82703669837839,16,1.62805588382237e-06
BAFF-R,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,9608,1.7705460025494,24,1.62805588382237e-06
BAFF-R,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,694982,1.21940299859405,3,1.62805588382237e-06
BAFF-R,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,108590,1.82703669837839,16,1.62805588382237e-06
BAFF-R,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,68455,1.7705460025494,24,1.62805588382237e-06
BAFF-R,prolif2_d1_3d_CTV1_CD4_neg,d1,CD4,neg,486438,1.21940299859405,3,1.62805588382237e-06
BAFF-R,prolif2_d1_16d_CTV2_CD4_neg,d1,CD4,neg,695906,1.82703669837839,16,1.62805588382237e-06
BAFF-R,prolif2_d1_24d_CTV3_CD4_neg,d1,CD4,neg,225958,1.7705460025494,24,1.62805588382237e-06
BAFF-R,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,9218,1.97179686108011,16,1.62805588382237e-06
BAFF-R,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,120793,1.97179686108011,16,1.62805588382237e-06
BAFF-R,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,28188,2.04768943015283,24,1.62805588382237e-06
BAFF-R,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,782055,1.97179686108011,16,1.62805588382237e-06
BAFF-R,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,381486,2.04768943015283,24,1.62805588382237e-06
BAFF-R,prolif2_d1_16d_CTV2_CD8_neg,d1,CD8,neg,1324486,1.97179686108011,16,1.62805588382237e-06
BAFF-R,prolif2_d1_24d_CTV3_CD8_neg,d1,CD8,neg,1325165,2.04768943015283,24,1.62805588382237e-06
BAFF-R,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,14664,1.16860222804992,4,1.62805588382237e-06
BAFF-R,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,14664,1.13968223382858,14,1.62805588382237e-06
BAFF-R,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,30082,1.02736918186766,3,1.62805588382237e-06
BAFF-R,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,95426,1.16860222804992,4,1.62805588382237e-06
BAFF-R,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,95426,1.13968223382858,14,1.62805588382237e-06
BAFF-R,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,117707,1.02736918186766,3,1.62805588382237e-06
BAFF-R,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,136970,1.16860222804992,4,1.62805588382237e-06
BAFF-R,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,136970,1.13968223382858,14,1.62805588382237e-06
BAFF-R,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,263644,1.02736918186766,3,1.62805588382237e-06
BAFF-R,prolif1_d2_4d_CTV1_CD4_neg,d2,CD4,neg,598187,1.16860222804992,4,1.62805588382237e-06
BAFF-R,prolif1_d2_14d_CTV2_CD4_neg,d2,CD4,neg,598187,1.13968223382858,14,1.62805588382237e-06
BAFF-R,prolif2_d2_3d_CTV1_CD4_neg,d2,CD4,neg,213141,1.02736918186766,3,1.62805588382237e-06
BAFF-R,prolif1_d2_24d_CTV3_CD4_neg,d2,CD4,neg,5363,1.63047155615251,24,1.62805588382237e-06
BAFF-R,prolif1_d2_4d_CTV1_CD8_neg,d2,CD8,neg,93821,1.364922312966,4,1.62805588382237e-06
BAFF-R,prolif2_d2_4d_CTV1_CD8_neg,d2,CD8,neg,6037,1.45010649093758,4,1.62805588382237e-06
