# CTV arrayed data: Fig 4B
Domain Name,Measurement Day,Measurement,Donor Name,T Cell Type,K562 Condition,MFI Measurement mean,MFI Measurement standard deviation,Mean MFI Measurement relative to Donor/day/k562 mean,SD of MFI Measurement relative to Donor/day/k562 mean
41BB,d14,ctv2_t,1,CD8,cd19+,1095.39625291989,274.186647436574,-269.009903534277,107.721564923787
41BB,d24,ctv2_t,1,CD8,cd19+,1693.33343495261,476.703363355095,26.6205680861145,79.6387762332352
41BB,d33,ctv2_t,1,CD8,cd19+,1560.37529335873,459.608098796955,-37.2210138809685,343.388261516313
41BB,d3,ctv2_t,1,CD8,cd19+,2063.32897241883,283.606755487958,42.3971976654,23.348059167528
41BB,d14,ctv2_t,2,CD8,cd19+,1362.89929594018,413.715505197233,-269.009903534277,107.721564923787
41BB,d24,ctv2_t,2,CD8,cd19+,1610.59387163571,416.868962330468,26.6205680861145,79.6387762332352
41BB,d33,ctv2_t,2,CD8,cd19+,1967.39944627091,445.653785327121,-37.2210138809685,343.388261516313
41BB,d3,ctv2_t,2,CD8,cd19+,1981.90616214967,297.865673395747,42.3971976654,23.348059167528
BAFF-R,d14,ctv2_t,1,CD8,cd19+,1278.20237465425,340.502776948997,-133.282668343998,41.1419650717125
BAFF-R,d24,ctv2_t,1,CD8,cd19+,1745.49529801283,491.085052684961,34.9482008792451,17.6478132933311
BAFF-R,d33,ctv2_t,1,CD8,cd19+,1658.43383219619,510.25987990969,-156.816819913141,35.5785350922477
BAFF-R,d3,ctv2_t,1,CD8,cd19+,1974.35525895314,350.901271239759,-30.7368207564809,45.7487707223377
BAFF-R,d14,ctv2_t,2,CD8,cd19+,1451.54764458637,401.048311129484,-133.282668343998,41.1419650717125
BAFF-R,d24,ctv2_t,2,CD8,cd19+,1575.08727416175,456.074325706432,34.9482008792451,17.6478132933311
BAFF-R,d33,ctv2_t,2,CD8,cd19+,1630.1492953691,464.412124945953,-156.816819913141,35.5785350922477
BAFF-R,d3,ctv2_t,2,CD8,cd19+,1924.6118387716,389.942294307385,-30.7368207564809,45.7487707223377
CD28,d14,ctv2_t,1,CD8,cd19+,1410.74830505018,407.135690688555,12.1137608682988,59.3153147810886
CD28,d24,ctv2_t,1,CD8,cd19+,1665.86363372797,455.319508603877,-113.855481535455,80.1761928825987
CD28,d33,ctv2_t,1,CD8,cd19+,1989.55674834409,522.213114464995,-66.9772691276663,305.647672578315
CD28,d3,ctv2_t,1,CD8,cd19+,2003.52683289905,264.546645683066,-11.5474305766633,31.6318310582297
CD28,d14,ctv2_t,2,CD8,cd19+,1609.79457261504,494.112959895466,12.1137608682988,59.3153147810886
CD28,d24,ctv2_t,2,CD8,cd19+,1357.11157361721,389.039275487818,-113.855481535455,80.1761928825987
CD28,d33,ctv2_t,2,CD8,cd19+,1478.70548079215,426.898847717027,-66.9772691276663,305.647672578315
CD28,d3,ctv2_t,2,CD8,cd19+,1933.81904518532,277.9017552268,-11.5474305766633,31.6318310582297
CD40,d3,ctv2_t,1,CD8,cd19+,1992.03270416871,385.163589658327,-25.3700906727702,28.3387904203461
CD40,d14,ctv2_t,1,CD8,cd19+,1557.70963780109,466.297934754178,94.8972432469998,31.445871619239
CD40,d24,ctv2_t,1,CD8,cd19+,1714.70391581177,523.279584587445,4.32768307039407,17.8894520341295
CD40,d33,ctv2_t,1,CD8,cd19+,1839.57222116786,527.859170485123,-76.1271403021212,106.47739200846
CD40,d14,ctv2_t,2,CD8,cd19+,1628.40020462153,484.978867385012,94.8972432469998,31.445871619239
CD40,d24,ctv2_t,2,CD8,cd19+,1544.63762074511,472.690846630727,4.32768307039407,17.8894520341295
CD40,d33,ctv2_t,2,CD8,cd19+,1610.39026561947,500.289495696398,-76.1271403021212,106.47739200846
CD40,d3,ctv2_t,2,CD8,cd19+,1917.66785372344,419.002391468814,-25.3700906727702,28.3387904203461
KLRG1,d14,ctv2_t,1,CD8,cd19+,1951.33802839144,624.73621921483,322.22553477658,112.465361976235
KLRG1,d24,ctv2_t,1,CD8,cd19+,2796.61888188306,335.323473255788,322.22553477658,117.144104336889
KLRG1,d33,ctv2_t,1,CD8,cd19+,2750.38718972581,162.472866688684,322.22553477658,191.820083326397
KLRG1,d3,ctv2_t,1,CD8,cd19+,2631.33426842767,405.705655181002,322.22553477658,63.4989971785388
KLRG1,d14,ctv2_t,2,CD8,cd19+,1907.44973313246,619.152402277811,322.22553477658,112.465361976235
KLRG1,d24,ctv2_t,2,CD8,cd19+,2435.58630002104,458.930361337844,322.22553477658,117.144104336889
KLRG1,d3,ctv2_t,2,CD8,cd19+,2427.09117322172,406.874948565705,322.22553477658,63.4989971785388
KLRG1,d33,ctv2_t,2,CD8,cd19+,2943.06156941763,375.50643677624,322.22553477658,191.820083326397
TACI,d14,ctv2_t,1,CD8,cd19+,1624.27260089909,465.039661047802,81.7549548404103,144.16611928939
TACI,d24,ctv2_t,1,CD8,cd19+,1643.82811120322,480.133425837099,-37.6248745911321,58.7931001344793
TACI,d3,ctv2_t,1,CD8,cd19+,2048.21233764637,333.172987699518,62.1541010818721,72.666689842249
TACI,d14,ctv2_t,2,CD8,cd19+,1535.55266471035,447.086782763093,81.7549548404103,144.16611928939
TACI,d24,ctv2_t,2,CD8,cd19+,1531.60831003061,440.670776118514,-37.6248745911321,58.7931001344793
TACI,d33,ctv2_t,2,CD8,cd19+,1807.52122348244,534.48639762282,45.7129316286078,
TACI,d3,ctv2_t,2,CD8,cd19+,2036.53660375507,353.845939445352,62.1541010818721,72.666689842249
TNR8,d14,ctv2_t,1,CD8,cd19+,1484.69966510775,477.685505148236,53.4359405665992,13.1706853878904
TNR8,d24,ctv2_t,1,CD8,cd19+,1874.93151981011,477.15221166264,85.5839040908336,93.7929488125757
TNR8,d33,ctv2_t,1,CD8,cd19+,2154.10428262184,469.297016330476,314.285777409593,0.834344035709105
TNR8,d3,ctv2_t,1,CD8,cd19+,2034.48743431861,424.593317455953,-88.1434919313096,120.476260160635
TNR8,d14,ctv2_t,2,CD8,cd19+,1618.48757195407,485.073060156873,53.4359405665992,13.1706853878904
