# CD40 arrayed expansion data: Fig 4D
Measurement type - cells/fold expansion,Measurement Day,Domain Name,Donor Name,Measurement value
cells,3,41BB,1,4550000
cells,6,41BB,1,2840000
cells,9,41BB,1,8870000
cells,12,41BB,1,12700000
cells,15,41BB,1,17100000
cells,18,41BB,1,20500000
cells,21,41BB,1,28800000
cells,24,41BB,1,51700000
cells,27,41BB,1,53300000
expansion,3,41BB,1,1
expansion,6,41BB,1,0.624175824
expansion,9,41BB,1,1.949450549
expansion,12,41BB,1,2.791208791
expansion,15,41BB,1,3.758241758
expansion,18,41BB,1,4.505494505
expansion,21,41BB,1,6.32967033
expansion,24,41BB,1,11.36263736
expansion,27,41BB,1,11.71428571
cells,3,41BB,2,4550000
cells,6,41BB,2,2840000
cells,9,41BB,2,8870000
cells,12,41BB,2,12700000
cells,15,41BB,2,17100000
cells,18,41BB,2,20500000
cells,21,41BB,2,28800000
cells,24,41BB,2,51700000
cells,27,41BB,2,53300000
expansion,3,41BB,2,1
expansion,6,41BB,2,1.193921852
expansion,9,41BB,2,1.16642547
expansion,12,41BB,2,2.619392185
expansion,15,41BB,2,5.513748191
expansion,18,41BB,2,4.529667149
expansion,21,41BB,2,8.856729378
expansion,24,41BB,2,25.18089725
expansion,27,41BB,2,39.65267728
cells,3,BAFF-R,1,29800000
cells,6,BAFF-R,1,9490000
cells,9,BAFF-R,1,12900000
cells,12,BAFF-R,1,7e+06
cells,15,BAFF-R,1,7350000
cells,18,BAFF-R,1,7090000
cells,21,BAFF-R,1,9750
cells,24,BAFF-R,1,
cells,27,BAFF-R,1,
expansion,3,BAFF-R,1,1
expansion,6,BAFF-R,1,0.318456376
expansion,9,BAFF-R,1,0.432885906
expansion,12,BAFF-R,1,0.234899329
expansion,15,BAFF-R,1,0.246644295
expansion,18,BAFF-R,1,0.237919463
expansion,21,BAFF-R,1,0.000327181
expansion,24,BAFF-R,1,0
expansion,27,BAFF-R,1,0
cells,3,BAFF-R,2,29800000
cells,6,BAFF-R,2,9490000
cells,9,BAFF-R,2,12900000
cells,12,BAFF-R,2,7e+06
cells,15,BAFF-R,2,7350000
cells,18,BAFF-R,2,7090000
cells,21,BAFF-R,2,9750
cells,24,BAFF-R,2,
cells,27,BAFF-R,2,
expansion,3,BAFF-R,2,1
expansion,6,BAFF-R,2,1.224657534
expansion,9,BAFF-R,2,3.643835616
expansion,12,BAFF-R,2,5.534246575
expansion,15,BAFF-R,2,11.5890411
expansion,18,BAFF-R,2,21.42465753
expansion,21,BAFF-R,2,44.93150685
expansion,24,BAFF-R,2,317.8082192
expansion,27,BAFF-R,2,312.3287671
cells,3,CD28,1,1520000
cells,6,CD28,1,2320000
cells,9,CD28,1,3860000
cells,12,CD28,1,2550000
cells,15,CD28,1,2490000
cells,18,CD28,1,8310000
cells,21,CD28,1,2480
cells,24,CD28,1,
cells,27,CD28,1,
expansion,3,CD28,1,1
expansion,6,CD28,1,1.526315789
expansion,9,CD28,1,2.539473684
expansion,12,CD28,1,1.677631579
expansion,15,CD28,1,1.638157895
expansion,18,CD28,1,5.467105263
expansion,21,CD28,1,0.001631579
expansion,24,CD28,1,0
expansion,27,CD28,1,0
cells,3,CD28,2,1520000
cells,6,CD28,2,2320000
cells,9,CD28,2,3860000
cells,12,CD28,2,2550000
cells,15,CD28,2,2490000
cells,18,CD28,2,8310000
cells,21,CD28,2,2480
cells,24,CD28,2,
cells,27,CD28,2,
expansion,3,CD28,2,1
expansion,6,CD28,2,1.956349206
expansion,9,CD28,2,1.48015873
expansion,12,CD28,2,1.833333333
expansion,15,CD28,2,1.726190476
expansion,18,CD28,2,3.904761905
expansion,21,CD28,2,6.19047619
expansion,24,CD28,2,20.79365079
expansion,27,CD28,2,23.01587302
cells,3,CD40,1,2820000
cells,6,CD40,1,1.1e+07
cells,9,CD40,1,14600000
cells,12,CD40,1,20700000
cells,15,CD40,1,39900000
cells,18,CD40,1,7.1e+07
cells,21,CD40,1,9.4e+07
cells,24,CD40,1,2.35e+08
cells,27,CD40,1,3.01e+08
expansion,3,CD40,1,1
expansion,6,CD40,1,3.90070922
expansion,9,CD40,1,5.177304965
expansion,12,CD40,1,7.340425532
expansion,15,CD40,1,14.14893617
expansion,18,CD40,1,25.17730496
expansion,21,CD40,1,33.33333333
expansion,24,CD40,1,83.33333333
expansion,27,CD40,1,106.7375887
cells,3,CD40,2,2820000
cells,6,CD40,2,1.1e+07
cells,9,CD40,2,14600000
cells,12,CD40,2,20700000
cells,15,CD40,2,39900000
cells,18,CD40,2,7.1e+07
cells,21,CD40,2,9.4e+07
cells,24,CD40,2,2.35e+08
cells,27,CD40,2,3.01e+08
expansion,3,CD40,2,1
expansion,6,CD40,2,2.091121495
expansion,9,CD40,2,9.112149533
expansion,12,CD40,2,22.19626168
expansion,15,CD40,2,19.25233645
expansion,18,CD40,2,24.53271028
expansion,21,CD40,2,32.94392523
expansion,24,CD40,2,67.28971963
expansion,27,CD40,2,70.09345794
cells,3,KLRG1,1,26200000
cells,6,KLRG1,1,27100000
cells,9,KLRG1,1,30800000
cells,12,KLRG1,1,22100000
cells,15,KLRG1,1,15300000
cells,18,KLRG1,1,15900000
cells,21,KLRG1,1,5270000
cells,24,KLRG1,1,8060000
cells,27,KLRG1,1,3350000
expansion,3,KLRG1,1,1
expansion,6,KLRG1,1,1.034351145
expansion,9,KLRG1,1,1.175572519
expansion,12,KLRG1,1,0.84351145
expansion,15,KLRG1,1,0.583969466
expansion,18,KLRG1,1,0.606870229
expansion,21,KLRG1,1,0.201145038
expansion,24,KLRG1,1,0.307633588
expansion,27,KLRG1,1,0.127862595
cells,3,KLRG1,2,26200000
cells,6,KLRG1,2,27100000
cells,9,KLRG1,2,30800000
cells,12,KLRG1,2,22100000
cells,15,KLRG1,2,15300000
cells,18,KLRG1,2,15900000
cells,21,KLRG1,2,5270000
cells,24,KLRG1,2,8060000
cells,27,KLRG1,2,3350000
expansion,3,KLRG1,2,1
expansion,6,KLRG1,2,2.347692308
expansion,9,KLRG1,2,2.781538462
expansion,12,KLRG1,2,2.292307692
expansion,15,KLRG1,2,1.532307692
expansion,18,KLRG1,2,0.781538462
expansion,21,KLRG1,2,0.353846154
expansion,24,KLRG1,2,0.606153846
expansion,27,KLRG1,2,0.283384615
cells,3,TACI,1,62400000
cells,6,TACI,1,44100000
cells,9,TACI,1,68600000
cells,12,TACI,1,8e+07
cells,15,TACI,1,72200000
cells,18,TACI,1,71600000
cells,21,TACI,1,69200000
cells,24,TACI,1,1.36e+08
cells,27,TACI,1,91600000
expansion,3,TACI,1,1
expansion,6,TACI,1,0.706730769
expansion,9,TACI,1,1.099358974
expansion,12,TACI,1,1.282051282
expansion,15,TACI,1,1.157051282
expansion,18,TACI,1,1.147435897
expansion,21,TACI,1,1.108974359
expansion,24,TACI,1,2.179487179
expansion,27,TACI,1,1.467948718
cells,3,TACI,2,62400000
cells,6,TACI,2,44100000
cells,9,TACI,2,68600000
cells,12,TACI,2,8e+07
cells,15,TACI,2,72200000
cells,18,TACI,2,71600000
cells,21,TACI,2,69200000
cells,24,TACI,2,1.36e+08
cells,27,TACI,2,91600000
expansion,3,TACI,2,1
expansion,6,TACI,2,1.292792793
expansion,9,TACI,2,2.357357357
expansion,12,TACI,2,3.228228228
expansion,15,TACI,2,2.462462462
expansion,18,TACI,2,2.867867868
expansion,21,TACI,2,3.648648649
expansion,24,TACI,2,10.96096096
expansion,27,TACI,2,12.85285285
cells,3,CD30,1,10800000
cells,6,CD30,1,7520000
cells,9,CD30,1,12600000
cells,12,CD30,1,1.7e+07
cells,15,CD30,1,21900000
cells,18,CD30,1,29500000
cells,21,CD30,1,33500000
cells,24,CD30,1,74300000
cells,27,CD30,1,87100000
expansion,3,CD30,1,1
expansion,6,CD30,1,0.696296296
expansion,9,CD30,1,1.166666667
expansion,12,CD30,1,1.574074074
expansion,15,CD30,1,2.027777778
expansion,18,CD30,1,2.731481481
expansion,21,CD30,1,3.101851852
expansion,24,CD30,1,6.87962963
expansion,27,CD30,1,8.064814815
cells,3,CD30,2,10800000
cells,6,CD30,2,7520000
cells,9,CD30,2,12600000
cells,12,CD30,2,1.7e+07
cells,15,CD30,2,21900000
cells,18,CD30,2,29500000
cells,21,CD30,2,33500000
cells,24,CD30,2,74300000
cells,27,CD30,2,87100000
expansion,3,CD30,2,1
