"# Exhaustion marker data: Fig 4F, S4E"
Well,Plate,Day,CAR,T Cell Donor,K562 Condition,T Cell Subset,Number of Positive Exhaustion Markers,Number of T Cells,Fraction of T Cells
A02,1,6,41BB,1,cd19+,cd8,0,391,0.156525220176141
A02,1,6,41BB,1,cd19+,cd8,1,1078,0.431545236188951
A02,1,6,41BB,1,cd19+,cd8,2,858,0.343474779823859
A02,1,6,41BB,1,cd19+,cd8,3,171,0.0684547638110488
A02,1,15,41BB,1,cd19+,cd8,0,232,0.0928
A02,1,15,41BB,1,cd19+,cd8,1,1619,0.6476
A02,1,15,41BB,1,cd19+,cd8,2,601,0.2404
A02,1,15,41BB,1,cd19+,cd8,3,48,0.0192
A03,1,6,41BB,1,cd19+,cd8,0,247,0.0989583333333333
A03,1,6,41BB,1,cd19+,cd8,1,1011,0.405048076923077
A03,1,6,41BB,1,cd19+,cd8,2,969,0.388221153846154
A03,1,6,41BB,1,cd19+,cd8,3,269,0.107772435897436
A03,1,15,41BB,1,cd19+,cd8,0,325,0.13015618742491
A03,1,15,41BB,1,cd19+,cd8,1,1547,0.619543452142571
A03,1,15,41BB,1,cd19+,cd8,2,595,0.238285943131758
A03,1,15,41BB,1,cd19+,cd8,3,30,0.0120144173007609
A07,1,6,41BB,2,cd19+,cd8,0,640,0.256
A07,1,6,41BB,2,cd19+,cd8,1,1202,0.4808
A07,1,6,41BB,2,cd19+,cd8,2,562,0.2248
A07,1,6,41BB,2,cd19+,cd8,3,96,0.0384
A07,1,15,41BB,2,cd19+,cd8,0,502,0.2008
A07,1,15,41BB,2,cd19+,cd8,1,1339,0.5356
A07,1,15,41BB,2,cd19+,cd8,2,601,0.2404
A07,1,15,41BB,2,cd19+,cd8,3,58,0.0232
A08,1,6,41BB,2,cd19+,cd8,0,458,0.18342010412495
A08,1,6,41BB,2,cd19+,cd8,1,1111,0.444933920704846
A08,1,6,41BB,2,cd19+,cd8,2,783,0.31357629154986
A08,1,6,41BB,2,cd19+,cd8,3,145,0.0580696836203444
A08,1,15,41BB,2,cd19+,cd8,0,399,0.1596
A08,1,15,41BB,2,cd19+,cd8,1,1432,0.5728
A08,1,15,41BB,2,cd19+,cd8,2,612,0.2448
A08,1,15,41BB,2,cd19+,cd8,3,57,0.0228
A09,1,6,41BB,2,cd19+,cd8,0,494,0.197679071628651
A09,1,6,41BB,2,cd19+,cd8,1,1015,0.406162464985994
A09,1,6,41BB,2,cd19+,cd8,2,766,0.306522609043617
A09,1,6,41BB,2,cd19+,cd8,3,224,0.0896358543417367
A09,1,15,41BB,2,cd19+,cd8,0,520,0.208
A09,1,15,41BB,2,cd19+,cd8,1,1351,0.5404
A09,1,15,41BB,2,cd19+,cd8,2,572,0.2288
A09,1,15,41BB,2,cd19+,cd8,3,57,0.0228
B02,1,6,BAFF-R,1,cd19+,cd8,0,1402,0.5608
B02,1,6,BAFF-R,1,cd19+,cd8,1,917,0.3668
B02,1,6,BAFF-R,1,cd19+,cd8,2,173,0.0692
B02,1,6,BAFF-R,1,cd19+,cd8,3,8,0.0032
B02,1,15,BAFF-R,1,cd19+,cd8,0,479,0.1916
B02,1,15,BAFF-R,1,cd19+,cd8,1,1495,0.598
B02,1,15,BAFF-R,1,cd19+,cd8,2,506,0.2024
B02,1,15,BAFF-R,1,cd19+,cd8,3,20,0.008
B03,1,6,BAFF-R,1,cd19+,cd8,0,1445,0.578926282051282
B03,1,6,BAFF-R,1,cd19+,cd8,1,895,0.358573717948718
B03,1,6,BAFF-R,1,cd19+,cd8,2,147,0.0588942307692308
B03,1,6,BAFF-R,1,cd19+,cd8,3,9,0.00360576923076923
B03,1,15,BAFF-R,1,cd19+,cd8,0,564,0.2256
B03,1,15,BAFF-R,1,cd19+,cd8,1,1394,0.5576
B03,1,15,BAFF-R,1,cd19+,cd8,2,522,0.2088
B03,1,15,BAFF-R,1,cd19+,cd8,3,20,0.008
B07,1,6,BAFF-R,2,cd19+,cd8,0,1014,0.406087304765719
B07,1,6,BAFF-R,2,cd19+,cd8,1,1192,0.4773728474169
B07,1,6,BAFF-R,2,cd19+,cd8,2,279,0.111734080897077
B07,1,6,BAFF-R,2,cd19+,cd8,3,12,0.00480576692030437
B07,1,15,BAFF-R,2,cd19+,cd8,0,934,0.374198717948718
B07,1,15,BAFF-R,2,cd19+,cd8,1,1199,0.48036858974359
B07,1,15,BAFF-R,2,cd19+,cd8,2,330,0.132211538461538
B07,1,15,BAFF-R,2,cd19+,cd8,3,33,0.0132211538461538
B08,1,6,BAFF-R,2,cd19+,cd8,0,1028,0.4112
B08,1,6,BAFF-R,2,cd19+,cd8,1,1197,0.4788
B08,1,6,BAFF-R,2,cd19+,cd8,2,259,0.1036
B08,1,6,BAFF-R,2,cd19+,cd8,3,16,0.0064
B08,1,15,BAFF-R,2,cd19+,cd8,0,980,0.392
B08,1,15,BAFF-R,2,cd19+,cd8,1,1156,0.4624
B08,1,15,BAFF-R,2,cd19+,cd8,2,346,0.1384
B08,1,15,BAFF-R,2,cd19+,cd8,3,18,0.0072
B09,1,6,BAFF-R,2,cd19+,cd8,0,913,0.365785256410256
B09,1,6,BAFF-R,2,cd19+,cd8,1,1259,0.504407051282051
B09,1,6,BAFF-R,2,cd19+,cd8,2,312,0.125
B09,1,6,BAFF-R,2,cd19+,cd8,3,12,0.00480769230769231
B09,1,15,BAFF-R,2,cd19+,cd8,0,960,0.384
B09,1,15,BAFF-R,2,cd19+,cd8,1,1198,0.4792
B09,1,15,BAFF-R,2,cd19+,cd8,2,323,0.1292
B09,1,15,BAFF-R,2,cd19+,cd8,3,19,0.0076
C02,1,6,CD28,1,cd19+,cd8,0,532,0.2128
C02,1,6,CD28,1,cd19+,cd8,1,959,0.3836
C02,1,6,CD28,1,cd19+,cd8,2,789,0.3156
C02,1,6,CD28,1,cd19+,cd8,3,220,0.088
C02,1,15,CD28,1,cd19+,cd8,0,847,0.339071257005605
C02,1,15,CD28,1,cd19+,cd8,1,1024,0.409927942353883
C02,1,15,CD28,1,cd19+,cd8,2,585,0.234187349879904
C02,1,15,CD28,1,cd19+,cd8,3,42,0.0168134507606085
C03,1,6,CD28,1,cd19+,cd8,0,558,0.223468161794153
C03,1,6,CD28,1,cd19+,cd8,1,968,0.387665198237885
C03,1,6,CD28,1,cd19+,cd8,2,752,0.301161393672407
C03,1,6,CD28,1,cd19+,cd8,3,219,0.0877052462955547
C03,1,15,CD28,1,cd19+,cd8,0,957,0.382953181272509
C03,1,15,CD28,1,cd19+,cd8,1,995,0.398159263705482
C03,1,15,CD28,1,cd19+,cd8,2,497,0.198879551820728
C03,1,15,CD28,1,cd19+,cd8,3,50,0.0200080032012805
C07,1,6,CD28,2,cd19+,cd8,0,462,0.184873949579832
C07,1,6,CD28,2,cd19+,cd8,1,931,0.372549019607843
C07,1,6,CD28,2,cd19+,cd8,2,800,0.320128051220488
C07,1,6,CD28,2,cd19+,cd8,3,306,0.122448979591837
C07,1,15,CD28,2,cd19+,cd8,0,656,0.2624
C07,1,15,CD28,2,cd19+,cd8,1,1146,0.4584
C07,1,15,CD28,2,cd19+,cd8,2,628,0.2512
C07,1,15,CD28,2,cd19+,cd8,3,70,0.028
C08,1,6,CD28,2,cd19+,cd8,0,482,0.193108974358974
C08,1,6,CD28,2,cd19+,cd8,1,895,0.358573717948718
C08,1,6,CD28,2,cd19+,cd8,2,841,0.336939102564103
C08,1,6,CD28,2,cd19+,cd8,3,278,0.111378205128205
C08,1,15,CD28,2,cd19+,cd8,0,638,0.255711422845691
C08,1,15,CD28,2,cd19+,cd8,1,1073,0.430060120240481
C08,1,15,CD28,2,cd19+,cd8,2,665,0.266533066132265
C08,1,15,CD28,2,cd19+,cd8,3,119,0.0476953907815631
C09,1,6,CD28,2,cd19+,cd8,0,466,0.186549239391513
C09,1,6,CD28,2,cd19+,cd8,1,935,0.374299439551641
C09,1,6,CD28,2,cd19+,cd8,2,801,0.320656525220176
C09,1,6,CD28,2,cd19+,cd8,3,296,0.118494795836669
C09,1,15,CD28,2,cd19+,cd8,0,677,0.271016813450761
C09,1,15,CD28,2,cd19+,cd8,1,1153,0.461569255404324
C09,1,15,CD28,2,cd19+,cd8,2,603,0.241393114491593
C09,1,15,CD28,2,cd19+,cd8,3,65,0.0260208166533227
F02,1,6,TACI,1,cd19+,cd8,0,1465,0.586704044853825
F02,1,6,TACI,1,cd19+,cd8,1,818,0.327593111734081
F02,1,6,TACI,1,cd19+,cd8,2,204,0.0816980376451742
F02,1,6,TACI,1,cd19+,cd8,3,10,0.0040048057669203
F02,1,15,TACI,1,cd19+,cd8,0,405,0.162194633560272
F02,1,15,TACI,1,cd19+,cd8,1,1164,0.466159391269524
F02,1,15,TACI,1,cd19+,cd8,2,773,0.30957148578294
F02,1,15,TACI,1,cd19+,cd8,3,155,0.0620744893872647
