# CTV arrayed data: Fig 4B
Domain Name,Measurement Day,Measured Cytokine,Donor Number,T Cell Type,K562 Condition,Mean percentage of Cytokine-positive cells,Stdev. of percentage of Cytokine-positive cells,Between-donor mean percentage of Cytokine-positive cells
41BB,1,IFNg,1,CD4,+,10.5733333333333,2.20819685112839,11.9866666666667
41BB,1,IFNg,1,CD4,-,0.783333333333333,0.110151410945722,1.42
41BB,1,IFNg,2,CD4,+,13.4,0.529150262212918,11.9866666666667
41BB,1,IFNg,2,CD4,-,2.05666666666667,0.5844940832321,1.42
BAFFR,1,IFNg,1,CD4,+,7.51,0.961457227337753,7.54333333333333
BAFFR,1,IFNg,1,CD4,-,1.29,0.10816653826392,1.25833333333333
BAFFR,1,IFNg,2,CD4,+,7.57666666666667,0.441852162304693,7.54333333333333
BAFFR,1,IFNg,2,CD4,-,1.22666666666667,0.0635085296108589,1.25833333333333
CD28,1,IFNg,1,CD4,+,12.8,0.600000000000001,12.15
CD28,1,IFNg,1,CD4,-,0.256666666666667,0.0923760430703401,0.243333333333333
CD28,1,IFNg,2,CD4,+,11.5,1.4525839046334,12.15
CD28,1,IFNg,2,CD4,-,0.23,0.0346410161513776,0.243333333333333
CD40,1,IFNg,1,CD4,+,13.7,0.793725393319377,12.7
CD40,1,IFNg,1,CD4,-,3.42,0.141067359796659,2.98833333333333
CD40,1,IFNg,2,CD4,+,11.7,1.17898261225516,12.7
CD40,1,IFNg,2,CD4,-,2.55666666666667,0.256969518296107,2.98833333333333
KLRG1,1,IFNg,1,CD4,+,0.48,0.0871779788708135,0.325
KLRG1,1,IFNg,1,CD4,-,0.413333333333333,0.0208166599946613,0.318333333333333
KLRG1,1,IFNg,2,CD4,+,0.17,0.0264575131106459,0.325
KLRG1,1,IFNg,2,CD4,-,0.223333333333333,0.0305505046330389,0.318333333333333
TACI,1,IFNg,1,CD4,+,5.27666666666667,0.660176744011279,5.31166666666667
TACI,1,IFNg,1,CD4,-,0.306,0.188859736312428,0.261333333333333
TACI,1,IFNg,2,CD4,+,5.34666666666667,0.585348898805946,5.31166666666667
TACI,1,IFNg,2,CD4,-,0.216666666666667,0.00577350269189626,0.261333333333333
TNR8,1,IFNg,1,CD4,+,17.3666666666667,1.17189305541646,17.3166666666667
TNR8,1,IFNg,1,CD4,-,6.22,0.216333076527839,6.985
TNR8,1,IFNg,2,CD4,+,17.2666666666667,0.321455025366432,17.3166666666667
TNR8,1,IFNg,2,CD4,-,7.75,0.521152568831815,6.985
Zeta,1,IFNg,1,CD4,+,5.19,0.781728853247723,4.75833333333333
Zeta,1,IFNg,1,CD4,-,0.296666666666667,0.0472581562625261,0.24
Zeta,1,IFNg,2,CD4,+,4.32666666666667,0.695725041473522,4.75833333333333
Zeta,1,IFNg,2,CD4,-,0.183333333333333,0.0208166599946613,0.24
41BB,1,IL2,1,CD4,+,2.28,0.534509120595711,4.675
41BB,1,IL2,1,CD4,-,0.36,0.0346410161513775,1.16666666666667
41BB,1,IL2,2,CD4,+,7.07,0.1552417469626,4.675
41BB,1,IL2,2,CD4,-,1.97333333333333,0.769696910045333,1.16666666666667
BAFFR,1,IL2,1,CD4,+,1.06666666666667,0.198578280114753,2.02
BAFFR,1,IL2,1,CD4,-,0.456666666666667,0.0472581562625261,0.746666666666667
BAFFR,1,IL2,2,CD4,+,2.97333333333333,0.268390263112009,2.02
BAFFR,1,IL2,2,CD4,-,1.03666666666667,0.0808290376865477,0.746666666666667
CD28,1,IL2,1,CD4,+,6.44666666666667,0.382143079661706,8.09833333333333
CD28,1,IL2,1,CD4,-,0.146666666666667,0.0321455025366432,0.141666666666667
CD28,1,IL2,2,CD4,+,9.75,0.761511654539837,8.09833333333333
CD28,1,IL2,2,CD4,-,0.136666666666667,0.0351188458428425,0.141666666666667
CD40,1,IL2,1,CD4,+,1.61333333333333,0.150111069989303,4.33333333333333
CD40,1,IL2,1,CD4,-,0.453333333333333,0.0929157324317757,0.86
CD40,1,IL2,2,CD4,+,7.05333333333333,1.71266848319613,4.33333333333333
CD40,1,IL2,2,CD4,-,1.26666666666667,0.21007935008785,0.86
KLRG1,1,IL2,1,CD4,+,0.17,0.0264575131106459,0.146666666666667
KLRG1,1,IL2,1,CD4,-,0.17,0.0264575131106459,0.1285
KLRG1,1,IL2,2,CD4,+,0.123333333333333,0.023094010767585,0.146666666666667
KLRG1,1,IL2,2,CD4,-,0.087,0.0720902212508743,0.1285
TACI,1,IL2,1,CD4,+,1.04,0.252388589282479,1.56
TACI,1,IL2,1,CD4,-,0.123333333333333,0.00577350269189626,0.116666666666667
TACI,1,IL2,2,CD4,+,2.08,0.220680764907139,1.56
TACI,1,IL2,2,CD4,-,0.11,0.0173205080756888,0.116666666666667
TNR8,1,IL2,1,CD4,+,1.84666666666667,0.296872587709498,3.44166666666667
TNR8,1,IL2,1,CD4,-,0.686666666666667,0.098657657246325,1.81
TNR8,1,IL2,2,CD4,+,5.03666666666667,0.200333056017557,3.44166666666667
TNR8,1,IL2,2,CD4,-,2.93333333333333,0.132790561913614,1.81
Zeta,1,IL2,1,CD4,+,1.00666666666667,0.208166599946613,1.19833333333333
Zeta,1,IL2,1,CD4,-,0.108666666666667,0.0185022521151706,0.0936666666666667
Zeta,1,IL2,2,CD4,+,1.39,0.0721110255092797,1.19833333333333
Zeta,1,IL2,2,CD4,-,0.0786666666666667,0.0358096821171779,0.0936666666666667
41BB,1,TNFa,1,CD4,+,0.91,0.367559518989782,3.18166666666667
41BB,1,TNFa,1,CD4,-,0.156666666666667,0.0208166599946613,0.52
41BB,1,TNFa,2,CD4,+,5.45333333333333,0.388501394248892,3.18166666666667
41BB,1,TNFa,2,CD4,-,0.883333333333333,0.376342043005207,0.52
BAFFR,1,TNFa,1,CD4,+,1,0.298161030317512,2.82
BAFFR,1,TNFa,1,CD4,-,0.243333333333333,0.0416333199893226,0.705
BAFFR,1,TNFa,2,CD4,+,4.64,0.0900000000000003,2.82
BAFFR,1,TNFa,2,CD4,-,1.16666666666667,0.0838649708360608,0.705
CD28,1,TNFa,1,CD4,+,1.78,0.311929479209644,2.355
CD28,1,TNFa,1,CD4,-,0.063,0.014,0.123166666666667
CD28,1,TNFa,2,CD4,+,2.93,0.409267638593622,2.355
CD28,1,TNFa,2,CD4,-,0.183333333333333,0.0642910050732864,0.123166666666667
CD40,1,TNFa,1,CD4,+,1.43666666666667,0.00577350269189626,3.255
CD40,1,TNFa,1,CD4,-,0.246666666666667,0.0404145188432738,0.798333333333333
CD40,1,TNFa,2,CD4,+,5.07333333333333,0.14571661996263,3.255
CD40,1,TNFa,2,CD4,-,1.35,0.09,0.798333333333333
KLRG1,1,TNFa,1,CD4,+,0.0896666666666667,0.00251661147842359,0.122833333333333
KLRG1,1,TNFa,1,CD4,-,0.081,0.0365102725270574,0.0958333333333333
KLRG1,1,TNFa,2,CD4,+,0.156,0.0561070405564222,0.122833333333333
KLRG1,1,TNFa,2,CD4,-,0.110666666666667,0.0721410655128778,0.0958333333333333
TACI,1,TNFa,1,CD4,+,1.04,0.39585350825779,2
TACI,1,TNFa,1,CD4,-,0.053,0.0487749935930288,0.119833333333333
TACI,1,TNFa,2,CD4,+,2.96,0.115325625946708,2
TACI,1,TNFa,2,CD4,-,0.186666666666667,0.0321455025366432,0.119833333333333
TNR8,1,TNFa,1,CD4,+,3.03333333333333,0.400541300409001,8.13333333333333
TNR8,1,TNFa,1,CD4,-,0.433333333333333,0.0709459888459759,4.00333333333333
TNR8,1,TNFa,2,CD4,+,13.2333333333333,1.86100331362771,8.13333333333333
TNR8,1,TNFa,2,CD4,-,7.57333333333333,0.505206228517953,4.00333333333333
Zeta,1,TNFa,1,CD4,+,0.56,0.252388589282479,0.99
Zeta,1,TNFa,1,CD4,-,0.053,0.00264575131106459,0.0865
Zeta,1,TNFa,2,CD4,+,1.42,0.0854400374531753,0.99
Zeta,1,TNFa,2,CD4,-,0.12,0.0173205080756888,0.0865
41BB,4,IFNg,1,CD4,+,17.7,1.17898261225516,20.5833333333333
41BB,4,IFNg,1,CD4,-,1.43666666666667,0.194250697124446,1.85833333333333
41BB,4,IFNg,2,CD4,+,23.4666666666667,0.550757054728611,20.5833333333333
41BB,4,IFNg,2,CD4,-,2.28,0.0529150262212916,1.85833333333333
BAFFR,4,IFNg,1,CD4,+,14.4333333333333,0.907377172587747,13.1833333333333
BAFFR,4,IFNg,1,CD4,-,1.18333333333333,0.0642910050732863,1.18166666666667
BAFFR,4,IFNg,2,CD4,+,11.9333333333333,0.723417813807024,13.1833333333333
BAFFR,4,IFNg,2,CD4,-,1.18,0.112694276695846,1.18166666666667
CD28,4,IFNg,1,CD4,+,33.6333333333333,4.02533642486356,33.0333333333333
CD28,4,IFNg,1,CD4,-,0.736666666666667,0.151767365837763,0.578333333333333
CD28,4,IFNg,2,CD4,+,32.4333333333333,1.00166528008778,33.0333333333333
CD28,4,IFNg,2,CD4,-,0.42,0.06557438524302,0.578333333333333
CD40,4,IFNg,1,CD4,+,6.32333333333333,0.77693843599949,5.515
CD40,4,IFNg,1,CD4,-,1.94,0.190525588832576,1.71666666666667
CD40,4,IFNg,2,CD4,+,4.70666666666667,0.447697814751572,5.515
CD40,4,IFNg,2,CD4,-,1.49333333333333,0.0208166599946613,1.71666666666667
KLRG1,4,IFNg,1,CD4,+,1.02666666666667,0.118462370959446,0.818333333333333
KLRG1,4,IFNg,1,CD4,-,0.92,0.06,0.581666666666667
KLRG1,4,IFNg,2,CD4,+,0.61,0,0.818333333333333
KLRG1,4,IFNg,2,CD4,-,0.243333333333333,0.0808290376865476,0.581666666666667
TACI,4,IFNg,1,CD4,+,14.4333333333333,1.27410099024109,14.75
TACI,4,IFNg,1,CD4,-,0.63,0.0264575131106459,0.498333333333333
TACI,4,IFNg,2,CD4,+,15.0666666666667,1.70098010962308,14.75
