"# MMS1 Survival Data : Fig 7D, S7E"
day,donor,BB CD28,BB 41BB,BB BAFFR,TRAC
100,1,0,,,
100,1,0,,,
49,1,1,,,
76,1,1,,,
76,1,1,,,
74,1,1,,,
60,1,,1,,
58,1,,1,,
88,1,,1,,
58,1,,1,,
98,1,,1,,
84,1,,1,,
100,1,,,0,
59,1,,,1,
100,1,,,0,
100,1,,,0,
93,1,,,1,
91,1,,,1,
50,1,,,,1
50,1,,,,1
50,1,,,,1
45,1,,,,1
50,1,,,,1
45,1,,,,1
50,1,,,,1
45,1,,,,1
47,2,1,,,
47,2,1,,,
47,2,1,,,
52,2,1,,,
52,2,1,,,
70,2,1,,,
54,2,1,,,
47,2,1,,,
77,2,1,,,
49,2,,1,,
64,2,,1,,
82,2,,1,,
47,2,,1,,
70,2,,1,,
47,2,,,1,
81,2,,,1,
74,2,,,1,
67,2,,,1,
