# Individual Exhaustion data: Fig S1A
Domain Name,Exhaution Marker,Mean Fluorescence Intensity,"Mean Fluorescence Intensity, SEM",Experiment Day,Donor Name
41BB,TIM3,539.925310041337,0.623389809122954,6,Donor 1
41BB,TIM3,465.123092888575,0.752856539138896,15,Donor 1
41BB,TIM3,666.38650894988,1.58036722736792,33,Donor 1
41BB,TIM3,364.371203845836,0.908095868387672,24,Donor 1
41BB,TIM3,456.647068076121,0.546979856028597,6,Donor 2
41BB,TIM3,435.27540168788,0.903518487172385,15,Donor 2
41BB,TIM3,390.553923356046,0.735126137283997,24,Donor 2
41BB,TIM3,614.943408702603,1.1130995388753,33,Donor 2
CD28,TIM3,719.119630902097,1.03945872957489,6,Donor 1
CD28,TIM3,484.569642429486,0.839567683498908,15,Donor 1
CD28,TIM3,,,33,Donor 1
CD28,TIM3,425.460617867804,0.636154026359567,24,Donor 1
CD28,TIM3,664.976866097963,1.07158805828022,6,Donor 2
CD28,TIM3,496.237382682141,0.655107563847476,15,Donor 2
CD28,TIM3,436.101682684361,0.331475069344,24,Donor 2
CD28,TIM3,559.865244671604,1.58879410315674,33,Donor 2
zeta,TIM3,492.965259808796,0.519693875170955,6,Donor 1
zeta,TIM3,525.280519254322,1.67415681059033,15,Donor 1
zeta,TIM3,555.403775948785,1.91819755446496,33,Donor 1
zeta,TIM3,352.167537001334,1.08843993306098,24,Donor 1
zeta,TIM3,448.179153044278,0.451709887601303,6,Donor 2
zeta,TIM3,346.323099368668,0.912770477103087,15,Donor 2
zeta,TIM3,364.891474090612,1.01363000176905,24,Donor 2
zeta,TIM3,484.900259437455,7.06512211225703,33,Donor 2
41BB,LAG3,772.009093793104,1.39719915310856,6,Donor 1
41BB,LAG3,770.875193043232,1.57952995235491,15,Donor 1
41BB,LAG3,741.846197583361,3.42565479341118,33,Donor 1
41BB,LAG3,861.818682381737,3.22055344767214,24,Donor 1
41BB,LAG3,662.722758192879,1.3618294058849,6,Donor 2
41BB,LAG3,711.157497871094,1.84998417602711,15,Donor 2
41BB,LAG3,828.202625496812,2.64922339801737,24,Donor 2
41BB,LAG3,575.013450183212,1.72492644004128,33,Donor 2
CD28,LAG3,649.446582978198,1.77801072433503,6,Donor 1
CD28,LAG3,726.600403353573,1.37985355029831,15,Donor 1
CD28,LAG3,,,33,Donor 1
CD28,LAG3,589.257191278878,1.44624569497863,24,Donor 1
CD28,LAG3,599.85083607543,1.99950302040256,6,Donor 2
CD28,LAG3,584.759202436983,1.03910273821411,15,Donor 2
CD28,LAG3,536.879099967558,0.674707952924453,24,Donor 2
CD28,LAG3,365.159600867792,1.8359530088448,33,Donor 2
zeta,LAG3,680.806197297204,1.32637561604717,6,Donor 1
zeta,LAG3,1290.4194822118,3.52638791097862,15,Donor 1
zeta,LAG3,706.039653044099,3.63543021657732,33,Donor 1
zeta,LAG3,816.883110577365,3.6963457950356,24,Donor 1
zeta,LAG3,627.191961208921,1.24998307372516,6,Donor 2
zeta,LAG3,592.161169494692,2.01647204326497,15,Donor 2
zeta,LAG3,652.186104725618,3.12999235509156,24,Donor 2
zeta,LAG3,656.39501072419,15.2128548606063,33,Donor 2
41BB,PD1,1546.49308032833,1.28805858571162,6,Donor 1
41BB,PD1,1480.56716054204,1.65725739582342,15,Donor 1
41BB,PD1,1954.01137966624,3.54812012860788,33,Donor 1
41BB,PD1,1462.92416095003,2.77535675976596,24,Donor 1
41BB,PD1,1626.75649088705,1.3371414637339,6,Donor 2
41BB,PD1,1481.57479003952,1.84312448102375,15,Donor 2
41BB,PD1,1374.33904375025,2.21334705665934,24,Donor 2
41BB,PD1,1492.95745914996,2.27966475384753,33,Donor 2
CD28,PD1,1949.1835612605,2.05227087648223,6,Donor 1
