# Domain Rank data: Fig S1C
Domain Name,Assay Name,Donor Name,T Cell Type,Experimental Batch,Sorted Cell Group,Rank of Domain within the Sort Group,Mean Rank of the Domain,Mean Rank of the Domain within the Assay
4-1BB,CTV1,A,CD4,prolif2,prolif2_d1_3d_CTV1_CD4_pos,30,30.8076923076923,27
4-1BB,CTV1,A,CD8,prolif2,prolif2_d1_4d_CTV1_CD8_pos,18,30.8076923076923,27
4-1BB,CTV1,B,CD4,prolif1,prolif1_d2_4d_CTV1_CD4_pos,25,30.8076923076923,27
4-1BB,CTV1,C,CD4,prolif2,prolif2_d2_3d_CTV1_CD4_pos,18,30.8076923076923,27
4-1BB,CTV1,B,CD8,prolif1,prolif1_d2_4d_CTV1_CD8_pos,36,30.8076923076923,27
4-1BB,CTV1,C,CD8,prolif2,prolif2_d2_4d_CTV1_CD8_pos,35,30.8076923076923,27
BAFF-R,CTV1,A,CD4,prolif2,prolif2_d1_3d_CTV1_CD4_pos,39,34.7307692307692,37.6666666666667
BAFF-R,CTV1,A,CD8,prolif2,prolif2_d1_4d_CTV1_CD8_pos,38,34.7307692307692,37.6666666666667
BAFF-R,CTV1,B,CD4,prolif1,prolif1_d2_4d_CTV1_CD4_pos,38,34.7307692307692,37.6666666666667
BAFF-R,CTV1,C,CD4,prolif2,prolif2_d2_3d_CTV1_CD4_pos,36,34.7307692307692,37.6666666666667
BAFF-R,CTV1,B,CD8,prolif1,prolif1_d2_4d_CTV1_CD8_pos,39,34.7307692307692,37.6666666666667
BAFF-R,CTV1,C,CD8,prolif2,prolif2_d2_4d_CTV1_CD8_pos,36,34.7307692307692,37.6666666666667
BCMA,CTV1,A,CD4,prolif2,prolif2_d1_3d_CTV1_CD4_pos,25,26.2307692307692,27.1666666666667
BCMA,CTV1,A,CD8,prolif2,prolif2_d1_4d_CTV1_CD8_pos,30,26.2307692307692,27.1666666666667
BCMA,CTV1,B,CD4,prolif1,prolif1_d2_4d_CTV1_CD4_pos,35,26.2307692307692,27.1666666666667
BCMA,CTV1,C,CD4,prolif2,prolif2_d2_3d_CTV1_CD4_pos,28,26.2307692307692,27.1666666666667
BCMA,CTV1,B,CD8,prolif1,prolif1_d2_4d_CTV1_CD8_pos,26,26.2307692307692,27.1666666666667
BCMA,CTV1,C,CD8,prolif2,prolif2_d2_4d_CTV1_CD8_pos,19,26.2307692307692,27.1666666666667
BTLA,CTV1,A,CD4,prolif2,prolif2_d1_3d_CTV1_CD4_pos,11,12.1923076923077,9.83333333333333
BTLA,CTV1,A,CD8,prolif2,prolif2_d1_4d_CTV1_CD8_pos,15,12.1923076923077,9.83333333333333
BTLA,CTV1,B,CD4,prolif1,prolif1_d2_4d_CTV1_CD4_pos,11,12.1923076923077,9.83333333333333
BTLA,CTV1,C,CD4,prolif2,prolif2_d2_3d_CTV1_CD4_pos,14,12.1923076923077,9.83333333333333
BTLA,CTV1,B,CD8,prolif1,prolif1_d2_4d_CTV1_CD8_pos,7,12.1923076923077,9.83333333333333
BTLA,CTV1,C,CD8,prolif2,prolif2_d2_4d_CTV1_CD8_pos,1,12.1923076923077,9.83333333333333
CD2,CTV1,A,CD4,prolif2,prolif2_d1_3d_CTV1_CD4_pos,35,30,34.1666666666667
CD2,CTV1,A,CD8,prolif2,prolif2_d1_4d_CTV1_CD8_pos,37,30,34.1666666666667
CD2,CTV1,B,CD4,prolif1,prolif1_d2_4d_CTV1_CD4_pos,37,30,34.1666666666667
CD2,CTV1,C,CD4,prolif2,prolif2_d2_3d_CTV1_CD4_pos,38,30,34.1666666666667
CD2,CTV1,B,CD8,prolif1,prolif1_d2_4d_CTV1_CD8_pos,31,30,34.1666666666667
CD2,CTV1,C,CD8,prolif2,prolif2_d2_4d_CTV1_CD8_pos,27,30,34.1666666666667
CD200R,CTV1,A,CD4,prolif2,prolif2_d1_3d_CTV1_CD4_pos,34,22.9615384615385,31.6666666666667
CD200R,CTV1,A,CD8,prolif2,prolif2_d1_4d_CTV1_CD8_pos,32,22.9615384615385,31.6666666666667
CD200R,CTV1,B,CD4,prolif1,prolif1_d2_4d_CTV1_CD4_pos,21,22.9615384615385,31.6666666666667
