# Domain Correlation data: Fig S1D
Domain Name,Mean rlog CAR Cell Division Score,Baseline Abundance in Library for Domain,Mean Log2 Relative Abundance for Domain,Domain Length in nucleotides
4-1BB,0.199188176868034,-4.08915939641121,1.10478624257503,126
BAFF-R,0.444915943123546,-5.97137341473098,1.05600435767366,255
BCMA,0.133562642325106,-7.32342182440053,0.338450145219222,321
BTLA,-0.327184939242725,-6.00539025904434,-0.481034141574778,342
CD2,0.318974385882823,-6.567708620789,0.455725545006409,351
CD200R,0.270307412519575,-6.20692424701222,-0.498031039083552,183
CD244,0.0903294728614941,-7.28049214326602,0.370403426107137,360
CD28,0.35089864816219,-3.18963915733622,0.464796254680167,129
CD300a,-0.379449895208206,-7.6424948500108,-0.208234674091467,294
CD300f,-0.336602195191936,-4.6692609079657,-1.04124411811786,339
CD40,0.125300424772767,-4.27194739449878,1.00244901923925,186
CD7,0.280119084923268,-3.56475426646227,-0.461866315981921,120
CD72,-0.468862031804232,-7.46000771682825,-0.685481468695974,285
CD96,-0.0397203438160743,-6.09524581280611,-1.01103158746424,135
CRACC,0.0228121194135137,-6.20954344860149,-0.445024215744988,264
CRTAM,0.110708803343122,-6.36602397482018,-0.0479572422848633,249
CTLA4,0.17280188211592,-3.64010631985215,-0.295512585636081,117
CXADR,0.118911931485525,-6.05001858185849,-0.0122022131079986,321
DC-SIGN,-0.215308083265161,-5.67731004440522,-1.4732867373115,111
HAVCR2,0.0280359533103752,-6.43498953860752,-0.793564222916052,231
ICOS,0.0848989468371149,-3.78575752051187,-0.966866497379506,105
ILT2,-0.318265913888304,-9.57754446529333,-0.972182178298896,504
ILT3,-0.404312314327589,-9.40203524600711,-0.573221235162289,504
ILT4,-0.121430725950499,-7.41228648496594,-0.271592289808414,348
KIR2DL1,-0.0272823172801657,-6.36394012939145,-0.562213566938732,249
KIR3DL1,-0.266643052688039,-6.54707474705333,-0.576186631846633,252
KLRG1,-0.374784546702335,-8.53881755383876,-1.35334527770078,114
LAG3,0.09549151796165,-4.5307028488075,-1.05732126184132,153
LAIR1,-0.388182295482921,-7.36751148565446,-0.749645463382625,303
TIM1,-0.377307216509668,-4.26228242203235,-1.38233424019378,144
NKR-P1A,-0.531340566178581,-4.72273918081195,-1.60825483192264,135
NTB-A,0.458056079986587,-4.4073332366957,0.484527825982478,252
NKG2D,-0.162263030591961,-5.33931051734635,-0.756506268629289,153
PD1,0.240822119000655,-5.35802211471098,-0.0897526172589909,294
Siglec-3,0.10055764903802,-6.18198297284845,-0.499988572576989,246
TACI,0.493286210390856,-6.9615735594392,0.614282879819572,333
TIGIT,0.245181610740272,-4.74048758608007,-0.381169036134587,240
TLT-1,0.352813472188119,-7.76672118903099,-0.0102320490738611,384
GITR,-0.036916163435938,-9.050760934095,-0.787272939796066,162
CD30,-0.15887236744629,-9.34592425227414,1.53504239075659,561
