# Interbin volcano data: Fig S2A
Domain Name,Sort Assay Name,T Cell Type,K562 Condition,Sorted Cell Group,"Log2 Fold Change, Domain Mean",P value after multiple hypothesis correction
BAFF-R,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.716357405481755,0.0052066894312182
BCMA,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.225985756463557,0.371849748183397
BTLA,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-0.580781392811846,0.0110602726382645
CD2,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.697489540263887,0.0145587087338244
CD200R,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.389577116981352,0.0707539555186692
CD244,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.257565841895552,0.331839023116198
CD300a,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-1.12909080520131,0.000129959464647254
CD300f,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-1.04980100568291,1.57964896242847e-06
CD40,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.0467736679661656,0.792452977524762
CD7,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.544102374352825,0.0145587087338244
CD72,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-1.28367006211495,1.13192287669875e-05
CD96,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.0546193307312749,0.792452977524762
CRACC,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-0.0212557708275199,0.905331602563327
CRTAM,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.204279160964398,0.371849748183397
CTLA4,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.187192974193499,0.371849748183397
CXADR,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.216447081159731,0.371849748183397
DC-SIGN,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-0.68918125232429,0.0122458228271083
GITR,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-0.147008665853976,0.604801747608237
TIM1,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-0.789641739285342,0.00126777233551208
HAVCR2,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.105409859770502,0.604801747608237
ICOS,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.16310584959616,0.48070468967406
ILT2,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-1.02841296603752,0.00358220211406346
ILT3,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-1.20470287483776,0.000760719507801223
ILT4,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-0.122876490953867,0.604801747608237
KIR2DL1,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-0.270926661985695,0.208658519454262
KIR3DL1,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-0.889181822004497,0.000760719507801223
KLRG1,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-1.05233281821798,0.00320534271148697
LAG3,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.184440230835529,0.371849748183397
LAIR1,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-1.0950359202006,0.000322483429802836
NKG2D,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-0.34872198301345,0.125867860046342
NKR-P1A,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-0.81549388441701,0.0395228597026589
NTB-A,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.764535234320886,0.00290373262616634
PD1,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.35316067820919,0.125867860046342
Siglec-3,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.212367018844104,0.331839023116198
TACI,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,1.16790330413912,0.000760719507801223
TIGIT,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.540833744889491,0.0110602726382645
TLT-1,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.882449523799161,0.00771054320977853
CD30,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,-0.873947864797392,0.0171687649175212
BAFF-R,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,1.41069220419993,0.00100737351012936
BCMA,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.0925850494031933,0.807462264482895
BTLA,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-1.42578051181669,0.00115391295494877
CD2,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.352627402830654,0.406055369446266
CD200R,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,1.19488148099032,0.00100737351012936
CD244,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-0.441761373799639,0.27739090495158
CD300a,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-1.414891275251,0.000516734357531253
CD300f,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-1.19257682099013,0.00124267360714886
CD40,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.582470019688597,0.0700970775093571
CD7,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,1.13978635849721,0.00276451029290752
CD72,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-1.60538974235962,0.000908735934436769
CD96,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-0.147539462907111,0.771560214431636
CRACC,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.0943118332390805,0.807462264482895
CRTAM,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.245467662894079,0.513724913429899
CTLA4,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,1.10935149777395,0.0100814834339939
CXADR,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-0.0255448529810686,0.936293770091201
DC-SIGN,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.108108420434645,0.807462264482895
GITR,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.302545589770003,0.513724913429899
TIM1,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-0.61228983573032,0.160130349761382
HAVCR2,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.0233353588353163,0.936293770091201
ICOS,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.460879244037402,0.264512182549769
ILT2,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-2.30427467194121,0.000238106938478325
ILT3,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-2.55049290676889,1.45070008438266e-05
ILT4,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-0.834292854489754,0.0471247861862907
KIR2DL1,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-0.0823028903169507,0.807462264482895
KIR3DL1,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-0.371538835827278,0.350572179992308
KLRG1,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-0.887072115145145,0.0700970775093571
LAG3,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.444937920989276,0.264512182549769
LAIR1,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-1.42458780940243,0.000767380906350933
NKG2D,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-0.120503517891338,0.807462264482895
NKR-P1A,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-0.924151183635395,0.0371016391344087
NTB-A,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,1.5986010113765,4.53808372782215e-05
PD1,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.348880774742513,0.382930359839065
Siglec-3,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.1138739957817,0.807462264482895
TACI,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.977739905890198,0.0357768460066598
TIGIT,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.45524258822982,0.201521666046818
TLT-1,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,0.297351140300978,0.513724913429899
CD30,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,-0.638474568109817,0.182824169740717
BAFF-R,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,1.44535840989811,8.30004802834034e-08
BCMA,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.799597230922418,0.00685167370118303
BTLA,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.413701880688294,0.269007661611667
CD2,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.582438313524453,0.131884146546631
CD200R,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.0386699694921507,0.990699460433041
CD244,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.240963412045003,0.576296583730442
CD300a,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.103339259632368,0.857460562848469
CD300f,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.141630347541547,0.655756020426649
CD40,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,2.41870198625408,0.000917902362493648
CD7,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.446982550578894,0.291860539296604
CD72,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.319973990476596,0.390086465984519
CD96,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.00887127003738747,0.990699460433041
CRACC,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.0185318794577912,0.990699460433041
CRTAM,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.736119171261223,0.067218301603941
CTLA4,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.000957675690863415,0.990699460433041
CXADR,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.159075163785126,0.740798673534346
DC-SIGN,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-1.42728909211185,1.14364078680797e-05
GITR,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.475749907350085,0.269007661611667
TIM1,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.643339568776864,0.00932997161009631
HAVCR2,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.00721883399248872,0.990699460433041
ICOS,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.820537230533611,0.067218301603941
ILT2,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.393064257310388,0.285571105407288
ILT3,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.271275167419215,0.611901442344966
ILT4,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.504329316860077,0.17521154738672
KIR2DL1,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.0696784346285443,0.944284565210518
KIR3DL1,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.0386567778274205,0.990699460433041
KLRG1,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-1.97958958486171,1.35729977831512e-07
LAG3,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.47794581156071,0.0330248936325147
LAIR1,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.0931368685864685,0.881331647815155
NKG2D,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.578574424507593,0.0907596366429487
NKR-P1A,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.732096993966145,0.000420540350244795
NTB-A,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.402447511998081,0.131884146546631
PD1,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.176200275836131,0.700377948840445
Siglec-3,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.00528192557900741,0.990699460433041
TACI,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.42642120905617,0.17521154738672
TIGIT,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.0681113227259977,0.909880029395892
TLT-1,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,-0.182381543953671,0.669967326054814
CD30,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,2.90745256809543,1.97322949578875e-15
BAFF-R,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.383367369694435,0.639174839864713
BCMA,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.542186529185956,0.513196666935752
BTLA,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.545492425065355,0.513196666935752
CD2,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.170831329056641,0.855534621984741
CD200R,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.138902624176069,0.855534621984741
CD244,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.249772722326585,0.770364170221337
CD300a,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.138260421270253,0.855534621984741
CD300f,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.104292447702874,0.855534621984741
CD40,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,2.59008278968725,3.79294599523542e-05
CD7,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.850065362568597,0.192684625883008
CD72,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,1.14428537281059,0.0986590777561355
CD96,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.0215548965945189,0.947616659218053
CRACC,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.0221917828896953,0.947616659218053
CRTAM,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.368622933548683,0.657343129731163
CTLA4,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.426771991553778,0.593192173940462
CXADR,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.270352630455377,0.770364170221337
DC-SIGN,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-2.45775944385388,7.87958946068785e-05
GITR,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.323173376893557,0.527002432901185
TIM1,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.951858403816996,0.143726982165945
HAVCR2,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.125686778974437,0.855534621984741
ICOS,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-1.89007579356606,0.00271801963761196
ILT2,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.0367720477484136,0.911381600479998
ILT3,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.210929859908944,0.770364170221337
ILT4,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.0981326049941463,0.855534621984741
KIR2DL1,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.0689815089128184,0.911381600479998
KIR3DL1,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.250029818692394,0.770364170221337
KLRG1,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.176141796424837,0.770364170221337
LAG3,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.50224580042222,0.513196666935752
LAIR1,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.024456438992489,0.947616659218053
NKG2D,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.511760022380641,0.513196666935752
NKR-P1A,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.643644995493296,0.405522452755136
NTB-A,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.399464212653569,0.639174839864713
PD1,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.195451833915171,0.841854730987145
Siglec-3,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.334813072183648,0.709766321363572
TACI,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.313429546774205,0.755372581561204
TIGIT,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,-0.133993887235753,0.855534621984741
TLT-1,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.116929504601592,0.855534621984741
CD30,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,2.66297497829164,0.000438874683307035
BAFF-R,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,1.34407823574615,0.0186076652394197
BCMA,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,0.632366047425169,0.131013237683765
BTLA,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,0.310465095972565,0.531888851011888
CD2,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,1.71516395998171,0.00224412725259376
CD200R,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,-0.0716472495356276,0.923550857556669
CD244,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,0.980053144117095,0.0186076652394197
CD300a,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,0.0574986076282852,0.923550857556669
CD300f,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,-0.370044591928357,0.496438378938267
CD40,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,0.753076925658207,0.170320593669741
CD7,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,-0.0422673915748214,0.923550857556669
CD72,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,-0.125031331570542,0.799623622318987
CD96,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,-0.829358976425132,0.103788865933618
