# Early vs Late Data: Fig S2E
Domain Name,Assay Name,T Cell Type,"CD69 % Pos, CD19- Condition","CD69 % Pos, CD19+ Condition"
4-1BB,CD69,CD4,0.0280674248025558,0.548802489573817
4-1BB,CD69,CD8,0.0891105277868422,0.602801435365964
BAFF-R,CD69,CD4,0.055966179386663,0.62448359287929
BAFF-R,CD69,CD8,0.134759567935027,0.609316389474633
BCMA,CD69,CD4,0.0373440577786477,0.563424710899293
BCMA,CD69,CD8,0.0963411162422305,0.446723562495497
BTLA,CD69,CD4,0.0733934038159745,0.336978643494972
BTLA,CD69,CD8,0.075268766716633,0.443101235564328
CD2,CD69,CD4,0.02844578029091,0.712890242770688
CD2,CD69,CD8,0.098560854200366,0.545794482623845
CD200R,CD69,CD4,0.0278199313276428,0.694486087763194
CD200R,CD69,CD8,0.110642385511432,0.536654555436708
CD244,CD69,CD4,0.0870812902536448,0.527684930618753
CD244,CD69,CD8,0.10516299484625,0.430891967362061
CD28,CD69,CD4,0.0428486265000975,0.649419916295577
CD28,CD69,CD8,0.127282044091153,0.598942207691848
CD300a,CD69,CD4,0.0658514442581582,0.33439418516349
CD300a,CD69,CD8,0.1262353744512,0.366569500698424
CD300f,CD69,CD4,0.0547317052014929,0.440344610026763
CD300f,CD69,CD8,0.118456997954912,0.452460172665721
CD40,CD69,CD4,0.0409638620700459,0.485865931201142
CD40,CD69,CD8,0.0887034666626776,0.494441184850016
CD7,CD69,CD4,0.0310287655277519,0.616420177334354
CD7,CD69,CD8,0.0979645971969473,0.55161480166518
CD72,CD69,CD4,0.0356978527037589,0.274496833405073
CD72,CD69,CD8,0.143956844833179,0.352000567351636
CD96,CD69,CD4,0.0316896451819166,0.474561526708063
CD96,CD69,CD8,0.085068909394794,0.449120850600127
CRACC,CD69,CD4,0.0593350977665249,0.541207288093538
CRACC,CD69,CD8,0.084948935273061,0.500892213858035
CRTAM,CD69,CD4,0.0543638696617294,0.51644714484633
CRTAM,CD69,CD8,0.0715117556361509,0.473340135074097
CTLA4,CD69,CD4,0.0201433405295369,0.539891476906447
CTLA4,CD69,CD8,0.0697242312962538,0.613307287235304
CXADR,CD69,CD4,0.0393950091963406,0.582362153536182
CXADR,CD69,CD8,0.148301864533507,0.594788464918667
DC-SIGN,CD69,CD4,0.0228311067379719,0.380592812172916
DC-SIGN,CD69,CD8,0.0517709436875052,0.403423456575878
HAVCR2,CD69,CD4,0.0220509819401619,0.52451363632587
HAVCR2,CD69,CD8,0.0906821551688804,0.465730032803355
ICOS,CD69,CD4,0.0251207678683063,0.540202110506597
ICOS,CD69,CD8,0.0686094618886809,0.536157092340385
ILT2,CD69,CD4,0.0484891663128989,0.431920301033585
ILT2,CD69,CD8,0.10844714241957,0.299479230763018
ILT3,CD69,CD4,0.0996252960949187,0.267574804218558
ILT3,CD69,CD8,0.111858429658421,0.403094480282265
ILT4,CD69,CD4,0.0353871470950723,0.376641320038779
ILT4,CD69,CD8,0.104140314641056,0.385571350953128
KIR2DL1,CD69,CD4,0.0339395771577968,0.421241062270183
KIR2DL1,CD69,CD8,0.129924326797322,0.461711352384825
KIR3DL1,CD69,CD4,0.0122035899048475,0.312833306255162
KIR3DL1,CD69,CD8,0.0722686177276743,0.414694541260317
KLRG1,CD69,CD4,0.0274567793321508,0.349896685795312
KLRG1,CD69,CD8,0.0534163978333967,0.431794106683115
LAG3,CD69,CD4,0.0310118722970307,0.490615645230133
LAG3,CD69,CD8,0.0948132246572214,0.453224912343439
LAIR1,CD69,CD4,0.0319928068827203,0.302716891243973
LAIR1,CD69,CD8,0.172510198541556,0.303027793959504
TIM1,CD69,CD4,0.0174710290698907,0.349462794563836
TIM1,CD69,CD8,0.087389597495903,0.377364613305927
NKR-P1A,CD69,CD4,0.0258777845538159,0.283078466514433
NKR-P1A,CD69,CD8,0.0949994851665159,0.350505237054251
NTB-A,CD69,CD4,0.0425713358114932,0.771405200624749
NTB-A,CD69,CD8,0.126423407349724,0.690281081734182
NKG2D,CD69,CD4,0.0245497273768002,0.462231647781893
NKG2D,CD69,CD8,0.0798505053989542,0.453762481739025
PD1,CD69,CD4,0.0404551545795912,0.529735384165917
PD1,CD69,CD8,0.118719166849257,0.525420649216601
Siglec-3,CD69,CD4,0.042850235525161,0.477433167962011
Siglec-3,CD69,CD8,0.0829067577822128,0.447217562059439
TACI,CD69,CD4,0.069980685408152,0.730212017943161
TACI,CD69,CD8,0.129805502415199,0.771289838699688
TIGIT,CD69,CD4,0.0393455449153407,0.627210172988175
TIGIT,CD69,CD8,0.112198461458035,0.584804558511288
TLT-1,CD69,CD4,0.0325330359578339,0.643942637171419
TLT-1,CD69,CD8,0.138597369239869,0.557424657130617
GITR,CD69,CD4,0.033950878830407,0.37564729365795
GITR,CD69,CD8,0.0460498783105546,0.275625701549663
CD30,CD69,CD4,0.0760992394914562,0.433647000999375
CD30,CD69,CD8,0.180504728383976,0.430061550431904
