# car to gfp expression ratio data: Fig S3C
Domain Name,Assay Measurement,T Cell Type,K562 Condition,CAR to GFP Ratio
41BB,myc,cd4,CD19- K562s,1.18199923911621
BAFF-R,myc,cd4,CD19- K562s,1.18399722331357
CD28,myc,cd4,CD19- K562s,1.03314116056814
CD40,myc,cd4,CD19- K562s,0.874232709301076
KLRG1,myc,cd4,CD19- K562s,0.763867623508275
TACI,myc,cd4,CD19- K562s,1.13700381037969
CD30,myc,cd4,CD19- K562s,0.780983999887207
zeta,myc,cd4,CD19- K562s,1.04477423392583
41BB,myc,cd4,CD19- K562s,1.10958015802304
BAFF-R,myc,cd4,CD19- K562s,0.922180138434159
CD28,myc,cd4,CD19- K562s,1.0354363905356
CD40,myc,cd4,CD19- K562s,0.857516849040835
KLRG1,myc,cd4,CD19- K562s,0.952357425950978
TACI,myc,cd4,CD19- K562s,1.21065811561551
CD30,myc,cd4,CD19- K562s,0.932758673117235
zeta,myc,cd4,CD19- K562s,0.979512249282642
41BB,myc,cd4,CD19- K562s,1.20690789065188
BAFF-R,myc,cd4,CD19- K562s,1.03248021700535
CD28,myc,cd4,CD19- K562s,1.17955336615305
CD40,myc,cd4,CD19- K562s,0.898749455800737
KLRG1,myc,cd4,CD19- K562s,0.878280607652036
TACI,myc,cd4,CD19- K562s,0.986983178249844
CD30,myc,cd4,CD19- K562s,0.827459232705967
zeta,myc,cd4,CD19- K562s,0.989586051781132
41BB,myc,cd4,CD19- K562s,1.21419587400439
CD40,myc,cd4,CD19- K562s,1.02821966316978
KLRG1,myc,cd4,CD19- K562s,0.596291002786236
TACI,myc,cd4,CD19- K562s,1.08712602984137
CD30,myc,cd4,CD19- K562s,1.01636212350799
zeta,myc,cd4,CD19- K562s,1.05780530669024
41BB,myc,cd4,CD19- K562s,1.13881370972756
BAFF-R,myc,cd4,CD19- K562s,1.12416644504954
CD28,myc,cd4,CD19- K562s,1.02718566637361
CD40,myc,cd4,CD19- K562s,0.903001489700921
KLRG1,myc,cd4,CD19- K562s,0.791153143417473
TACI,myc,cd4,CD19- K562s,1.14834711109144
CD30,myc,cd4,CD19- K562s,0.761816764741194
zeta,myc,cd4,CD19- K562s,1.10551566989826
41BB,myc,cd4,CD19- K562s,1.094156421991
BAFF-R,myc,cd4,CD19- K562s,1.20583195761402
CD28,myc,cd4,CD19- K562s,0.883738990205035
CD40,myc,cd4,CD19- K562s,0.910737014387459
KLRG1,myc,cd4,CD19- K562s,0.887448128260466
TACI,myc,cd4,CD19- K562s,1.1245879723473
CD30,myc,cd4,CD19- K562s,0.863786312334829
zeta,myc,cd4,CD19- K562s,1.02971320285989
41BB,myc,cd4,CD19- K562s,1.17863024717355
BAFF-R,myc,cd4,CD19- K562s,1.29400515451779
CD28,myc,cd4,CD19- K562s,1.05049198895751
CD40,myc,cd4,CD19- K562s,0.850543968332352
KLRG1,myc,cd4,CD19- K562s,0.859004318213562
TACI,myc,cd4,CD19- K562s,1.26414839010444
CD30,myc,cd4,CD19- K562s,0.638126109443249
zeta,myc,cd4,CD19- K562s,0.865049823257545
41BB,myc,cd4,CD19- K562s,1.11624368947081
BAFF-R,myc,cd4,CD19- K562s,1.46406719632548
CD28,myc,cd4,CD19- K562s,1.35344880738306
CD40,myc,cd4,CD19- K562s,0.729187362055778
KLRG1,myc,cd4,CD19- K562s,0.596199682608553
TACI,myc,cd4,CD19- K562s,1.56575626707529
CD30,myc,cd4,CD19- K562s,0.425045413127264
zeta,myc,cd4,CD19- K562s,0.750051581953766
41BB,myc,cd4,CD19- K562s,1.03031938703207
BAFF-R,myc,cd4,CD19- K562s,1.137199382995
CD28,myc,cd4,CD19- K562s,1.00561816031985
CD40,myc,cd4,CD19- K562s,0.83380824514452
KLRG1,myc,cd4,CD19- K562s,0.979588137196687
TACI,myc,cd4,CD19- K562s,1.178981962151
CD30,myc,cd4,CD19- K562s,0.898760712086517
zeta,myc,cd4,CD19- K562s,0.935724013074353
41BB,myc,cd4,CD19- K562s,1.09530886201791
BAFF-R,myc,cd4,CD19- K562s,1.11841201488667
CD28,myc,cd4,CD19- K562s,0.921046093967517
CD40,myc,cd4,CD19- K562s,0.861306649442357
KLRG1,myc,cd4,CD19- K562s,0.976508949283332
TACI,myc,cd4,CD19- K562s,1.2322926823601
CD30,myc,cd4,CD19- K562s,0.8572597654426
zeta,myc,cd4,CD19- K562s,0.937864982599515
41BB,myc,cd4,CD19+ K562s,1.1143954376446
BAFF-R,myc,cd4,CD19+ K562s,1.09828628207972
CD28,myc,cd4,CD19+ K562s,1.05943238104716
CD40,myc,cd4,CD19+ K562s,0.886356879841098
KLRG1,myc,cd4,CD19+ K562s,0.970960100470542
TACI,myc,cd4,CD19+ K562s,1.11759262325336
CD30,myc,cd4,CD19+ K562s,0.747476121364831
zeta,myc,cd4,CD19+ K562s,1.0055001742987
41BB,myc,cd4,CD19+ K562s,1.15821869532536
BAFF-R,myc,cd4,CD19+ K562s,1.07525579189547
CD28,myc,cd4,CD19+ K562s,1.04363262540492
CD40,myc,cd4,CD19+ K562s,0.846584373561257
KLRG1,myc,cd4,CD19+ K562s,0.935313836986945
TACI,myc,cd4,CD19+ K562s,1.11664674971132
CD30,myc,cd4,CD19+ K562s,0.801903737731764
zeta,myc,cd4,CD19+ K562s,1.02244418938297
41BB,myc,cd4,CD19+ K562s,1.24096370333346
