# Individual Exhaustion data: Fig S4D
Domain Name,Exhaution Marker,Mean Fluorescence Intensity,"Mean Fluorescence Intensity, SEM",Experiment Day,Donor Name
41BB,TIM3,199.319600771536,2.0078062205701,33,1
41BB,TIM3,538.98532907323,3.95721484032894,6,1
41BB,TIM3,284.245406570956,3.18220471304434,15,1
41BB,TIM3,270.7098479435,2.90093987972396,24,1
41BB,TIM3,544.31125803723,3.17602920464242,6,2
41BB,TIM3,310.298138372424,2.44783935879447,15,2
41BB,TIM3,357.842221914294,2.23799326754392,24,2
41BB,TIM3,257.075278333095,1.99870091922021,33,2
BAFF-R,TIM3,,,33,1
BAFF-R,TIM3,326.903218577776,2.62371788645005,6,1
BAFF-R,TIM3,214.762113926075,2.77438646292981,15,1
BAFF-R,TIM3,243.537356522085,2.36779504441672,24,1
BAFF-R,TIM3,374.892176113751,2.41508499998083,6,2
BAFF-R,TIM3,321.539677022327,2.01305022170743,15,2
BAFF-R,TIM3,344.15461973041,2.16816672435161,24,2
BAFF-R,TIM3,209.668902902458,1.95221740100053,33,2
CD28,TIM3,674.352567600593,4.28161229131985,6,1
CD28,TIM3,335.409602984723,2.98048725944213,15,1
CD28,TIM3,398.9871681582,2.4831174474514,24,1
CD28,TIM3,331.051810725674,2.48647325224419,33,1
CD28,TIM3,779.315002366981,3.7805000545858,6,2
CD28,TIM3,402.295206291324,2.22345471239069,15,2
CD28,TIM3,375.175779179721,1.89876044597427,24,2
CD28,TIM3,317.052074183414,1.86781150867854,33,2
CD40,TIM3,380.242663901331,2.75232986430175,6,1
CD40,TIM3,271.272070678785,2.46680431326468,15,1
CD40,TIM3,319.895181960595,2.05828316612619,24,1
CD40,TIM3,266.595640319742,1.99952300322549,33,1
CD40,TIM3,444.508416377921,2.60696579800901,6,2
CD40,TIM3,371.888273162126,2.25088554873022,15,2
CD40,TIM3,346.400906738347,1.83163838806137,24,2
CD40,TIM3,277.912197457053,1.66535167443801,33,2
KLRG1,TIM3,,,33,1
KLRG1,TIM3,396.618724492036,2.76392337670431,6,1
KLRG1,TIM3,290.861486179423,2.80272099139554,15,1
KLRG1,TIM3,238.337420475148,3.76713399182098,24,1
KLRG1,TIM3,456.318826439295,2.4178858364054,6,2
KLRG1,TIM3,364.429851336156,2.67267603411295,15,2
KLRG1,TIM3,467.819910254356,3.78604778020245,24,2
KLRG1,TIM3,,,33,2
TACI,TIM3,,,33,1
TACI,TIM3,327.783240770235,2.86740700124633,6,1
TACI,TIM3,301.885793896755,3.89554322281415,15,1
TACI,TIM3,357.597614573148,2.62402122943106,24,1
TACI,TIM3,430.612068520328,2.71895400967057,6,2
TACI,TIM3,325.878596079088,2.65005157187131,15,2
TACI,TIM3,473.502633192524,2.2907288602791,24,2
TACI,TIM3,,,33,2
TNR8,TIM3,379.283914153259,2.21825112824411,6,1
TNR8,TIM3,289.341330534346,1.97573851543274,15,1
TNR8,TIM3,307.630930894166,2.149951459057,24,1
TNR8,TIM3,252.913887949124,2.01142054160096,33,1
TNR8,TIM3,471.045267482098,2.52282409711164,6,2
TNR8,TIM3,379.39813486114,1.7619608453489,15,2
TNR8,TIM3,399.912170288754,1.79725436680211,24,2
TNR8,TIM3,328.317279925754,1.80179646950833,33,2
zeta,TIM3,,,24,1
zeta,TIM3,,,33,1
zeta,TIM3,402.736821222118,2.94050291976386,6,1
zeta,TIM3,419.248519366764,14.9179092568164,15,1
zeta,TIM3,408.917961184307,2.20433747167903,6,2
zeta,TIM3,586.198347097313,3.37200142544558,15,2
zeta,TIM3,,,24,2
zeta,TIM3,,,33,2
41BB,LAG3,1525.4660092433,5.40224408547346,33,1
41BB,LAG3,1179.15061213865,6.52835207729418,6,1
41BB,LAG3,1336.08312543556,6.58804491680688,15,1
41BB,LAG3,1540.96913485541,5.57349392670521,24,1
41BB,LAG3,1070.90366642695,5.9449081679138,6,2
41BB,LAG3,1148.18911449678,6.10405417341735,15,2
41BB,LAG3,1379.43190588345,5.49222308961256,24,2
41BB,LAG3,1472.00886252697,4.85718916354572,33,2
BAFF-R,LAG3,,,33,1
BAFF-R,LAG3,672.272836320358,5.50507798676033,6,1
BAFF-R,LAG3,1095.65128605068,6.64465452219714,15,1
BAFF-R,LAG3,1023.71332655993,6.19119403169362,24,1
BAFF-R,LAG3,866.119891830954,6.02787972599701,6,2
BAFF-R,LAG3,915.428454103657,6.37277165414413,15,2
BAFF-R,LAG3,1056.66853182945,4.726889324215,24,2
BAFF-R,LAG3,929.539927513156,4.48663329945263,33,2
CD28,LAG3,861.304126332201,6.34963807682859,6,1
CD28,LAG3,757.373222120814,5.78487132755607,15,1
CD28,LAG3,956.962236172753,5.90903355716617,24,1
CD28,LAG3,969.346853138288,5.80897038963902,33,1
CD28,LAG3,813.340885332493,5.26483801903621,6,2
CD28,LAG3,738.513199278123,4.60658823114647,15,2
CD28,LAG3,793.341982501235,4.72796822676963,24,2
CD28,LAG3,818.366313758776,4.23214978725234,33,2
CD40,LAG3,586.566456869258,4.77600314232867,6,1
CD40,LAG3,885.646125206202,6.2709097799887,15,1
CD40,LAG3,845.297057923013,5.90374724894382,24,1
CD40,LAG3,817.651385747666,4.96908453934173,33,1
CD40,LAG3,623.542794531363,4.31695365402957,6,2
CD40,LAG3,802.858544001918,5.09328592977546,15,2
CD40,LAG3,753.188135257885,4.46505954689346,24,2
CD40,LAG3,687.239823038237,3.87757104876489,33,2
KLRG1,LAG3,,,33,1
KLRG1,LAG3,513.570424236767,3.97419500718346,6,1
KLRG1,LAG3,598.474256668704,6.0640786904772,15,1
KLRG1,LAG3,534.041597060431,7.84635730526731,24,1
KLRG1,LAG3,489.081600341626,2.98823543987544,6,2
KLRG1,LAG3,587.678198517131,5.29782906323375,15,2
KLRG1,LAG3,814.149915202084,8.42805764308543,24,2
KLRG1,LAG3,,,33,2
TACI,LAG3,,,33,1
TACI,LAG3,609.466530639385,5.40772965916949,6,1
TACI,LAG3,851.283806280936,6.79541577418998,15,1
TACI,LAG3,859.552474623036,5.89877143513329,24,1
TACI,LAG3,645.889060776233,5.00084952608917,6,2
TACI,LAG3,776.401089303388,5.81950754746755,15,2
TACI,LAG3,880.136627622488,4.68293640100847,24,2
TACI,LAG3,,,33,2
TNR8,LAG3,658.937993768802,5.4114152984854,6,1
TNR8,LAG3,861.3780930862,5.97013735042435,15,1
TNR8,LAG3,963.98155879058,6.28792562262105,24,1
TNR8,LAG3,894.18958197748,5.34943405851283,33,1
TNR8,LAG3,804.088753673162,6.08268542363208,6,2
TNR8,LAG3,753.158850945429,5.20015031793047,15,2
TNR8,LAG3,825.854039590563,4.86872228591396,24,2
