# Differentiation Arrayed Data: Fig S4H
Domain Name,Measurement Day,Differentiation Status,Donor Name,T Cell Type,K562 Condition,MFI Measurement mean,MFI Measurement standard deviation
41BB,6,Naive,1,cd4,cd19+,0.3364,0.188571330447305
41BB,6,TCM,1,cd4,cd19+,0.4661,0.143531599308306
41BB,6,TEM,1,cd4,cd19+,0.1569,0.0573897784162534
41BB,6,TEMRA,1,cd4,cd19+,0.0406,0.0112261599252223
BAFF-R,6,Naive,1,cd4,cd19+,0.171333333333333,0.167661722922477
BAFF-R,6,TCM,1,cd4,cd19+,0.512133333333333,0.100851838522326
BAFF-R,6,TEM,1,cd4,cd19+,0.2832,0.0972181053096593
BAFF-R,6,TEMRA,1,cd4,cd19+,0.0333333333333333,0.0280152339510726
CD28,6,Naive,1,cd4,cd19+,0.3799,0.205922024077076
CD28,6,TCM,1,cd4,cd19+,0.4421,0.0995935071511525
CD28,6,TEM,1,cd4,cd19+,0.1517,0.112530351461284
CD28,6,TEMRA,1,cd4,cd19+,0.0263,0.00610464304170741
CD40,6,Naive,1,cd4,cd19+,0.19232,0.132147009046743
CD40,6,TCM,1,cd4,cd19+,0.4184,0.0129861464645983
CD40,6,TEM,1,cd4,cd19+,0.34368,0.140892412854632
CD40,6,TEMRA,1,cd4,cd19+,0.0456,0.0194257560985409
KLRG1,6,Naive,1,cd4,cd19+,0.365466666666667,0.123688555115931
KLRG1,6,TCM,1,cd4,cd19+,0.417533333333333,0.0192921400229904
KLRG1,6,TEM,1,cd4,cd19+,0.188933333333333,0.112259603895019
KLRG1,6,TEMRA,1,cd4,cd19+,0.0280666666666667,0.00920318785349222
TACI,6,Naive,1,cd4,cd19+,0.32952,0.20964415565429
TACI,6,TCM,1,cd4,cd19+,0.4684,0.122217183734531
TACI,6,TEM,1,cd4,cd19+,0.17064,0.0949495023683642
TACI,6,TEMRA,1,cd4,cd19+,0.03144,0.00809246563168482
TNR8,6,Naive,1,cd4,cd19+,0.270266666666667,0.132878490860385
TNR8,6,TCM,1,cd4,cd19+,0.394266666666667,0.0441403821158509
TNR8,6,TEM,1,cd4,cd19+,0.2752,0.170865561187736
TNR8,6,TEMRA,1,cd4,cd19+,0.0602666666666667,0.00574572304704406
zeta,6,Naive,1,cd4,cd19+,0.316733333333333,0.222575242708318
zeta,6,TCM,1,cd4,cd19+,0.4598,0.0821552676339138
zeta,6,TEM,1,cd4,cd19+,0.201333333333333,0.130003240985241
zeta,6,TEMRA,1,cd4,cd19+,0.0221333333333333,0.0108330358933526
41BB,6,Naive,1,cd8,cd19+,0.5722,0.00480832611206854
41BB,6,TCM,1,cd8,cd19+,0.181,0.00650538238691623
41BB,6,TEM,1,cd8,cd19+,0.0728,0.00282842712474619
41BB,6,TEMRA,1,cd8,cd19+,0.174,0.00113137084989849
BAFF-R,6,Naive,1,cd8,cd19+,0.520266666666667,0.029280255007997
BAFF-R,6,TCM,1,cd8,cd19+,0.131733333333333,0.0271420952274015
BAFF-R,6,TEM,1,cd8,cd19+,0.0736,0.018914544668059
BAFF-R,6,TEMRA,1,cd8,cd19+,0.2744,0.0201910871425983
CD28,6,Naive,1,cd8,cd19+,0.4918,0.0110308657865101
CD28,6,TCM,1,cd8,cd19+,0.3244,0.0299813275223096
CD28,6,TEM,1,cd8,cd19+,0.0548,0.00905096679918781
CD28,6,TEMRA,1,cd8,cd19+,0.129,0.00989949493661167
CD40,6,Naive,1,cd8,cd19+,0.5024,0.0164048773235279
CD40,6,TCM,1,cd8,cd19+,0.1668,0.00452548339959392
CD40,6,TEM,1,cd8,cd19+,0.0924,0.00622253967444162
CD40,6,TEMRA,1,cd8,cd19+,0.2384,0.0147078210486802
KLRG1,6,Naive,1,cd8,cd19+,0.4548,0.0062225396744416
KLRG1,6,TCM,1,cd8,cd19+,0.1672,0.00339411254969543
KLRG1,6,TEM,1,cd8,cd19+,0.1696,0.00339411254969543
KLRG1,6,TEMRA,1,cd8,cd19+,0.2084,0.00622253967444162
TACI,6,Naive,1,cd8,cd19+,0.5322,0.0240416305603426
TACI,6,TCM,1,cd8,cd19+,0.1666,0.00537401153701776
TACI,6,TEM,1,cd8,cd19+,0.08,0.00113137084989847
TACI,6,TEMRA,1,cd8,cd19+,0.2212,0.0282842712474619
TNR8,6,Naive,1,cd8,cd19+,0.3692,0.0339411254969543
TNR8,6,TCM,1,cd8,cd19+,0.245,0.00254558441227157
TNR8,6,TEM,1,cd8,cd19+,0.1672,0.0124450793488832
